tloans_lag1_dm,tmort_lag1_dm,money_lag1_dm,ltrate_lag1_dm,stir_lag1_dm,hpnom_lag1_dm,debtgdp_lag1_dm,cpi_lag1_dm,ca_lag1_dm,rgdpmad_lag1_dm,term_spread_lag1_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_gr_roll3_mean_lag1_dm,tloans_gr_roll3_std_lag1_dm,tloans_slope4_lag1_dm,tloans_lag2_dm,tmort_lag2_dm,money_lag2_dm,ltrate_lag2_dm,stir_lag2_dm,hpnom_lag2_dm,debtgdp_lag2_dm,cpi_lag2_dm,ca_lag2_dm,rgdpmad_lag2_dm,term_spread_lag2_dm,tloans_lag3_dm,tmort_lag3_dm,money_lag3_dm,ltrate_lag3_dm,stir_lag3_dm,hpnom_lag3_dm,debtgdp_lag3_dm,cpi_lag3_dm,ca_lag3_dm,rgdpmad_lag3_dm,term_spread_lag3_dm,P_pos_lag1_rdm,P_neg_lag1_rdm,P_neutral_lag1_rdm,net_sentiment_lag1_rdm,P_neg_change_lag1_rdm,P_pos_change_lag1_rdm,net_sent_change_lag1_rdm,P_neg_roll3_mean_lag1_rdm,P_neg_roll3_std_lag1_rdm,P_neg_slope4_lag1_rdm,P_pos_lag2_rdm,P_neg_lag2_rdm,P_neutral_lag2_rdm,net_sentiment_lag2_rdm,P_neg_change_lag2_rdm,P_pos_change_lag2_rdm,net_sent_change_lag2_rdm,P_neg_roll3_mean_lag2_rdm,P_neg_roll3_std_lag2_rdm,P_neg_slope4_lag2_rdm
-0.029127944,0.0,0.0024205514,-0.13244006,-0.11653726,-8.802046e-06,0.035223667,0.02872141,0.047445804,-0.009567574,0.162005,0.023749504,-0.29620945,-0.23304321,0.2021551,0.032748077,-0.013138183,-0.04079894,0.38252985,-0.0035250052,-0.007228623,0.0,-0.097623125,-0.025224265,0.0,0.049960256,-0.07542526,-0.0687392,-0.18518347,-0.663742,-0.022148054,0.002266534,0.0,-0.10131452,0.006053539,-0.032638393,-0.012296164,0.0031598455,0.0,-0.036508158,-4.351761,-0.026507137,-0.010079239,-0.21376042,0.011400802,0.012846032,-0.05205793,0.011134991,-0.045039292,0.012968956,-0.26793608,-0.011091425,-0.007161713,0.17776337,0.06979585,-0.019888308,0.27666146,0.10501852,-0.09117794,-0.045297235,-0.10333785
-0.015677735,0.0,0.0024205514,-0.24232414,-0.07834877,0.004677183,0.03811814,0.030701715,0.061630398,-0.010509871,0.39070585,0.05101582,0.5272519,-0.20519267,0.20671102,-0.29217377,-0.015884811,-0.17083459,0.37012124,-0.012514547,-0.007228623,0.0,-0.061962318,-0.013629619,0.0,0.046206772,-0.08390126,0.008158406,-0.10026796,-0.6608491,-0.05466567,0.002266534,0.0,-0.12002337,0.025455017,0.14278232,0.023357708,-0.007919675,0.0,-0.09142014,-4.53684,-0.0004543895,-0.048142567,-0.18126802,0.0063273953,0.012846032,0.047061402,0.011134991,-0.075182565,0.0076062656,-0.07954822,-0.00016077515,-0.007161713,0.11598457,0.08556851,-0.0056212805,-0.077799655,-0.047781825,0.041412946,-0.118319534,-0.10131985
-0.029127944,0.0,0.0028444985,-0.24864624,-0.082621545,-0.027756697,0.053608257,-0.14929049,0.05770617,-0.12912644,0.33352998,0.02003008,-0.32694715,-0.32877344,0.023514928,0.08045935,-0.019703887,-0.45682633,0.25148016,-0.0035250052,-0.007228623,0.0,-0.076618105,-0.04361951,0.0,0.083289325,-0.10854669,0.017988948,-0.17904189,-0.6566215,-0.05466567,0.0037286836,0.0,-0.16368109,-0.07591576,-0.11413565,-0.008524707,-0.007919675,0.0,-0.25857604,-1.7225642,-0.008265311,0.013085458,0.17373331,-0.014939409,0.004822929,-0.043692067,0.011134991,-0.047254648,-0.03603256,0.02789443,-0.03369856,-0.013291011,0.053999536,0.14142583,0.008565817,-0.25007817,-0.033531893,0.10531347,-0.14781952,-0.118341535
-0.018138437,0.0,0.0023711473,-0.20384477,-0.08912602,-0.017380295,0.02738736,-0.057008773,0.059875704,-0.12912644,-0.07418529,-0.014027747,-0.2595593,-0.22073573,-1.0262921,-0.2753994,-0.014415632,-0.013227442,0.1834096,-0.012514547,-0.007228623,0.0,-0.051639777,0.0043148217,0.0,0.029287206,-0.1069787,0.011718212,-0.20723346,-0.63381153,-0.05466567,0.002266534,0.0,-0.1624636,-0.0301743,-0.19144455,-0.011092735,-0.007919675,0.0,-0.25329483,-2.6700857,-0.01920555,0.012678012,0.21180765,-0.008312557,-0.011668945,0.034295574,-0.013129631,-0.00521679,-0.030822849,0.030206047,-0.03369856,0.02552419,0.117335506,-0.15553275,-0.0008177883,-0.18018527,-0.047781825,0.084323555,0.1566946,0.101902746
-0.033477478,0.0,0.001736338,-0.10375511,0.12659726,-0.017380295,0.037579928,-0.06227946,0.0973336,-0.012414642,-0.102442876,-0.012980799,-0.3055874,0.2568353,-0.088788584,-0.2302952,-0.014643988,-0.4382624,0.18707669,-0.012514547,-0.0023519145,0.0,-0.03678531,0.008968545,0.0,0.03794487,-0.07542526,0.07282817,-0.17171003,-0.8552145,-0.022148054,0.0051938975,0.0,-0.14475662,-0.025974398,-0.18608451,-0.024704399,-0.007919675,0.0,-0.2478521,-3.238644,-0.012850022,0.005924692,-0.1887669,-0.00072438316,-0.00033713412,-0.06716542,-0.045842,0.019744068,0.0158859,-0.2472917,-0.03369856,0.012265276,0.33067977,-0.22210534,-0.020371709,-0.24498573,-0.04648141,-0.0605519,-0.13546732,0.10316232
-0.028853007,0.0,0.0023711473,0.19757842,0.12659726,-0.011450626,0.03310191,-0.060326535,0.08009452,-0.009567574,-0.0025295261,0.041917298,-0.42406875,0.22028619,-0.0019209068,0.34259385,-0.016721254,-0.037076175,0.31887272,-0.0035250052,-0.0012389347,0.0,-0.04710785,0.010743169,0.0,0.041391924,-0.085504055,0.07051934,-0.15217908,-0.52074116,-0.022148054,0.002542798,0.0,-0.14107093,-0.021420352,-0.088656716,-0.03717608,-0.007919675,0.0,-0.24229378,-3.927199,-0.012996557,-0.0043851724,-0.17955989,-0.019153057,-0.019822808,-0.040005315,0.015315927,0.019744068,-0.029493812,-0.17280886,-0.03369856,-0.0070839026,-0.6125246,-0.11861331,-0.020371709,-0.23236035,-0.014745511,-0.06827209,-0.074169494,-0.051390782
-0.017863499,0.0,0.0023711473,0.18948837,0.12659726,-0.008425554,0.03310191,-0.049292073,0.080477305,-0.009567574,-0.014975376,0.0038407166,-0.31298894,0.19974995,-0.024574816,-0.22429574,-0.016721254,0.028378747,0.31182584,-0.012514547,-0.0012389347,0.0,0.077415645,0.0017480776,0.0,0.037518915,-0.09095049,0.015932046,-0.21846764,-0.95063543,-0.022148054,0.002542798,0.0,-0.13759997,-0.028842947,-0.14466667,-0.03717608,-0.0025057537,0.0,-0.24229378,-3.8422382,-0.01520128,-0.018098814,-0.19304876,0.008660195,-0.006489393,0.06787944,-0.045842,0.027022038,-0.063062884,-0.18821993,-0.0004154751,-0.0070839026,0.18172446,-0.22210534,-0.020371709,-0.15303825,-0.043348834,-0.09999655,0.15480241,-0.11436891
-0.036939327,0.0,0.001736338,-0.104844816,-0.14521137,-0.010118671,0.019089004,-0.048831172,0.05263987,-0.009341063,-1.200377,-0.11179481,-0.31147516,-0.26720634,-0.61192477,-0.17023632,-0.051356833,-0.049736947,0.28760993,-0.012514547,-0.007228623,0.0,0.091040865,0.0020516051,0.0,0.031450927,-0.08044573,0.01521702,-0.24579865,-0.354297,-0.022148054,0.002266534,0.0,-0.042646945,-0.019931454,-0.111527056,-0.018819997,-0.0025057537,0.0,-0.15508765,-2.7700813,-0.020290168,-0.01399111,-0.14136182,0.0020162226,0.012846032,-0.05137446,0.00578887,-0.007096588,-0.009764823,-0.16018465,-0.011091425,-0.013291011,-0.0022912985,0.17081866,-0.020625895,0.158702,0.1658895,-0.09741376,0.065721825,-0.103668705
-0.028713033,0.0,0.001736338,0.16573638,-0.08732031,-0.011637364,0.05751735,-0.05182044,0.08563788,-0.01025756,0.3209209,-0.108544044,-0.5112532,-0.20493793,0.015482369,0.0396296,-0.0207672,-0.04432103,0.4624417,-0.0032497542,0.0024950996,0.0,-0.05307567,-0.012818075,0.0,0.055793405,-0.07346776,0.07282817,-0.29330263,0.7920501,-0.05466567,-0.003233947,0.0,-0.04002955,-0.027716486,-0.18602705,-0.014617363,-0.0025057537,0.0,-0.18367325,-4.2196097,-0.014697175,0.004084321,-0.07958756,-0.014939409,0.007992057,-0.06300258,0.011134991,-0.057343204,0.016640905,0.21376413,-0.03369856,-0.013291011,0.050065897,-0.054436464,0.0077739456,-0.20412718,-0.017652463,-0.12237063,-0.1324474,-0.10538326
-0.020063315,0.0,0.002209689,-0.27125904,-0.0070088618,-0.028406827,0.020731866,-0.11380961,0.11436179,-0.007388357,0.27280444,-0.1244,-0.30351675,-0.23664019,-2.3792908,-0.29429308,-0.01917544,-0.0005925512,0.5096846,-0.012514547,0.007839667,0.0,0.0907563,-0.033729523,0.0,0.08181138,-0.16032822,0.018184744,-0.35997713,-0.80106777,-0.05466567,-0.008305209,0.0,-0.057005554,-0.05519674,-0.150627,-0.0085242335,-0.004819425,0.0,-0.15644656,1.4033743,-0.012736758,-0.0057202415,-0.18937112,-0.00072438316,-0.00033713412,0.07573295,-0.07250276,-0.07467758,-0.026939927,-0.3059484,0.04048668,-0.005267038,0.2692114,-0.16860056,-0.0050781146,-0.21807934,-0.043120526,0.061194256,-0.106566004,-0.04270731
