year,iso,crisisjst,tloans,tmort,money,ltrate,stir,hpnom,debtgdp,cpi,ca,rgdpmad,target_h1,target_h2,target_h3,tloans_lag1,tloans_lag2,tloans_lag3,tmort_lag1,tmort_lag2,tmort_lag3,money_lag1,money_lag2,money_lag3,ltrate_lag1,ltrate_lag2,ltrate_lag3,stir_lag1,stir_lag2,stir_lag3,hpnom_lag1,hpnom_lag2,hpnom_lag3,debtgdp_lag1,debtgdp_lag2,debtgdp_lag3,cpi_lag1,cpi_lag2,cpi_lag3,ca_lag1,ca_lag2,ca_lag3,rgdpmad_lag1,rgdpmad_lag2,rgdpmad_lag3,term_spread,term_spread_lag1,term_spread_lag2,term_spread_lag3,tloans_gr_lag1,tmort_gr_lag1,money_gr_lag1,hpnom_gr_lag1,rgdpmad_gr_lag1,tloans_gr_raw,tloans_gr_roll3_mean_lag1,tloans_gr_roll3_std_lag1,tloans_slope4,tloans_slope4_lag1,tloans_lag1_dm,tloans_lag2_dm,tloans_lag3_dm,tmort_lag1_dm,tmort_lag2_dm,tmort_lag3_dm,money_lag1_dm,money_lag2_dm,money_lag3_dm,ltrate_lag1_dm,ltrate_lag2_dm,ltrate_lag3_dm,stir_lag1_dm,stir_lag2_dm,stir_lag3_dm,hpnom_lag1_dm,hpnom_lag2_dm,hpnom_lag3_dm,debtgdp_lag1_dm,debtgdp_lag2_dm,debtgdp_lag3_dm,cpi_lag1_dm,cpi_lag2_dm,cpi_lag3_dm,ca_lag1_dm,ca_lag2_dm,ca_lag3_dm,rgdpmad_lag1_dm,rgdpmad_lag2_dm,rgdpmad_lag3_dm,term_spread_lag1_dm,term_spread_lag2_dm,term_spread_lag3_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_gr_roll3_mean_lag1_dm,tloans_gr_roll3_std_lag1_dm,tloans_slope4_lag1_dm
1989,AUS,1.0,174395.1965,52916.0,207473.9605,13.4083333333333,16.8,98.43244588206025,0.22769999999999999,93.22074,-23336.1689,17194.41280498771,0,0,0,120127.0,94828.0,81353.0,44388.6,35430.5,28079.2,173005.0,148219.0,131643.0,12.1041666666667,13.1916666666667,13.4166666666667,12.1416666666667,12.7983333333333,15.3866666666667,78.97486937049013,64.44389151530228,61.375134776478404,0.248187,0.220637,0.234131,86.66906,80.82405,74.49994,-13182.465449999998,-10324.09472,-13704.61092,16752.256097560978,16293.301109252032,15757.169811320753,-3.3916666666667012,-0.037499999999999645,0.39333333333340015,-1.9700000000000006,0.26678829037836926,0.2528358335332552,0.16722552439295907,0.22548262548262535,0.028168324223034922,0.4517568614882581,0.2026026871434504,0.055799612639191705,30442.55895,16621.4,38328.66666666667,19544.5,12139.0,15285.399999999998,9490.949999999997,4279.299999999999,39495.33333333334,22064.0,10976.0,-1.416666666666666,-0.49375000000000036,-0.5374999999999996,-2.3933333333333024,-2.60500000000005,-0.033333333333299464,17.95752057663558,5.139814082171611,4.1421146866954714,0.023278666666666642,-0.006406999999999996,0.01417400000000002,12.129196666666672,9.426280000000006,6.204340000000002,-1135.822603333334,2583.822190000001,-1593.3880200000003,855.9804025755311,595.5381213998753,118.81364693719297,0.9766666666666339,2.1112500000000507,-0.5041666666667002,0.09627840485237829,0.03203124933820162,0.05878683507475693,0.16429621875275519,0.007357237943114096,0.03209280161745939,0.0489071495510015,-215911.1239601265
1990,AUS,0.0,200876.80089999997,66528.0,229475.8015,13.18,14.1508333333333,100.0,0.215777,100.0,-20036.65332,17172.682236376502,0,0,0,174395.1965,120127.0,94828.0,52916.0,44388.6,35430.5,207473.9605,173005.0,148219.0,13.4083333333333,12.1041666666667,13.1916666666667,16.8,12.1416666666667,12.7983333333333,98.43244588206025,78.97486937049013,64.44389151530228,0.22769999999999999,0.248187,0.220637,93.22074,86.66906,80.82405,-23336.1689,-13182.465449999998,-10324.09472,17194.41280498771,16752.256097560978,16293.301109252032,-0.9708333333332995,-3.3916666666667012,-0.037499999999999645,0.39333333333340015,0.45175686148825817,0.19210788355568775,0.1992367879541053,0.24637681159420408,0.02639386031658795,0.1518482442834943,0.29472711000129365,0.14509202111678357,37241.459919999994,30442.55895,83014.69649999999,38328.66666666667,19544.5,19991.449999999997,15285.399999999998,9490.949999999997,64090.46049999999,39495.33333333334,22064.0,0.24166666666659964,-1.416666666666666,-0.49375000000000036,2.863333333333326,-2.3933333333333024,-2.60500000000005,32.92571694404681,17.95752057663558,5.139814082171611,-0.003028000000000003,0.023278666666666642,-0.006406999999999996,15.648577500000016,12.129196666666672,9.426280000000006,-11005.570402500001,-1135.822603333334,2583.822190000001,1084.1420093583802,855.9804025755311,595.5381213998753,-2.621666666666726,0.9766666666666339,2.1112500000000507,0.24915417434480777,-0.039373783752099684,0.07120248694431752,0.1304249986134155,0.003130361388962423,0.10817082366657294,0.11374598325309261,13821.158949999997
1991,AUS,0.0,216745.85119999998,74377.0,234016.7225,10.6908333333333,9.95583333333333,100.62851713805452,0.229141,103.2227,-13649.312880000001,16743.32398551786,0,0,0,200876.80089999997,174395.1965,120127.0,66528.0,52916.0,44388.6,229475.8015,207473.9605,173005.0,13.18,13.4083333333333,12.1041666666667,14.1508333333333,16.8,12.1416666666667,100.0,98.43244588206025,78.97486937049013,0.215777,0.22769999999999999,0.248187,100.0,93.22074,86.66906,-20036.65332,-23336.1689,-13182.465449999998,17172.682236376502,17194.41280498771,16752.256097560978,0.7349999999999692,-0.9708333333332995,-3.3916666666667012,-0.037499999999999645,0.15184824428349425,0.2572378864615617,0.10604627658804448,0.015925176946410144,-0.0012638156858084176,0.07899891987975205,0.29013113205004054,0.1513108088055838,31633.815800000004,37241.459919999994,92893.36159999997,83014.69649999999,38328.66666666667,29605.159999999996,19991.449999999997,15285.399999999998,73274.20939999999,64090.46049999999,39495.33333333334,-0.03500000000002146,0.24166666666659964,-1.416666666666666,-0.358500000000042,2.863333333333326,-2.3933333333333024,27.908127673177205,32.92571694404681,17.95752057663558,-0.014345400000000008,-0.003028000000000003,0.023278666666666642,19.298122000000006,15.648577500000016,12.129196666666672,-5504.940742000001,-11005.570402500001,-1135.822603333334,845.5830388754948,1084.1420093583802,855.9804025755311,0.323500000000021,-2.621666666666726,0.9766666666666339,-0.11304298644615812,0.03559966509179918,-0.03978864615782267,-0.1326328856877323,-0.025309904960674548,0.06751790449312886,0.08204944319086198,13709.480444999994
1992,AUS,0.0,224286.1866,91246.0,243383.9018,9.219999999999999,6.265,103.17181904553092,0.271514,104.2404,-14103.482879999998,16988.874013415483,0,0,0,216745.85119999998,200876.80089999997,174395.1965,74377.0,66528.0,52916.0,234016.7225,229475.8015,207473.9605,10.6908333333333,13.18,13.4083333333333,9.95583333333333,14.1508333333333,16.8,100.62851713805452,100.0,98.43244588206025,0.229141,0.215777,0.22769999999999999,103.2227,100.0,93.22074,-13649.312880000001,-20036.65332,-23336.1689,16743.32398551786,17172.682236376502,17194.41280498771,2.954999999999999,0.7349999999999692,-0.9708333333332995,-3.3916666666667012,0.07899891987975205,0.11798039923039923,0.019788234621331096,0.0062851713805451934,-0.025002398865166253,0.034788833826591814,0.22753467521716816,0.19756884275781175,16554.202060000003,31633.815800000004,93280.18496666664,92893.36159999997,83014.69649999999,32519.966666666667,29605.159999999996,19991.449999999997,65602.76216666668,73274.20939999999,64090.46049999999,-2.5183333333333824,-0.03500000000002146,0.24166666666659964,-4.493750000000004,-0.358500000000042,2.863333333333326,23.885290199035524,27.908127673177205,32.92571694404681,0.0014095000000000357,-0.014345400000000008,-0.003028000000000003,19.304468333333332,19.298122000000006,15.648577500000016,1799.8898216666657,-5504.940742000001,-11005.570402500001,275.29428153760455,845.5830388754948,1084.1420093583802,1.9754166666666195,0.323500000000021,-2.621666666666726,-0.16328371356066868,-0.11077775515772316,-0.11808895889297154,-0.1157463141160508,-0.04398650714789747,-0.01195802846302571,0.10779511634537442,3532.009510000007
1993,AUS,0.0,240741.1654,109835.0,258217.3071,7.280833333333333,5.00166666666667,106.06592121610757,0.303218,106.1304,-13630.436980000002,17478.185210321713,0,0,0,224286.1866,216745.85119999998,200876.80089999997,91246.0,74377.0,66528.0,243383.9018,234016.7225,229475.8015,9.219999999999999,10.6908333333333,13.18,6.265,9.95583333333333,14.1508333333333,103.17181904553092,100.62851713805452,100.0,0.271514,0.229141,0.215777,104.2404,103.2227,100.0,-14103.482879999998,-13649.312880000001,-20036.65332,16988.874013415483,16743.32398551786,17172.682236376502,2.2791666666666632,2.954999999999999,0.7349999999999692,-0.9708333333332995,0.03478883382659188,0.2268039851029216,0.040027820234086,0.02527416660614398,0.014665548376774527,0.07336599301742286,0.0885453326632794,0.05911071723388674,12713.342890000009,16554.202060000003,87494.77965714285,93280.18496666664,92893.36159999997,44743.25714285714,32519.966666666667,29605.159999999996,65598.1183,65602.76216666668,73274.20939999999,-3.6294047619047713,-2.5183333333333824,-0.03500000000002146,-7.542619047619048,-4.493750000000004,-0.358500000000042,23.016407792363992,23.885290199035524,27.908127673177205,0.043581142857142846,0.0014095000000000357,-0.014345400000000008,17.564387142857143,19.304468333333332,19.298122000000006,1088.5927042857165,1799.8898216666657,-5504.940742000001,481.51655492985446,275.29428153760455,845.5830388754948,3.9132142857142753,1.9754166666666195,0.323500000000021,-0.18027984735371738,0.01650878990775309,-0.07816788013138803,-0.07746626653777687,0.003012524618692884,-0.14855576532430936,-0.05222203244762547,-12430.606607499998
1994,AUS,0.0,270676.8052,135757.0,283445.1861,9.041666666666668,5.69416666666667,109.8370240444347,0.314529,108.1415,-21557.097120000002,18145.568488327885,0,0,0,240741.1654,224286.1866,216745.85119999998,109835.0,91246.0,74377.0,258217.3071,243383.9018,234016.7225,7.280833333333333,9.219999999999999,10.6908333333333,5.00166666666667,6.265,9.95583333333333,106.06592121610757,103.17181904553092,100.62851713805452,0.303218,0.271514,0.229141,106.1304,104.2404,103.2227,-13630.436980000002,-14103.482879999998,-13649.312880000001,17478.185210321713,16988.874013415483,16743.32398551786,3.3474999999999975,2.2791666666666632,2.954999999999999,0.7349999999999692,0.07336599301742291,0.20372399886022402,0.06094653422143474,0.028051285683927348,0.028801861531249175,0.12434782290042046,0.06238458224125557,0.024064007650080863,17824.78408000001,12713.342890000009,93012.91100000002,87494.77965714285,93280.18496666664,57739.35,44743.25714285714,32519.966666666667,72231.75881250002,65598.1183,65602.76216666668,-5.114895833333342,-3.6294047619047713,-2.5183333333333824,-7.8631249999999975,-7.542619047619048,-4.493750000000004,23.033458988895134,23.016407792363992,23.885290199035524,0.0698375,0.043581142857142846,0.0014095000000000357,17.258838749999995,17.564387142857143,19.304468333333332,1425.5645162499968,1088.5927042857165,1799.8898216666657,910.6381824698547,481.51655492985446,275.29428153760455,2.748229166666655,3.9132142857142753,1.9754166666666195,-0.11594842425521246,-0.00892959489319492,-0.04608232612526958,-0.0636225379545968,0.016718477113354262,-0.14995722152561494,-0.0785650699568271,-13785.344455999993
1995,AUS,0.0,302816.52700000006,152596.0,308981.7428,9.21089527658369,7.6438077969278,111.71526711978368,0.31123,113.1573,-25196.940249999996,18529.55820683624,0,0,0,270676.8052,240741.1654,224286.1866,135757.0,109835.0,91246.0,283445.1861,258217.3071,243383.9018,9.041666666666668,7.280833333333333,9.219999999999999,5.69416666666667,5.00166666666667,6.265,109.8370240444347,106.06592121610757,103.17181904553092,0.314529,0.303218,0.271514,108.1415,106.1304,104.2404,-21557.097120000002,-13630.436980000002,-14103.482879999998,18145.568488327885,17478.185210321713,16988.874013415483,1.56708747965589,3.3474999999999975,2.2791666666666632,2.954999999999999,0.12434782290042036,0.23600855829198342,0.0977001862629989,0.03555433060015168,0.03818378567198436,0.11873836687355754,0.07750088324814504,0.04492244560235597,26552.666100000017,17824.78408000001,112613.78291111114,93012.91100000002,87494.77965714285,77245.86666666667,57739.35,44743.25714285714,89433.88683333332,72231.75881250002,65598.1183,-2.7857407407407457,-5.114895833333342,-3.6294047619047713,-6.296944444444441,-7.8631249999999975,-7.542619047619048,24.24528859623392,23.033458988895134,23.016407792363992,0.07338877777777778,0.0698375,0.043581142857142846,17.352289999999996,17.258838749999995,17.564387142857143,-6659.491681111114,1425.5645162499968,1088.5927042857165,1476.8394402015983,910.6381824698547,481.51655492985446,3.511203703703694,2.748229166666655,3.9132142857142753,-0.050473041340313454,0.024471163900213838,-0.0035683833180467223,-0.04816667579404787,0.024010591614920168,-0.1134184603007805,-0.046483050582148126,-6376.3458566666595
1996,AUS,0.0,332779.9595,168921.0,335354.3076,8.20920705749882,7.01642466962862,113.17693488270115,0.29317,116.1134,-18418.25472,19075.08247877645,0,0,0,302816.52700000006,270676.8052,240741.1654,152596.0,135757.0,109835.0,308981.7428,283445.1861,258217.3071,9.21089527658369,9.041666666666668,7.280833333333333,7.6438077969278,5.69416666666667,5.00166666666667,111.71526711978368,109.8370240444347,106.06592121610757,0.31123,0.314529,0.303218,113.1573,108.1415,106.1304,-25196.940249999996,-21557.097120000002,-13630.436980000002,18529.55820683624,18145.568488327885,17478.185210321713,1.1927823878701993,1.56708747965589,3.3474999999999975,2.2791666666666632,0.1187383668735575,0.12403780283889597,0.0900934570502484,0.017100272805908603,0.02116162515136159,0.09894913199371036,0.10548406093046696,0.02795611228478512,30825.610410000056,26552.666100000017,133492.12642000007,112613.78291111114,93012.91100000002,86360.28,77245.86666666667,57739.35,106027.05485000001,89433.88683333332,72231.75881250002,-2.3379380567496497,-2.7857407407407457,-5.114895833333342,-3.717608869738867,-6.296944444444441,-7.8631249999999975,23.699002811959502,24.24528859623392,23.033458988895134,0.0627509,0.07338877777777778,0.0698375,20.632861000000005,17.352289999999996,17.258838749999995,-9633.385642999998,-6659.491681111114,1425.5645162499968,1713.14521468979,1476.8394402015983,910.6381824698547,1.3796708129892172,3.511203703703694,2.748229166666655,-0.050474381662697035,-0.09021860976400849,-0.010778625495458688,-0.06126888072228563,0.004320587581528489,-0.071257975080861,-0.057639002576950454,3262.4427142857276
1997,AUS,0.0,366159.4058,183868.0,356961.8623,6.95491854388937,5.29024091685076,116.6922458525177,0.25908000000000003,116.37432898876405,-16281.49141,19612.09177301113,0,0,0,332779.9595,302816.52700000006,270676.8052,168921.0,152596.0,135757.0,335354.3076,308981.7428,283445.1861,8.20920705749882,9.21089527658369,9.041666666666668,7.01642466962862,7.6438077969278,5.69416666666667,113.17693488270115,111.71526711978368,109.8370240444347,0.29317,0.31123,0.314529,116.1134,113.1573,108.1415,-18418.25472,-25196.940249999996,-21557.097120000002,19075.08247877645,18529.55820683624,18145.568488327885,1.6646776270386106,1.1927823878701993,1.56708747965589,3.3474999999999975,0.09894913199371028,0.10698183438622244,0.08535314922173451,0.013083867591259823,0.02944075977693565,0.100304857149909,0.11401177392256279,0.013342746555224196,31641.123429999992,30825.610410000056,151319.91106363636,133492.12642000007,112613.78291111114,94834.34545454546,86360.28,77245.86666666667,122760.7964818182,106027.05485000001,89433.88683333332,-3.127086452493643,-2.3379380567496497,-2.7857407407407457,-4.007027554334515,-3.717608869738867,-6.296944444444441,23.006215773789748,23.699002811959502,24.24528859623392,0.03898627272727273,0.0627509,0.07338877777777778,21.713246363636372,20.632861000000005,17.352289999999996,-1978.937781818182,-9633.385642999998,-6659.491681111114,2102.929012567296,1713.14521468979,1476.8394402015983,0.8799411018408705,1.3796708129892172,3.511203703703694,-0.06521617837627455,-0.09825271724028115,-0.014441070774426717,-0.05915839786470584,0.012167663448949699,-0.054812709302002854,-0.06584803468685022,7127.581685000052
1998,AUS,0.0,401898.5166,202729.0,384572.7590125,5.49297052826401,4.83681458215697,128.2686545348242,0.23754,117.3745567790262,-28407.067740000002,20377.949762010507,0,0,0,366159.4058,332779.9595,302816.52700000006,183868.0,168921.0,152596.0,356961.8623,335354.3076,308981.7428,6.95491854388937,8.20920705749882,9.21089527658369,5.29024091685076,7.01642466962862,7.6438077969278,116.6922458525177,113.17693488270115,111.71526711978368,0.25908000000000003,0.29317,0.31123,116.37432898876405,116.1134,113.1573,-16281.49141,-18418.25472,-25196.940249999996,19612.09177301113,19075.08247877645,18529.55820683624,0.6561559461070399,1.6646776270386106,1.1927823878701993,1.56708747965589,0.10030485714990903,0.0884851498629537,0.06443201775053024,0.031060312540358976,0.028152396972970995,0.0976053331797273,0.10599745200572563,0.011054758316073436,33062.54150999997,31641.123429999992,172089.364775,151319.91106363636,133492.12642000007,101878.48333333334,94834.34545454546,86360.28,134138.28480833332,122760.7964818182,106027.05485000001,-4.1207844283952895,-3.127086452493643,-2.3379380567496497,-5.3992923442511636,-4.007027554334515,-3.717608869738867,24.604342095790486,23.006215773789748,23.699002811959502,0.001647416666666679,0.03898627272727273,0.0627509,20.164738155430726,21.713246363636372,20.632861000000005,322.7370099999989,-1978.937781818182,-9633.385642999998,2464.6942224213635,2102.929012567296,1713.14521468979,1.2785079158558759,0.8799411018408705,1.3796708129892172,-0.05793170973132358,-0.10781733655988798,-0.034049377629774016,-0.03580391674608799,0.009773149422353255,-0.05734576028863972,-0.06155121945731596,7151.1411844444265
