year,iso,crisisjst,tloans,tmort,money,ltrate,stir,hpnom,debtgdp,cpi,ca,rgdpmad,target_h1,target_h2,target_h3,tloans_lag1,tloans_lag2,tloans_lag3,tmort_lag1,tmort_lag2,tmort_lag3,money_lag1,money_lag2,money_lag3,ltrate_lag1,ltrate_lag2,ltrate_lag3,stir_lag1,stir_lag2,stir_lag3,hpnom_lag1,hpnom_lag2,hpnom_lag3,debtgdp_lag1,debtgdp_lag2,debtgdp_lag3,cpi_lag1,cpi_lag2,cpi_lag3,ca_lag1,ca_lag2,ca_lag3,rgdpmad_lag1,rgdpmad_lag2,rgdpmad_lag3,term_spread,term_spread_lag1,term_spread_lag2,term_spread_lag3,tloans_gr_lag1,tmort_gr_lag1,money_gr_lag1,hpnom_gr_lag1,rgdpmad_gr_lag1,tloans_gr_raw,tloans_gr_roll3_mean_lag1,tloans_gr_roll3_std_lag1,tloans_slope4,tloans_slope4_lag1,tloans_lag1_dm,tloans_lag2_dm,tloans_lag3_dm,tmort_lag1_dm,tmort_lag2_dm,tmort_lag3_dm,money_lag1_dm,money_lag2_dm,money_lag3_dm,ltrate_lag1_dm,ltrate_lag2_dm,ltrate_lag3_dm,stir_lag1_dm,stir_lag2_dm,stir_lag3_dm,hpnom_lag1_dm,hpnom_lag2_dm,hpnom_lag3_dm,debtgdp_lag1_dm,debtgdp_lag2_dm,debtgdp_lag3_dm,cpi_lag1_dm,cpi_lag2_dm,cpi_lag3_dm,ca_lag1_dm,ca_lag2_dm,ca_lag3_dm,rgdpmad_lag1_dm,rgdpmad_lag2_dm,rgdpmad_lag3_dm,term_spread_lag1_dm,term_spread_lag2_dm,term_spread_lag3_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_gr_roll3_mean_lag1_dm,tloans_gr_roll3_std_lag1_dm,tloans_slope4_lag1_dm,P_pos_lag1,P_neg_lag1,P_neutral_lag1,net_sentiment_lag1,P_neg_change_lag1,P_pos_change_lag1,net_sent_change_lag1,P_neg_roll3_mean_lag1,P_neg_roll3_std_lag1,P_neg_slope4_lag1,P_pos_lag2,P_neg_lag2,P_neutral_lag2,net_sentiment_lag2,P_neg_change_lag2,P_pos_change_lag2,net_sent_change_lag2,P_neg_roll3_mean_lag2,P_neg_roll3_std_lag2,P_neg_slope4_lag2,P_pos_lag1_rdm,P_neg_lag1_rdm,P_neutral_lag1_rdm,net_sentiment_lag1_rdm,P_neg_change_lag1_rdm,P_pos_change_lag1_rdm,net_sent_change_lag1_rdm,P_neg_roll3_mean_lag1_rdm,P_neg_roll3_std_lag1_rdm,P_neg_slope4_lag1_rdm,P_pos_lag2_rdm,P_neg_lag2_rdm,P_neutral_lag2_rdm,net_sentiment_lag2_rdm,P_neg_change_lag2_rdm,P_pos_change_lag2_rdm,net_sent_change_lag2_rdm,P_neg_roll3_mean_lag2_rdm,P_neg_roll3_std_lag2_rdm,P_neg_slope4_lag2_rdm
2003,AUS,0.0,755126.42,419409.0,601112.9571911701,5.36677549770342,4.80916666666667,231.631572023679,0.13208,137.42260074906366,-42875.38879999999,22666.277788514366,0,0,0,638061.02,552921.38,501168.72,350989.0,302902.0,267210.0,537277.23965247,502184.66369387,441076.96608717,5.84395771110088,5.61526432840721,6.31456933440806,4.55083333333333,4.80019007719122,5.97608417817581,195.9657969743477,162.67631367390192,150.19367097858657,0.15062,0.17177,0.19559,133.76959490636705,129.81217191011234,124.33266314606739,-28767.20942,-15885.136980000001,-27114.130589999997,22236.935272996816,21662.025668109953,21377.823125181403,0.5576088310367506,1.2931243777675503,0.8150742512159894,0.33848515623224973,0.1539814575446513,0.15875431657763897,0.06987982408796196,0.20463632687901515,0.026539974317047563,0.18347054016871311,0.12082880845455923,0.028728049220968492,84701.274,60559.337719999945,367211.84574705886,299701.71860625,264478.9958466666,223396.51764705882,186266.3625,160612.65333333332,256167.3323251441,234891.92863945314,185369.84643493665,-3.7616581915678173,-4.239748547652829,-3.776473111095446,-4.504236010529121,-4.520809220838182,-3.5679094611771642,90.11454554926644,60.37662863937193,51.08691834032702,-0.09520652941176472,-0.07868506249999999,-0.05852273333333333,30.155717384886543,27.83568778792133,23.84659095880147,-9902.166805294117,3166.149736874997,-8600.366797999995,4015.196730523032,3655.30507098843,3595.8426965972067,0.7425778189613039,0.281060673185352,-0.20856364991828014,0.011776398473467425,-0.015026685945077722,-0.024241582411937745,0.135051816611739,0.005841817887949383,-0.02382008517852266,-0.023625081821632504,30514.742271428513,0.211936,0.439675,0.348389,-0.227739,-0.0197539999999999,0.080959,0.100714,0.2825526666666667,0.1531813157416182,0.1003529,0.130977,0.459429,0.409594,-0.328453,0.264548,-0.0528849999999999,-0.317434,0.2095489999999999,0.0267443245007235,0.0658565999999999,0.06066400000000002,0.1571223333333333,-0.217787,-0.09645799999999999,-0.09275766666666657,0.09153666666666664,0.1842956666666667,0.055679333333333386,0.13277611175264417,0.07767515,-0.03087266666666666,0.24988,-0.21900833333333336,-0.2807536666666667,0.282097,-0.06332099999999986,-0.345419,-0.025986500000000107,0.009508680767624202,0.0863576999999998
2004,AUS,0.0,865325.92,474827.0,655708.160473812,5.59077450749734,5.25,246.72093839070376,0.11942,140.6407249438202,-54443.49597000001,23322.00788305354,0,0,0,755126.42,638061.02,552921.38,419409.0,350989.0,302902.0,601112.9571911701,537277.23965247,502184.66369387,5.36677549770342,5.84395771110088,5.61526432840721,4.80916666666667,4.55083333333333,4.80019007719122,231.631572023679,195.9657969743477,162.67631367390192,0.13208,0.15062,0.17177,137.42260074906366,133.76959490636705,129.81217191011234,-42875.38879999999,-28767.20942,-15885.136980000001,22666.277788514366,22236.935272996816,21662.025668109953,0.34077450749733984,0.5576088310367506,1.2931243777675503,0.8150742512159894,0.18347054016871306,0.19493488399921366,0.11881336641021924,0.1820000000000001,0.019307629862057363,0.14593516672347384,0.14690531481124744,0.04056880889469471,105427.90200000012,84701.274,463876.58765,367211.84574705886,299701.71860625,279405.6,223396.51764705882,186266.3625,305771.5314013362,256167.3323251441,234891.92863945314,-4.029859394322619,-3.7616581915678173,-4.239748547652829,-3.9956673432774963,-4.504236010529121,-4.520809220838182,120.77395695697183,90.11454554926644,60.37662863937193,-0.10845727777777778,-0.09520652941176472,-0.07868506249999999,32.13340559508947,30.155717384886543,27.83568778792133,-23460.225807222214,-9902.166805294117,3166.149736874997,4221.472761011526,4015.196730523032,3655.30507098843,-0.034192051045123684,0.7425778189613039,0.281060673185352,0.040572751775560495,0.022037804179148607,0.026117935346315874,0.10447126522615108,-0.0017341629133907806,0.003745176501823211,-0.010307754534054255,52622.362400000005,0.188713,0.434833,0.376454,-0.24612,-0.0048419999999999,-0.023223,-0.018381,0.3646616666666666,0.1473657396050159,0.0700102,0.211936,0.439675,0.348389,-0.227739,-0.0197539999999999,0.080959,0.100714,0.2825526666666667,0.1531813157416182,0.1003529,0.013121333333333318,0.07017133333333336,-0.08329299999999995,-0.057049666666666665,-0.08695099999999993,-0.047542666666666705,0.03940833333333333,0.12492844444444443,0.07757594010691456,0.021440733333333323,0.06066400000000002,0.1571223333333333,-0.217787,-0.09645799999999999,-0.09275766666666657,0.09153666666666664,0.1842956666666667,0.055679333333333386,0.13277611175264417,0.07767515
2005,AUS,0.0,985477.6,531848.0,710108.9448927271,5.33997311398556,5.4575,250.24832273624205,0.10891,144.38070711610487,-54844.17966,23764.613687385267,0,0,0,865325.92,755126.42,638061.02,474827.0,419409.0,350989.0,655708.160473812,601112.9571911701,537277.23965247,5.59077450749734,5.36677549770342,5.84395771110088,5.25,4.80916666666667,4.55083333333333,246.72093839070376,231.631572023679,195.9657969743477,0.11942,0.13208,0.15062,140.6407249438202,137.42260074906366,133.76959490636705,-54443.49597000001,-42875.38879999999,-28767.20942,23322.00788305354,22666.277788514366,22236.935272996816,-0.11752688601443939,0.34077450749733984,0.5576088310367506,1.2931243777675503,0.14593516672347392,0.13213354982844908,0.09082353429503467,0.06514382402707265,0.028929765207035857,0.13885135903475532,0.16112905481227938,0.019762139938365814,115244.92400000001,105427.90200000012,549661.5304052632,463876.58765,367211.84574705886,320118.04210526316,279405.6,223396.51764705882,344273.4961891709,305771.5314013362,256167.3323251441,-3.593762521669616,-4.029859394322619,-3.7616581915678173,-3.344535728719034,-3.9956673432774963,-4.504236010529121,129.50679927362964,120.77395695697183,90.11454554926644,-0.11540899999999998,-0.10845727777777778,-0.09520652941176472,33.66029791642025,32.13340559508947,30.155717384886543,-33793.58425052633,-23460.225807222214,-9902.166805294117,4655.020078655354,4221.472761011526,4015.196730523032,-0.2492267929505806,-0.034192051045123684,0.7425778189613039,0.0007833365650124491,-0.041987852446013135,-0.0033228931769973546,-0.018188869926006976,0.00798431481566498,0.01774861200274791,-0.03050808498837996,70060.09275000011,0.197748,0.265144,0.537108,-0.067395,-0.169689,0.009035,0.178725,0.4446456666666666,0.0130296373446603,-0.0587696999999999,0.188713,0.434833,0.376454,-0.24612,-0.0048419999999999,-0.023223,-0.018381,0.3646616666666666,0.1473657396050159,0.0700102,0.020539333333333326,-0.17950166666666667,0.15896233333333332,0.20004233333333338,-0.2496730000000001,0.0074179999999999646,0.257092,0.1590578888888889,-0.09606748927112556,-0.13750959999999987,0.013121333333333318,0.07017133333333336,-0.08329299999999995,-0.057049666666666665,-0.08695099999999993,-0.047542666666666705,0.03940833333333333,0.12492844444444443,0.07757594010691456,0.021440733333333323
2006,AUS,0.0,1124441.8900000001,588836.0,802491.625485827,5.5878722441858,5.805,269.84490243367674,0.09959,149.51231056179776,-58500.405300000006,24097.573450962896,0,0,0,985477.6,865325.92,755126.42,531848.0,474827.0,419409.0,710108.9448927271,655708.160473812,601112.9571911701,5.33997311398556,5.59077450749734,5.36677549770342,5.4575,5.25,4.80916666666667,250.24832273624205,246.72093839070376,231.631572023679,0.10891,0.11942,0.13208,144.38070711610487,140.6407249438202,137.42260074906366,-54844.17966,-54443.49597000001,-42875.38879999999,23764.613687385267,23322.00788305354,22666.277788514366,-0.2171277558141993,-0.11752688601443939,0.34077450749733984,0.5576088310367506,0.1388513590347553,0.12008794782099586,0.08296493424697546,0.014297061159650603,0.018978031675108836,0.1410121244764977,0.1560856886423141,0.02397900441396351,122809.80900000004,115244.92400000001,642330.1338849999,549661.5304052632,463876.58765,361133.14,320118.04210526316,279405.6,381460.6057986275,344273.4961891709,305771.5314013362,-3.6648757890979136,-3.593762521669616,-4.029859394322619,-2.9698089422830822,-3.344535728719034,-3.9956673432774963,126.55884365548644,129.50679927362964,120.77395695697183,-0.12014855000000002,-0.11540899999999998,-0.10845727777777778,35.7172651928839,33.66029791642025,32.13340559508947,-32504.588728000002,-33793.58425052633,-23460.225807222214,4864.874879054314,4655.020078655354,4221.472761011526,-0.6950668468148308,-0.2492267929505806,-0.034192051045123684,-0.006341699363969999,-0.05182356748262354,-0.011006604110477769,-0.06807832384995498,-0.002387645811823356,0.011719211832629972,-0.024596326902316713,75755.93282352942,0.178847,0.22918,0.591973,-0.050332,-0.0359639999999999,-0.018901,0.0170629999999999,0.379884,0.0993972431257528,-0.0801173999999999,0.197748,0.265144,0.537108,-0.067395,-0.169689,0.009035,0.178725,0.4446456666666666,0.0130296373446603,-0.0587696999999999,-0.020618666666666674,-0.15070400000000006,0.17132266666666662,0.13008599999999998,0.028797666666666707,-0.041158,-0.06995633333333343,0.015930666666666704,-0.005128321104678674,-0.11731519999999993,0.020539333333333326,-0.17950166666666667,0.15896233333333332,0.20004233333333338,-0.2496730000000001,0.0074179999999999646,0.257092,0.1590578888888889,-0.09606748927112556,-0.13750959999999987
2007,AUS,0.0,1352075.7899999998,660823.0,984506.232993645,5.99452083739212,6.38752653589776,300.41556676167505,0.09688000000000001,153.03485191011234,-72997.1162,24911.57786781549,0,0,0,1124441.8900000001,985477.6,865325.92,588836.0,531848.0,474827.0,802491.625485827,710108.9448927271,655708.160473812,5.5878722441858,5.33997311398556,5.59077450749734,5.805,5.4575,5.25,269.84490243367674,250.24832273624205,246.72093839070376,0.09959,0.10891,0.11942,149.51231056179776,144.38070711610487,140.6407249438202,-58500.405300000006,-54844.17966,-54443.49597000001,24097.573450962896,23764.613687385267,23322.00788305354,-0.3930056985056405,-0.2171277558141993,-0.11752688601443939,0.34077450749733984,0.14101212447649764,0.10715091529910802,0.1300964890775397,0.07830853563038338,0.014010737475373802,0.20244167530969492,0.14193288341157562,0.003630555137315325,159921.38999999998,122809.80900000004,750707.2746523811,642330.1338849999,549661.5304052632,400924.32380952383,361133.14,320118.04210526316,455678.4956394118,381460.6057986275,344273.4961891709,-3.242458764178724,-3.6648757890979136,-3.593762521669616,-2.4808894688410312,-2.9698089422830822,-3.344535728719034,140.12881175027894,126.55884365548644,129.50679927362964,-0.1237471904761905,-0.12014855000000002,-0.11540899999999998,39.148046486534696,35.7172651928839,33.66029791642025,-34612.97680952382,-32504.588728000002,-33793.58425052633,4966.173934105551,4864.874879054314,4655.020078655354,-0.761569295337694,-0.6950668468148308,-0.2492267929505806,-0.0038638489540291365,-0.06216942163038021,0.03667528092561037,-0.0006629331867244459,-0.0072355577209672235,-0.003050394020878505,-0.04365023265779033,79112.15488888891,0.176564,0.26576,0.557676,-0.089196,0.03658,-0.002283,-0.0388639999999999,0.309719,0.1098339067455948,-0.0543183,0.178847,0.22918,0.591973,-0.050332,-0.0359639999999999,-0.018901,0.0170629999999999,0.379884,0.0993972431257528,-0.0801173999999999,-0.011872000000000021,-0.043959000000000026,0.055830999999999964,0.03208633333333333,0.10674499999999994,0.008746666666666666,-0.09799966666666651,-0.08667811111111107,0.023236366720451818,-0.031359333333333406,-0.020618666666666674,-0.15070400000000006,0.17132266666666662,0.13008599999999998,0.028797666666666707,-0.041158,-0.06995633333333343,0.015930666666666704,-0.005128321104678674,-0.11731519999999993
2008,AUS,0.0,1561969.96,775210.0,1145669.7584647199,5.81794393964159,6.67166666666667,313.5452751589564,0.11753000000000001,159.68854112359548,-55780.94780000001,25218.3018906546,0,0,0,1352075.7899999998,1124441.8900000001,985477.6,660823.0,588836.0,531848.0,984506.232993645,802491.625485827,710108.9448927271,5.99452083739212,5.5878722441858,5.33997311398556,6.38752653589776,5.805,5.4575,300.41556676167505,269.84490243367674,250.24832273624205,0.09688000000000001,0.09959,0.10891,153.03485191011234,149.51231056179776,144.38070711610487,-72997.1162,-58500.405300000006,-54844.17966,24911.57786781549,24097.573450962896,23764.613687385267,-0.8537227270250805,-0.3930056985056405,-0.2171277558141993,-0.11752688601443939,0.20244167530969487,0.12225305518005013,0.2268118466627321,0.11328976034858418,0.033779518029441534,0.15523846484966652,0.1607683862736493,0.036106294342329176,195711.0979999999,159921.38999999998,944218.1167136361,750707.2746523811,642330.1338849999,454687.4909090909,400924.32380952383,361133.14,616980.4442545293,455678.4956394118,381460.6057986275,-2.6884256816915535,-3.242458764178724,-3.6648757890979136,-1.7855952298141338,-2.4808894688410312,-2.9698089422830822,164.32998463508275,140.12881175027894,126.55884365548644,-0.12083231818181818,-0.1237471904761905,-0.12014855000000002,40.89113117637042,39.148046486534696,35.7172651928839,-47536.37058181819,-34612.97680952382,-32504.588728000002,5554.443172135165,4966.173934105551,4864.874879054314,-0.9028304518774218,-0.761569295337694,-0.6950668468148308,0.05774969468650279,-0.0441068331003724,0.1316441965619642,0.034349859778463235,0.012877773200765615,0.015937628542239096,-0.008991981819886967,112059.93826315788,0.242618,0.214351,0.543032,0.028266,-0.0514089999999999,0.066054,0.117462,0.2533613333333333,0.0209439138017071,-0.0115798999999999,0.176564,0.26576,0.557676,-0.089196,0.03658,-0.002283,-0.0388639999999999,0.309719,0.1098339067455948,-0.0543183,0.05823166666666668,-0.039010333333333314,-0.019220333333333395,0.09724033333333333,0.00494866666666674,0.07010366666666668,0.06515400000000002,-0.12472155555555559,-0.05314301527029554,0.05282190000000004,-0.011872000000000021,-0.043959000000000026,0.055830999999999964,0.03208633333333333,0.10674499999999994,0.008746666666666666,-0.09799966666666651,-0.08667811111111107,0.023236366720451818,-0.031359333333333406
2009,AUS,0.0,1686967.5,901540.0,1191375.4291331498,5.03951184202271,3.2781746031746,324.32339399254545,0.16654,162.515271835206,-58747.726800000004,25255.63884313768,0,0,0,1561969.96,1352075.7899999998,1124441.8900000001,775210.0,660823.0,588836.0,1145669.7584647199,984506.232993645,802491.625485827,5.81794393964159,5.99452083739212,5.5878722441858,6.67166666666667,6.38752653589776,5.805,313.5452751589564,300.41556676167505,269.84490243367674,0.11753000000000001,0.09688000000000001,0.09959,159.68854112359548,153.03485191011234,149.51231056179776,-55780.94780000001,-72997.1162,-58500.405300000006,25218.3018906546,24911.57786781549,24097.573450962896,1.7613372388481103,-0.8537227270250805,-0.3930056985056405,-0.2171277558141993,0.15523846484966658,0.1730977886665567,0.16369985285010905,0.043705153294194464,0.01231250884494881,0.08002557232278651,0.1662307548786197,0.03215618539181169,189747.0999999999,195711.0979999999,1113059.3251173913,944218.1167136361,750707.2746523811,549305.4695652174,454687.4909090909,400924.32380952383,751318.7330188855,616980.4442545293,455678.4956394118,-2.7481145063250603,-2.6884256816915535,-3.242458764178724,-1.4238205238359125,-1.7855952298141338,-2.4808894688410312,170.3149110917083,164.32998463508275,140.12881175027894,-0.09492873913043477,-0.12083231818181818,-0.1237471904761905,45.76694512131574,40.89113117637042,39.148046486534696,-28253.403460869573,-47536.37058181819,-34612.97680952382,5619.669665751004,5554.443172135165,4966.173934105551,-1.3242939824891478,-0.9028304518774218,-0.761569295337694,0.007921498104360741,0.008742756436151106,0.0625483756328882,-0.03679610453858392,-0.009174589311034634,0.020641062454721942,-0.012513901159933644,142246.6493499999,0.184117,0.340125,0.475758,-0.156009,0.125774,-0.058501,-0.184275,0.2364303333333333,0.0264602876086662,0.0281426,0.242618,0.214351,0.543032,0.028266,-0.0514089999999999,0.066054,0.117462,0.2533613333333333,0.0209439138017071,-0.0115798999999999,-0.015226000000000017,0.10369466666666668,-0.08846899999999991,-0.11892166666666668,0.14270499999999992,-0.07345766666666667,-0.216162,-0.07789111111111119,-0.050264733615685356,0.0768144666666666,0.05823166666666668,-0.039010333333333314,-0.019220333333333395,0.09724033333333333,0.00494866666666674,0.07010366666666668,0.06515400000000002,-0.12472155555555559,-0.05314301527029554,0.05282190000000004
2010,AUS,0.0,1748002.81,995049.0,1313270.69386156,5.36604166666667,4.34604166666667,363.51655338741494,0.20395,167.16850546816477,-47533.2013,25584.48835604182,0,0,0,1686967.5,1561969.96,1352075.7899999998,901540.0,775210.0,660823.0,1191375.4291331498,1145669.7584647199,984506.232993645,5.03951184202271,5.81794393964159,5.99452083739212,3.2781746031746,6.67166666666667,6.38752653589776,324.32339399254545,313.5452751589564,300.41556676167505,0.16654,0.11753000000000001,0.09688000000000001,162.515271835206,159.68854112359548,153.03485191011234,-58747.726800000004,-55780.94780000001,-72997.1162,25255.63884313768,25218.3018906546,24911.57786781549,1.0200000000000005,1.7613372388481103,-0.8537227270250805,-0.3930056985056405,0.08002557232278656,0.16296229408805357,0.03989428046846486,0.03437499999999984,0.0014805498262719164,0.03618048954707187,0.145901904160716,0.06173980961866655,131277.86,189747.0999999999,1191679.3932375,1113059.3251173913,944218.1167136361,652747.7416666667,549305.4695652174,454687.4909090909,765719.4564781953,751318.7330188855,616980.4442545293,-3.4120418328470628,-2.7481145063250603,-2.6884256816915535,-4.757986732168153,-1.4238205238359125,-1.7855952298141338,173.99657529647618,170.3149110917083,164.32998463508275,-0.041963375000000025,-0.09492873913043477,-0.12083231818181818,46.68671978620475,45.76694512131574,40.89113117637042,-30042.95731666667,-28253.403460869573,-47536.37058181819,5422.853715494461,5619.669665751004,5554.443172135165,1.3459448993210907,-1.3242939824891478,-0.9028304518774218,-0.06763580738357844,-0.0017728579874020656,-0.06397669134149025,-0.04452642720066618,-0.019607653142275243,-0.0006260183747600623,0.017638536756009106,129509.00138095228,0.237499,0.326129,0.436371,-0.08863,-0.013996,0.0533819999999999,0.067379,0.273412,0.0632351927094399,0.0306881,0.184117,0.340125,0.475758,-0.156009,0.125774,-0.058501,-0.184275,0.2364303333333333,0.0264602876086662,0.0281426,0.03639933333333331,0.052717000000000014,-0.0891176666666666,-0.016316999999999998,-0.0509776666666667,0.05162533333333324,0.10260466666666664,0.006908444444444439,0.01082248999078387,0.043273299999999966,-0.015226000000000017,0.10369466666666668,-0.08846899999999991,-0.11892166666666668,0.14270499999999992,-0.07345766666666667,-0.216162,-0.07789111111111119,-0.050264733615685356,0.0768144666666666
2011,AUS,0.0,1845646.69,1065010.0,1416981.4087479399,4.87958333333334,4.69270833333333,354.11019513264625,0.24069,172.77847872659174,-43589.3974,25883.527952005992,0,0,0,1748002.81,1686967.5,1561969.96,995049.0,901540.0,775210.0,1313270.69386156,1191375.4291331498,1145669.7584647199,5.36604166666667,5.03951184202271,5.81794393964159,4.34604166666667,3.2781746031746,6.67166666666667,363.51655338741494,324.32339399254545,313.5452751589564,0.20395,0.16654,0.11753000000000001,167.16850546816477,162.515271835206,159.68854112359548,-47533.2013,-58747.726800000004,-55780.94780000001,25584.48835604182,25255.63884313768,25218.3018906546,0.18687500000000945,1.0200000000000005,1.7613372388481103,-0.8537227270250805,0.036180489547071926,0.1037214100317235,0.10231473786319542,0.12084592145015093,0.013020835265606177,0.055860253451194275,0.0904815089065083,0.060213747003241926,91206.55000000012,131277.86,1205047.527508,1191679.3932375,1113059.3251173913,720146.8319999999,652747.7416666667,549305.4695652174,856985.9429474776,765719.4564781953,751318.7330188855,-2.94903033488922,-3.4120418328470628,-2.7481145063250603,-3.499800199389358,-4.757986732168153,-1.4238205238359125,206.22987167948662,173.99657529647618,170.3149110917083,-0.0028748399999999896,-0.041963375000000025,-0.09492873913043477,49.47248462771533,46.68671978620475,45.76694512131574,-17626.713524,-30042.95731666667,-28253.403460869573,5534.78907977882,5422.853715494461,5619.669665751004,0.5507698645001373,1.3459448993210907,-1.3242939824891478,-0.10866273151831063,-0.06093987296092371,0.0011094615258024076,0.043799762049512664,-0.00725038215534618,-0.05601919543876077,0.015345581238149303,65152.988590909066,0.305607,0.226426,0.467967,0.079182,-0.099703,0.068108,0.167812,0.293535,0.0689314978511276,0.0022229,0.237499,0.326129,0.436371,-0.08863,-0.013996,0.0533819999999999,0.067379,0.273412,0.0632351927094399,0.0306881,0.0841956666666667,-0.06710900000000006,-0.01708666666666664,0.15130633333333332,-0.11982600000000003,0.04779633333333337,0.16762333333333335,0.03913377777777777,0.03205169981118986,-0.0135273666666667,0.03639933333333331,0.052717000000000014,-0.0891176666666666,-0.016316999999999998,-0.0509776666666667,0.05162533333333324,0.10260466666666664,0.006908444444444439,0.01082248999078387,0.043273299999999966
2012,AUS,0.0,1932023.9399999997,1136656.0,1516300.58263611,3.37916666666667,3.69666666666667,351.3666739750055,0.27536,175.69218576779022,-64416.801600000006,26390.436830679035,0,0,0,1845646.69,1748002.81,1686967.5,1065010.0,995049.0,901540.0,1416981.4087479399,1313270.69386156,1191375.4291331498,4.87958333333334,5.36604166666667,5.03951184202271,4.69270833333333,4.34604166666667,3.2781746031746,354.11019513264625,363.51655338741494,324.32339399254545,0.24069,0.20395,0.16654,172.77847872659174,167.16850546816477,162.515271835206,-43589.3974,-47533.2013,-58747.726800000004,25883.527952005992,25584.48835604182,25255.63884313768,-0.3174999999999999,0.18687500000000945,1.0200000000000005,1.7613372388481103,0.05586025345119433,0.07030910035586187,0.07897131594509843,-0.025876010781671163,0.011688316444036027,0.04680053363842873,0.05735543844035088,0.02196074917930113,83281.32000000011,91206.55000000012,1256343.4256807691,1205047.527508,1191679.3932375,762409.8769230769,720146.8319999999,652747.7416666667,927735.6600281852,856985.9429474776,765719.4564781953,-3.3220644245729645,-2.94903033488922,-3.4120418328470628,-3.0185258327461826,-3.499800199389358,-4.757986732168153,188.89159528319925,206.22987167948662,173.99657529647618,0.03397573076923077,-0.0028748399999999896,-0.041963375000000025,53.17967001584556,49.47248462771533,46.68671978620475,-13004.959103846155,-17626.713524,-30042.95731666667,5620.952172674577,5534.78907977882,5422.853715494461,-0.3035385918267821,0.5507698645001373,1.3459448993210907,-0.08463645835345582,-0.09191458771834841,-0.022278338853326696,-0.10467416066428993,-0.008292885690702481,-0.08681113276163652,-0.02354681580404771,22248.939956521863,0.221366,0.289067,0.489567,-0.0677,0.062641,-0.084241,-0.146882,0.29756,0.062000052185462,-0.0252876999999999,0.305607,0.226426,0.467967,0.079182,-0.099703,0.068108,0.167812,0.293535,0.0689314978511276,0.0022229,-0.021041666666666653,-0.008492999999999973,0.029534999999999978,-0.012547666666666658,0.05861600000000001,-0.1052373333333333,-0.163854,0.029767555555555547,0.009124392795717431,-0.0456388999999999,0.0841956666666667,-0.06710900000000006,-0.01708666666666664,0.15130633333333332,-0.11982600000000003,0.04779633333333337,0.16762333333333335,0.03913377777777777,0.03205169981118986,-0.0135273666666667
