rank,pooled_feature,pooled_importance,r1_feature,r1_importance,r2_feature,r2_importance
1,term_spread_lag3_dm,0.7716304914517087,cpi_lag2_dm,0.3605508274675305,term_spread_lag3_dm,1.7171700645873622
2,term_spread_lag2_dm,0.42196073444839693,cpi_lag1_dm,0.32336964427454046,term_spread_lag1_dm,1.0119468933863052
3,term_spread_lag1_dm,0.3803639921573135,debtgdp_lag3_dm,0.32032144877071383,term_spread_lag2_dm,0.5950864165362633
4,debtgdp_lag3_dm,0.2619325520143524,cpi_lag3_dm,0.2145196759946974,hpnom_gr_lag1_dm,0.5616221972424553
5,tloans_gr_roll3_std_lag1_dm,0.21040555961987947,tloans_gr_roll3_std_lag1_dm,0.20200631738541588,tloans_slope4_lag1_dm,0.4190918918476344
6,hpnom_gr_lag1_dm,0.1933041006294428,stir_lag3_dm,0.1598835927422367,debtgdp_lag1_dm,0.2869662143823377
7,cpi_lag1_dm,0.1289996456932321,term_spread_lag3_dm,0.13684360688675223,rgdpmad_lag2_dm,0.24544887984309965
8,money_gr_lag1_dm,0.12675591978669892,tloans_gr_roll3_mean_lag1_dm,0.1344848292198578,stir_lag3_dm,0.23626737148758822
9,tloans_gr_lag1_dm,0.12204438791124685,hpnom_lag3_dm,0.12383164195567789,debtgdp_lag2_dm,0.23316783414877068
10,tmort_gr_lag1_dm,0.10954643999368699,term_spread_lag2_dm,0.1177624539698333,ltrate_lag1_dm,0.21983771245698322
