country,lag,feature,p_value,significant_05
BEL,1,tloans_gr,0.00927879530563983,True
BEL,2,tloans_gr,0.010848501682277911,True
BEL,3,tloans_gr,0.0409209284409671,True
CHE,1,tloans_gr,0.08115749260864395,False
CHE,2,tloans_gr,0.3395778231591981,False
CHE,3,tloans_gr,0.3698077999268015,False
DEU,1,tloans_gr,0.6662838333417176,False
DEU,2,tloans_gr,0.22383246492141706,False
DEU,3,tloans_gr,0.4719604415971451,False
DNK,1,tloans_gr,0.16650133084092825,False
DNK,2,tloans_gr,0.02416959875151051,True
DNK,3,tloans_gr,0.09249483318036864,False
ESP,1,tloans_gr,0.049143215897001664,True
ESP,2,tloans_gr,0.34162353035153264,False
ESP,3,tloans_gr,0.3752928187861382,False
FRA,1,tloans_gr,0.5580179181088069,False
FRA,2,tloans_gr,0.012205910847930407,True
FRA,3,tloans_gr,0.021800897177161466,True
GBR,1,tloans_gr,0.34330500220143645,False
GBR,2,tloans_gr,0.26171810202450063,False
GBR,3,tloans_gr,0.34402241967847746,False
IRL,1,tloans_gr,0.07585859247923597,False
IRL,2,tloans_gr,0.21184160865047372,False
IRL,3,tloans_gr,0.05591697720372763,False
ITA,1,tloans_gr,0.5807880344005837,False
ITA,2,tloans_gr,0.23551411343670808,False
ITA,3,tloans_gr,0.16483119527443515,False
JPN,1,tloans_gr,0.938809116665252,False
JPN,2,tloans_gr,0.915341684427697,False
JPN,3,tloans_gr,0.9430752790255994,False
NLD,1,tloans_gr,0.56133605208557,False
NLD,2,tloans_gr,0.7559801584282373,False
NLD,3,tloans_gr,0.1990683503131714,False
PRT,1,tloans_gr,0.730498442392261,False
PRT,2,tloans_gr,0.40029428125202193,False
PRT,3,tloans_gr,0.5683305984843183,False
SWE,1,tloans_gr,0.2620326544230948,False
SWE,2,tloans_gr,0.17440069395600835,False
SWE,3,tloans_gr,0.05139925762032355,False
USA,1,tloans_gr,0.9257019729409537,False
USA,2,tloans_gr,0.5443897747112423,False
USA,3,tloans_gr,1.495749603488193e-05,True
