year,country,iso,ifs,pop,rgdpmad,rgdpbarro,rconsbarro,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,unemp,wage,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,bdebt,lev,ltd,noncore,crisisjst,crisisjst_old,peg,peg_strict,peg_type,peg_base,jsttrilemmaiv,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr,P_pos,P_neg,P_neutral,n_speeches,net_sentiment,P_pos_lag1,P_pos_lag2,P_neg_lag1,P_neg_lag2,P_neutral_lag1,P_neutral_lag2,net_sentiment_lag1,net_sentiment_lag2,crisis_w2,tloans_lag1,tloans_lag2,tloans_lag3,tmort_lag1,tmort_lag2,tmort_lag3,money_lag1,money_lag2,money_lag3,ltrate_lag1,ltrate_lag2,ltrate_lag3,stir_lag1,stir_lag2,stir_lag3,hpnom_lag1,hpnom_lag2,hpnom_lag3,debtgdp_lag1,debtgdp_lag2,debtgdp_lag3,cpi_lag1,cpi_lag2,cpi_lag3,ca_lag1,ca_lag2,ca_lag3,rgdpmad_lag1,rgdpmad_lag2,rgdpmad_lag3,term_spread,term_spread_lag1,term_spread_lag2,term_spread_lag3,tloans_gr_lag1,tmort_gr_lag1,money_gr_lag1,hpnom_gr_lag1,rgdpmad_gr_lag1,tloans_lag1_dm,tloans_lag2_dm,tloans_lag3_dm,tmort_lag1_dm,tmort_lag2_dm,tmort_lag3_dm,money_lag1_dm,money_lag2_dm,money_lag3_dm,ltrate_lag1_dm,ltrate_lag2_dm,ltrate_lag3_dm,stir_lag1_dm,stir_lag2_dm,stir_lag3_dm,hpnom_lag1_dm,hpnom_lag2_dm,hpnom_lag3_dm,debtgdp_lag1_dm,debtgdp_lag2_dm,debtgdp_lag3_dm,cpi_lag1_dm,cpi_lag2_dm,cpi_lag3_dm,ca_lag1_dm,ca_lag2_dm,ca_lag3_dm,rgdpmad_lag1_dm,rgdpmad_lag2_dm,rgdpmad_lag3_dm,term_spread_lag1_dm,term_spread_lag2_dm,term_spread_lag3_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,P_pos_lag1_dm,P_neg_lag1_dm,P_neutral_lag1_dm,net_sentiment_lag1_dm,P_pos_lag2_dm,P_neg_lag2_dm,P_neutral_lag2_dm,net_sentiment_lag2_dm
2000,Australia,AUS,193,19053.0,21377.823125181403,90.24726282285393,85.8776,661159.0,0.2413036840459848,124.3326631460674,-27114.13059,123495.0,110355.0,115311.31040945792,441076.96608717,5.97608417817581,6.31456933440806,150.19367097858657,6.2826,134.68348923210792,0.19559,169921.0,160408.0,1.8050541516245489,501168.72,267210.0,313281.0,187887.0,507242.0,4.928369382543435,127.81136322021484,46.10480981998489,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.0502253957092762,0.1360531449317932,0.1729061156511306,0.0597608424723148,,,0.0996295362710952,0.0364236049354076,0.0331235229969024,0.0147645389661192,0.0349449105560779,,,,0.0631456896662712,0.0354608558118343,0.1099912896752357,0.1096161231398582,0.1163334771990776,0.183862,0.194881,0.621258,11.0,-0.011019,0.138977,0.16271,0.193348,0.240418,0.667676,0.596873,-0.054371,-0.077708,0,453447.4476,401898.5166,366159.4058,228489.0,202729.0,183868.0,420189.243571,384572.7590125,356961.8623,6.00931194298328,5.49297052826401,6.95491854388937,4.7584499580638,4.83681458215697,5.29024091685076,136.58554410582474,128.2686545348242,116.6922458525177,0.22588,0.23754,0.25908,119.02710704119848,117.3745567790262,116.37432898876403,-33767.15669,-28407.06774,-16281.49141,20970.89428666414,20377.949762010507,19612.09177301113,0.33848515623224973,1.2508619849194806,0.6561559461070399,1.6646776270386106,0.12826355129672068,0.1270661819473287,0.09261312384672138,0.06483961027861676,0.029097359232822737,-1067699.0050086956,-1052732.6747636364,-1020297.7613428573,-621284.6608695652,-606470.5,-584452.6761904762,-729147.5620028118,-719321.1286328486,-699551.2104713179,1.322109506542061,0.6605922083481905,2.0202444468347016,0.6672370224908608,0.6128949979973823,0.9366108763026206,-171.55336935715405,-171.9923438404226,-173.9690667148148,-0.014203913043478261,0.0077272727272727215,0.03815238095238094,-39.05426277479238,-38.78946626149133,-37.836774235776716,9921.802021304342,17896.16065818182,30385.13475952381,-3570.5307483750803,-4006.866665499587,-4606.100946740698,0.6548724840512004,0.04769721035080743,1.0836335705320814,0.027137711105800585,0.01858786343785916,0.006640744345916827,-0.0033545419643989105,0.0127571066385581,-0.06680913043478262,-0.07051860869565221,0.1373286521739131,0.003709304347826084,-0.04324181818181819,-0.022194454545454517,0.06543718181818181,-0.021047545454545458
2001,Australia,AUS,193,19294.0,21662.025668109956,92.42640029478908,87.2277,705066.0,0.228653449810654,129.81217191011234,-15885.13698,124382.0,122531.0,139992.22499339384,502184.66369387,4.80019007719122,5.61526432840721,162.67631367390192,6.7423,141.78812268871005,0.17177,166079.0,164548.0,1.9584802193497843,552921.38,302902.0,352485.0,200436.0,523429.0,6.8474741630419045,123.5514144897461,43.126594422721794,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.1013462468981742,0.1172961890697479,0.0177284330129623,0.0480019003152847,,,0.0831058472394943,0.0341903455555439,0.0315669476985931,0.0650458037853241,0.0340834558010101,,,,0.0561526417732238,0.0363004431128501,0.1085455864667892,0.1123865693807601,0.0328651666641235,0.130977,0.459429,0.409594,5.0,-0.328453,0.183862,0.138977,0.194881,0.193348,0.621258,0.667676,-0.011019,-0.054371,0,501168.72,453447.4476,401898.5166,267210.0,228489.0,202729.0,441076.96608717,420189.243571,384572.7590125,6.31456933440806,6.00931194298328,5.49297052826401,5.97608417817581,4.7584499580638,4.83681458215697,150.19367097858657,136.58554410582474,128.2686545348242,0.19559,0.22588,0.23754,124.3326631460674,119.02710704119848,117.3745567790262,-27114.13059,-33767.15669,-28407.06774,21377.823125181403,20970.89428666414,20377.949762010507,0.8150742512159894,0.33848515623224973,1.2508619849194806,0.6561559461070399,0.10524102109864861,0.16946548849178736,0.04971027420562844,0.09963079886564295,0.01940445805289464,-1019977.7326086957,-1001183.7437636363,-984558.6505428574,-582563.6608695652,-580710.5,-565591.6761904762,-708259.8394866418,-683704.6440743487,-671940.3137588177,1.6273668979668408,1.1769336230674607,0.5582964312093415,1.8848712426028715,0.5345303739042118,0.4831845416088312,-157.94524248439222,-163.67545426942206,-162.3926580325083,-0.044493913043478245,-0.003932727272727282,0.016612380952380962,-33.74870666992345,-37.136915999319044,-36.83654644551456,16574.828121304345,12536.071708181815,18259.558429523815,-3163.601909857818,-3413.9221408459525,-3840.2429577413204,-0.25750434463603056,0.6424032491632482,0.07511188960051074,0.004115180907728513,0.06098716998231783,-0.036262105295176116,0.03143664662262728,0.0030642054586300024,-0.021924130434782613,-0.0689856086956522,0.09091065217391303,0.047061304347826086,-0.06697481818181819,-0.06926445454545452,0.13624018181818187,0.002289454545454539
2002,Australia,AUS,193,19345.0,22236.935272996816,94.3409643644187,89.3663,754253.0,0.2545782871389858,133.76959490636705,-28767.20942,134039.0,119458.0,179972.44034980447,537277.23965247,4.55083333333333,5.84395771110088,195.9657969743477,6.3676,147.49619316945837,0.15062,170753.0,174403.0,1.7661603673613564,638061.02,350989.0,410680.0,227381.0,570396.0,5.39836865823757,121.30997467041016,43.931485378416255,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,-0.080964095890522,0.2369515746831894,0.1277306079864502,0.0455083325505256,,,0.2046398967504501,0.0323116742074489,0.0268226843327283,-0.1144081652164459,0.0377646572887897,,,,0.0584395788609981,0.0334440730512142,0.1523730009794235,0.1552301347255706,0.0866194665431976,0.211936,0.439675,0.348389,11.0,-0.227739,0.130977,0.183862,0.459429,0.194881,0.409594,0.621258,-0.328453,-0.011019,0,552921.38,501168.72,453447.4476,302902.0,267210.0,228489.0,502184.66369387,441076.96608717,420189.243571,5.61526432840721,6.31456933440806,6.00931194298328,4.80019007719122,5.97608417817581,4.7584499580638,162.67631367390192,150.19367097858657,136.58554410582474,0.17177,0.19559,0.22588,129.81217191011234,124.3326631460674,119.02710704119848,-15885.13698,-27114.13059,-33767.15669,21662.025668109956,21377.823125181403,20970.89428666414,1.2931243777675503,0.8150742512159894,0.33848515623224973,1.2508619849194806,0.10326394672037799,0.13357284532764493,0.13854202850081113,0.08311031093377447,0.013294269545797897,-968225.0726086957,-953462.4713636364,-933009.7195428573,-546871.6608695652,-541989.5,-539831.6761904762,-647152.1418799418,-662816.9215581787,-636323.8292003179,0.9280618919659904,1.4821910144922406,1.0746378459286117,0.7089771416182815,1.7521645940162225,0.4048199175156606,-145.46259978907688,-150.06732739666023,-154.07576846150778,-0.06831391304347825,-0.034222727272727266,0.004952380952380958,-28.269197905878514,-31.831359894450117,-35.18399618334227,27803.821731304346,19189.097808181818,12899.46947952381,-2879.399366929265,-3006.9933023286903,-3247.298433087686,0.21908475034770913,-0.2699735795239827,0.6698179284129515,0.002138106529457895,0.02509452681817541,0.052569649000006574,0.014916158690758796,-0.0030459830484667397,-0.0748091304347826,0.19556239130434777,-0.12075334782608693,-0.2703726956521739,-0.022089818181818183,-0.06773145454545451,0.0898221818181818,0.04564145454545454
2003,Australia,AUS,193,19767.0,22666.27778851437,96.98194132936084,93.2298,800960.0,0.2642255431176145,137.42260074906366,-42875.38879999999,136544.0,107956.0,198074.8685167553,601112.9571911701,4.80916666666667,5.36677549770342,231.631572023679,5.9287,153.83946051772898,0.13208,183659.0,182268.0,1.3333333333333333,755126.42,419409.0,486353.0,268773.0,572036.0,5.204275170435823,123.07186889648438,41.73241972826925,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.1586419343948364,0.2093421518802642,0.0228168983012437,0.0480916649103164,,,0.1820009648799896,0.0273411925882101,0.0231312774121761,0.1110737696290016,0.0428127907216548,,,,0.0536677539348602,0.0475681684911251,0.1907079666852951,0.1961714625358581,0.0354542806744575,0.188713,0.434833,0.376454,6.0,-0.24612,0.211936,0.130977,0.439675,0.459429,0.348389,0.409594,-0.227739,-0.328453,0,638061.02,552921.38,501168.72,350989.0,302902.0,267210.0,537277.23965247,502184.66369387,441076.96608717,5.84395771110088,5.61526432840721,6.31456933440806,4.55083333333333,4.80019007719122,5.97608417817581,195.9657969743477,162.67631367390192,150.19367097858657,0.15062,0.17177,0.19559,133.76959490636705,129.81217191011234,124.3326631460674,-28767.20942,-15885.13698,-27114.13059,22236.935272996816,21662.025668109956,21377.823125181403,0.5576088310367506,1.2931243777675503,0.8150742512159894,0.33848515623224973,0.1539814575446513,0.15875431657763897,0.06987982408796196,0.20463632687901515,0.026539974317047393,-883085.4326086957,-901709.8113636364,-885288.4471428574,-498784.6608695652,-506297.5,-501110.67619047617,-612059.5659213418,-601709.2239514787,-615436.1066841478,1.1567552746596608,0.7828860084913902,1.3798952373533915,0.459620397760391,0.5762704930316325,1.6224541376276713,-112.17311648863108,-137.58468470134488,-140.46764158874595,-0.08946391304347825,-0.058042727272727274,-0.025337619047619026,-24.311774909623807,-26.35185113040518,-29.878440078473346,14921.749291304346,30418.09141818182,19552.495579523813,-2304.4897620424053,-2722.790759400137,-2840.369594570424,0.69713487689927,0.20661551545975698,-0.2425589002742794,0.05285561735373122,0.050275998068169445,-0.016092555412842588,0.13644217463599947,0.010199721722782756,0.006149869565217403,0.17580839130434778,-0.18195834782608694,-0.1696586956521739,-0.07497481818181817,0.19681654545454547,-0.12184181818181816,-0.27179254545454545
2004,Australia,AUS,193,19995.0,23322.00788305354,98.1709022156972,96.1831,861039.0,0.2675819507177675,140.6407249438202,-54443.49597000001,148924.0,117773.0,211328.75215886932,655708.160473812,5.25,5.59077450749734,246.72093839070376,5.3947,160.9876006090929,0.11942,192723.0,189587.0,1.2836970474967908,865325.92,474827.0,549628.0,315698.0,617142.0,4.784511755178226,124.59059143066406,43.48126565073752,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.2756807804107666,0.0888470411300659,0.0823613330721855,0.0524999983608722,,,0.0651421248912811,0.0237049181014299,0.0222551692277193,0.2259830683469772,0.0405370220541954,,,,0.0559077449142932,0.0496977008879184,0.1386108547449112,0.1406475752592086,0.067430667579174,0.197748,0.265144,0.537108,8.0,-0.067395,0.188713,0.211936,0.434833,0.439675,0.376454,0.348389,-0.24612,-0.227739,0,755126.42,638061.02,552921.38,419409.0,350989.0,302902.0,601112.9571911701,537277.23965247,502184.66369387,5.36677549770342,5.84395771110088,5.61526432840721,4.80916666666667,4.55083333333333,4.80019007719122,231.631572023679,195.9657969743477,162.67631367390192,0.13208,0.15062,0.17177,137.42260074906366,133.76959490636705,129.81217191011234,-42875.38879999999,-28767.20942,-15885.13698,22666.27778851437,22236.935272996816,21662.025668109956,0.34077450749733984,0.5576088310367506,1.2931243777675503,0.8150742512159894,0.18347054016871306,0.19493488399921366,0.11881336641021924,0.1820000000000001,0.01930762986205753,-766020.0326086957,-816570.1713636364,-833535.7871428573,-430364.6608695652,-458210.5,-465418.67619047617,-548223.8483826417,-566616.6479928787,-554328.4090774478,0.6795730612622011,1.0115793911850606,0.6805902313525412,0.717953731093731,0.32691374917374194,0.4465600366430813,-76.50734143929978,-104.29520140089909,-127.9849988934306,-0.10800391304347826,-0.07919272727272728,-0.04915761904761903,-20.658769066927192,-22.394428134150473,-24.39893131442841,813.569911304352,17536.01897818182,30781.489189523814,-1875.1472465248517,-2147.8811545132776,-2556.167051641871,-0.03838066983152966,0.6846656420113179,0.2340301947094603,0.08234469997779297,0.08645656548974413,0.032840986909414685,0.11380584775698444,0.0029673772677928922,-0.01707313043478262,0.17096639130434782,-0.15389334782608693,-0.18803969565217393,0.005984181818181833,0.17706254545454547,-0.18304681818181817,-0.17107854545454546
2005,Australia,AUS,193,20232.0,23764.613687385267,100.0,97.9226,922371.0,0.27598881251206,144.38070711610487,-54844.17966,164137.0,139080.0,233036.6396546432,710108.9448927271,5.4575,5.33997311398556,250.24832273624205,5.0325,167.70720034805314,0.10891,211032.0,207932.0,1.362954886193267,985477.6,531848.0,615977.0,369501.0,710925.0,4.907004130195782,129.52720642089844,43.36338977701593,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.210878312587738,0.0370575487613678,0.0635770782828331,0.0545749999582767,,,0.0142954997718334,0.0227620508521795,0.022441241890192,0.1617774069309234,0.0422636158764362,,,,0.0533997304737567,0.0491009131073951,0.0860600769519805,0.0867671519517898,0.0590760409832,0.178847,0.22918,0.591973,10.0,-0.050332,0.197748,0.188713,0.265144,0.434833,0.537108,0.376454,-0.067395,-0.24612,0,865325.92,755126.42,638061.02,474827.0,419409.0,350989.0,655708.160473812,601112.9571911701,537277.23965247,5.59077450749734,5.36677549770342,5.84395771110088,5.25,4.80916666666667,4.55083333333333,246.72093839070376,231.631572023679,195.9657969743477,0.11942,0.13208,0.15062,140.6407249438202,137.42260074906366,133.76959490636705,-54443.49597000001,-42875.38879999999,-28767.20942,23322.00788305354,22666.27778851437,22236.935272996816,-0.11752688601443939,0.34077450749733984,0.5576088310367506,1.2931243777675503,0.14593516672347392,0.13213354982844908,0.09082353429503467,0.06514382402707265,0.028929765207035694,-655820.5326086957,-699504.7713636364,-748396.1471428573,-374946.6608695652,-389790.5,-417331.67619047617,-493628.64509999973,-502780.9304541786,-519235.8331188478,0.9035720710561206,0.5343971777876009,0.9092836140462115,1.1587870644270613,0.5852470825070819,0.19720329278519078,-61.41797507227503,-68.62942635156779,-94.6955155929848,-0.12066391304347826,-0.09773272727272728,-0.07030761904761904,-17.44064487217065,-18.74142229145386,-20.441508318173703,-10754.537258695666,3427.839598181825,17899.416749523814,-1219.4171519856827,-1718.5386389957239,-1981.2574467550112,-0.25521499337094045,-0.05084990471948181,0.7120803212610212,0.04480932653255383,0.02365523131897955,0.0048511547942301225,-0.0030503282159430184,0.012589512612771057,-0.008038130434782603,0.0012773913043477858,0.006760652173913084,-0.00931469565217391,-0.01723881818181819,0.17222054545454551,-0.15498181818181817,-0.18945954545454546
2006,Australia,AUS,193,20489.0,24097.573450962896,101.2892063714986,100.0,996430.0,0.2737439523095031,149.51231056179776,-58500.405300000006,184750.160008,163753.0,258691.49340122173,802491.625485827,5.805,5.5878722441858,269.84490243367674,4.7823,175.99738960191434,0.09959,225513.0,209797.0,1.2637432073802604,1124441.89,588836.0,685281.0,439161.0,815892.0,4.703203638733361,129.28997802734375,44.17216340154606,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.2496554255485534,0.1014699265360832,0.0092427870258688,0.0580499991774559,,,0.0783103182911872,0.023159610107541,0.0214776862412691,0.1986705809831619,0.0425344891846179,,,,0.0558787211775779,0.0509848408401012,0.1454662233591079,0.1479840576648712,0.0336463935673236,0.176564,0.26576,0.557676,6.0,-0.089196,0.178847,0.197748,0.22918,0.265144,0.591973,0.537108,-0.050332,-0.067395,0,985477.6,865325.92,755126.42,531848.0,474827.0,419409.0,710108.9448927271,655708.160473812,601112.9571911701,5.33997311398556,5.59077450749734,5.36677549770342,5.4575,5.25,4.80916666666667,250.24832273624205,246.72093839070376,231.631572023679,0.10891,0.11942,0.13208,144.38070711610487,140.6407249438202,137.42260074906366,-54844.17966,-54443.49597000001,-42875.38879999999,23764.613687385267,23322.00788305354,22666.27778851437,-0.2171277558141993,-0.11752688601443939,0.34077450749733984,0.5576088310367506,0.1388513590347553,0.12008794782099586,0.08296493424697546,0.014297061159650603,0.018978031675108836,-535668.8526086957,-589305.2713636364,-631330.7471428573,-317925.6608695652,-334372.5,-348911.67619047617,-439227.8606810847,-448185.72717153665,-455400.1155801477,0.6527706775443409,0.7583961875815204,0.4321014006487518,1.3662870644270608,1.0260804158404122,0.45553662611853074,-57.89059072673675,-53.540059984543035,-59.0297405436535,-0.13117391304347825,-0.11039272727272728,-0.08884761904761904,-13.700662699885982,-15.523298096697317,-16.788502475477088,-11155.220948695656,-8140.267571818193,3791.2373695238202,-776.8113476539547,-1062.808544456555,-1551.9149312374575,-0.7135163868827197,-0.2676842282588926,-0.023435225469778498,0.037725518843835196,0.011609629311526329,-0.003007445253829094,-0.053897091083365066,0.002637779080844199,-0.026939130434782604,-0.03468660869565221,0.061625652173913026,0.007748304347826085,-0.008203818181818173,0.0025315454545454807,0.005672181818181854,-0.010734545454545455
2007,Australia,AUS,193,20750.0,24911.57786781549,104.52805991558324,100.3681,1086590.0,0.2781956015647278,153.03485191011234,-72997.1162,196756.41525,168386.0,292631.305075079,984506.232993645,6.38752653589776,5.99452083739212,300.41556676167505,4.377,183.9895584076572,0.09688,254761.0,224579.0,1.134301270417423,1352075.7899999998,660823.0,772485.0,579591.0,961787.0,4.451882694713134,117.1962890625,37.63911227115846,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.1795337051153183,0.135941743850708,0.0277993865311145,0.0638752654194831,,,0.1132909655570983,0.0226507745683193,0.0203457809984684,0.1376078575849533,0.036854401230812,,,,0.0599452070891857,0.0419258549809455,0.1461252123117447,0.1481266319751739,0.045837327837944,0.242618,0.214351,0.543032,8.0,0.028266,0.176564,0.178847,0.26576,0.22918,0.557676,0.591973,-0.089196,-0.050332,0,1124441.89,985477.6,865325.92,588836.0,531848.0,474827.0,802491.625485827,710108.9448927271,655708.160473812,5.5878722441858,5.33997311398556,5.59077450749734,5.805,5.4575,5.25,269.84490243367674,250.24832273624205,246.72093839070376,0.09959,0.10891,0.11942,149.51231056179776,144.38070711610487,140.6407249438202,-58500.405300000006,-54844.17966,-54443.49597000001,24097.573450962896,23764.613687385267,23322.00788305354,-0.3930056985056405,-0.2171277558141993,-0.11752688601443939,0.34077450749733984,0.1410121244764974,0.10715091529910802,0.1300964890775397,0.07830853563038338,0.014010737475373802,-396704.5626086958,-469153.5913636364,-521131.2471428573,-260937.6608695652,-277351.5,-293493.67619047617,-346845.1800879848,-393784.9427526216,-400804.91229750577,0.9006698077445812,0.5075947940697407,0.6561004104426713,1.713787064427061,1.2335804158404118,0.896369959451861,-38.294011029302055,-50.012675639004755,-43.94037417662875,-0.14049391304347825,-0.12090272727272727,-0.10150761904761904,-8.569059254193093,-11.783315924412648,-13.570378280720547,-14811.44658869566,-8540.951261818183,-7776.869800476197,-443.8515840763248,-620.202740124827,-896.1848366982886,-0.8131172566824796,-0.7259856217706718,-0.2402695490091893,0.03988628428557732,-0.0013274032103615108,0.044124109576735154,0.010114383387367712,-0.0023295151188908354,-0.02922213043478261,0.0018933913043477912,0.027328652173913004,-0.03111569565217391,-0.027104818181818174,-0.033432454545454515,0.060537181818181796,0.00632845454545454
2008,Australia,AUS,193,21007.0,25218.3018906546,106.2018600946776,100.6207,1177310.0,0.2827868885624922,159.68854112359548,-55780.94780000001,236528.046,222341.0,331574.19315596984,1145669.75846472,6.67166666666667,5.81794393964159,313.5452751589564,4.2342,191.2116597781162,0.11753,303713.0,281011.0,1.443418013856813,1561969.96,775210.0,879526.0,682444.0,1117401.0,4.044531358688147,118.35212707519533,42.42196331727514,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,-0.4038478434085846,0.0656355917453765,0.2755560278892517,0.0667166635394096,,,0.043702732771635,0.0219328571110963,0.021014466881752,-0.4301043450832367,0.0460724383592605,,,,0.0581794381141662,0.0262564830482006,-0.0327986851334571,-0.0391776338219642,0.1711363494396209,0.184117,0.340125,0.475758,12.0,-0.156009,0.242618,0.176564,0.214351,0.26576,0.543032,0.557676,0.028266,-0.089196,0,1352075.7899999998,1124441.89,985477.6,660823.0,588836.0,531848.0,984506.232993645,802491.625485827,710108.9448927271,5.99452083739212,5.5878722441858,5.33997311398556,6.38752653589776,5.805,5.4575,300.41556676167505,269.84490243367674,250.24832273624205,0.09688,0.09959,0.10891,153.03485191011234,149.51231056179776,144.38070711610487,-72997.1162,-58500.405300000006,-54844.17966,24911.57786781549,24097.573450962896,23764.613687385267,-0.8537227270250805,-0.3930056985056405,-0.2171277558141993,-0.11752688601443939,0.20244167530969512,0.12225305518005013,0.2268118466627321,0.11328976034858418,0.033779518029441534,-169070.66260869591,-330189.3013636365,-400979.56714285736,-188950.6608695652,-220363.5,-236472.67619047617,-164830.57258016674,-301402.2621595217,-346404.1278785907,1.3073184009509005,0.755493924269981,0.40529901693089165,2.2963136003248215,1.581080415840412,1.1038699594518606,-7.72334670130374,-30.416095941570063,-40.41298983109047,-0.14320391304347826,-0.13022272727272727,-0.11201761904761903,-5.046517905878517,-6.651712478719759,-9.830396108435878,-29308.15748869566,-12197.176901818188,-8177.553490476188,370.15283277626804,-287.24297654719703,-453.57903236656057,-0.9889951993739208,-0.8255864915704317,-0.6985709425209685,0.10131583511877502,0.0137747366705806,0.14083946716192755,0.04509560810556851,0.017439265435176897,0.03683186956521739,-0.04951560869565219,0.012684652173913014,0.08634630434782609,-0.02938781818181818,0.003147545454545486,0.026240181818181774,-0.032535545454545456
2009,Australia,AUS,193,21388.48305084746,25255.63884313768,106.05046160239094,101.2158,1260140.0,0.2732171709171551,162.515271835206,-58747.7268,208833.954778,196556.0,345265.2056582207,1191375.4291331498,3.2781746031746,5.03951184202271,324.32339399254545,5.5607,198.55775505764635,0.16654,298933.0,324569.0,1.11495149960977,1686967.5,901540.0,1005488.94,681479.0,1057062.0,4.655062152576556,120.7187728881836,44.85163828870131,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.3957807421684265,0.0567975603044033,-0.0755839422345161,0.03278174623847,,,0.03437465056777,0.0224229097366333,0.0216777455061674,0.3343262374401092,0.04605657979846,,,,0.0503951199352741,0.0614545010030269,0.1370964795351028,0.1431483328342437,-0.021401097998023,0.237499,0.326129,0.436371,15.0,-0.08863,0.184117,0.242618,0.340125,0.214351,0.475758,0.543032,-0.156009,0.028266,0,1561969.96,1352075.7899999998,1124441.89,775210.0,660823.0,588836.0,1145669.75846472,984506.232993645,802491.625485827,5.81794393964159,5.99452083739212,5.5878722441858,6.67166666666667,6.38752653589776,5.805,313.5452751589564,300.41556676167505,269.84490243367674,0.11753,0.09688,0.09959,159.68854112359548,153.03485191011234,149.51231056179776,-55780.94780000001,-72997.1162,-58500.405300000006,25218.3018906546,24911.57786781549,24097.573450962896,1.7613372388481103,-0.8537227270250805,-0.3930056985056405,-0.2171277558141993,0.15523846484966658,0.1730977886665567,0.16369985285010927,0.043705153294194464,0.01231250884494881,40823.50739130424,-102555.4013636366,-262015.27714285743,-74563.66086956521,-148376.5,-179484.67619047617,-3667.0471090916544,-119387.65465170366,-254021.4472854908,1.1307415032003707,1.1621425174763003,0.6531981471311319,2.5804537310937317,2.1636069517381724,1.4513699594518608,5.40636169597758,0.15456838642825232,-20.81641013365578,-0.12255391304347826,-0.13293272727272729,-0.12133761904761904,1.6071713076046308,-3.129171130405183,-4.698792662742989,-12091.989088695664,-26693.887801818186,-11833.779130476192,676.8768556153773,526.7614403053958,-120.61926878893064,-1.4497122278933607,-1.001464434261873,-0.7981718123207284,0.054112624658746486,0.06461947015708717,0.07772747334930472,-0.024488998948821207,-0.004027743749315827,-0.021669130434782607,0.0762583913043478,-0.05458934782608693,-0.09792869565217392,0.03666618181818182,-0.048261454545454496,0.011596181818181783,0.08492645454545454
