tloans_lag1_dm,tmort_lag1_dm,money_lag1_dm,ltrate_lag1_dm,stir_lag1_dm,hpnom_lag1_dm,debtgdp_lag1_dm,cpi_lag1_dm,ca_lag1_dm,rgdpmad_lag1_dm,term_spread_lag1_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_lag2_dm,tmort_lag2_dm,money_lag2_dm,ltrate_lag2_dm,stir_lag2_dm,hpnom_lag2_dm,debtgdp_lag2_dm,cpi_lag2_dm,ca_lag2_dm,rgdpmad_lag2_dm,term_spread_lag2_dm,tloans_lag3_dm,tmort_lag3_dm,money_lag3_dm,ltrate_lag3_dm,stir_lag3_dm,hpnom_lag3_dm,debtgdp_lag3_dm,cpi_lag3_dm,ca_lag3_dm,rgdpmad_lag3_dm,term_spread_lag3_dm,P_pos_lag1_dm,P_neg_lag1_dm,P_neutral_lag1_dm,net_sentiment_lag1_dm,P_pos_lag2_dm,P_neg_lag2_dm,P_neutral_lag2_dm,net_sentiment_lag2_dm
-0.06812126,0.014828884,-0.0099022,-0.08111768,0.01919262,-0.6246743,-0.01388385,-0.3177784,-0.13019976,-0.40732086,-0.3121409,-0.26987064,-0.9952069,-0.5312391,-0.15335223,-0.023445923,-0.18640815,-0.0032577661,0.09954923,0.044134114,-0.05103404,-0.18285541,0.008420238,-0.009984933,0.040301245,-0.555439,-0.05251994,-0.14016694,0.00034671673,0.46574897,-0.1750942,-1.6981086,-0.096146785,-0.07274653,-0.006456841,-0.20894082,0.11756734,0.08002823,0.011720263,0.18521349,0.14589752,0.016176434,-0.011957606,-0.094489284,0.011455684,-0.012673835
-0.056092467,0.02568493,-0.012069795,-0.05603017,0.01625845,-0.6529805,-0.018587412,-0.3540469,-0.14225215,-0.95585865,-0.07759839,-0.26147762,1.1721836,-0.82167923,-0.17017931,-0.10694012,-0.35052076,-0.0063610906,0.05521183,0.06275796,0.040490296,-0.22416706,0.0063821063,-0.009984933,0.0445109,-0.5100377,0.007813423,-0.13259803,0.0005046589,0.42426467,0.07097477,-0.7596601,-0.14643018,-0.09851125,-0.27263108,-0.21623805,0.11756734,0.16504928,0.011720263,0.21823478,0.09133205,-0.02807251,0.009529125,0.089063294,0.013643883,-0.012673835
-0.07796594,0.010142264,0.053505648,-0.09808136,0.02710764,-0.63033545,0.011633629,-0.22390427,-0.3323909,-0.91862994,-0.27594787,-0.29996747,-0.97820944,0.7225528,-0.07334087,-0.3142636,-0.11568607,-0.0032577661,0.110858835,0.05874827,-1.0139357,-0.24520926,-0.0003491427,-0.033114504,0.016770998,-0.38832152,-0.037232444,-0.09426589,0.0012745624,0.65606767,-0.13936147,0.57959306,-0.16049166,-0.05122329,0.021006482,0.0040069725,0.116677955,0.13641472,0.009596646,-0.23372371,-0.060020424,0.0012410337,-0.01497912,0.098147765,0.024107654,0.0069103157
-0.07270579,0.02568493,0.07049922,-0.17130847,0.020207243,-0.4041441,-0.026534922,-0.18758163,-0.14347668,-0.38609183,-0.24721052,0.42278773,1.1557782,-0.6821561,0.19486836,-0.025491545,-0.18370973,-0.053553864,0.03743182,0.039284837,-0.058193732,-0.17664057,-0.0067345877,-0.009984933,0.05933693,-0.5792261,-0.013067847,-0.109121926,0.00034671673,0.31680334,-0.04609083,-2.5022264,-0.15158392,-0.057561837,-0.31338438,-0.17909975,0.09177296,-0.18663004,0.016163202,-0.17419161,0.04484636,0.0034723636,0.014946839,-0.064897954,-0.025258744,-0.010368705
-0.18366155,0.02568493,0.16958188,-0.09671689,0.022491094,-0.73121023,0.014899459,-0.22888608,-0.34798053,-1.0019913,-0.10402724,0.223277,-0.13735808,-0.309278,0.20992184,-0.11163915,-0.3529545,-0.0063610906,0.054788824,0.057463866,-0.02067364,-0.32954785,-0.003945431,-0.01046056,0.03678571,-0.5501932,0.016524535,-0.11028468,0.0005046589,0.40120846,0.036774747,0.33521384,-0.21319829,-0.0554787,-0.29734206,-0.21623805,0.09050064,0.14632821,0.009596646,-0.24733011,-0.06793393,-0.0004340317,-0.01779834,-0.07880017,-0.046392843,-0.011737941
-0.05133793,0.010272148,0.09981226,-0.088367656,0.022336122,-0.74714893,0.03545114,-0.37690502,0.3952287,-0.9664347,-0.09439407,-0.09748142,-1.0230225,-0.5459721,-0.14445782,-0.08358183,-0.35052076,-0.0032577661,0.10242725,0.060931776,-0.06239003,-0.376495,-0.011389915,-0.0033186087,0.01399652,-0.55481803,-0.03198775,-0.12874392,0.0005046589,0.7589358,-0.14449759,1.0579464,-0.15471365,-0.0538729,0.083932064,-0.21623805,0.115405634,0.12565021,0.009596646,-0.16583477,-0.056541782,0.011408515,-0.0156788,-0.07880017,-0.03392669,-0.011737941
-0.08775983,0.0071385144,0.09665365,-0.06452477,0.034066427,-0.82003075,0.01846699,-0.33714768,0.15738384,0.033828113,0.14210811,-0.14813602,-1.2985519,-0.5988404,-0.1500827,-0.2455121,-0.35052076,-0.0032577661,0.09954923,0.06275796,-0.030270774,-0.20310357,0.0011970934,-0.009984933,-0.06546363,0.08992946,-0.048880763,-0.16364306,0.0005046589,0.7896813,0.06961075,-1.1987842,-0.15825658,-0.09181343,0.20919786,-0.093283035,0.1401825,0.091459125,0.011720263,0.19318323,-0.035035565,0.021165596,-0.0156788,-0.094489284,0.010938144,-0.0021423232
-0.08844205,-0.008036328,0.03982141,-0.15439224,0.05370961,-0.323746,0.01153888,-0.18394174,0.16336119,0.014429847,0.13530001,-0.31905448,-1.2945269,0.7620888,-0.06742172,-0.18697523,-0.07858363,-0.0032577661,0.09081145,0.06829292,-0.40379795,-0.22670794,-0.00016940339,-0.01532387,-0.07593483,0.2286391,-0.05251994,-0.11121835,0.0012115805,0.5769408,0.0612844,-2.3013132,-0.09986713,-0.07965599,0.25839335,-0.021101527,0.1421543,-0.13224068,0.009596646,-0.19518925,-0.025176387,0.012413153,-0.022573637,-0.094489284,0.010938144,-0.0028156922
-0.0903337,-0.012190129,0.02721778,-0.20319784,-0.021358518,-0.16328323,0.005287609,0.0978602,0.14278111,0.02440901,0.110178836,0.32321736,-0.9787141,0.95908874,-0.048443165,0.006977043,-0.07588521,-0.013067709,0.0877301,0.0464217,-0.4527615,-0.16255529,-0.00016940339,-0.01532387,-0.111528054,0.15230946,-0.057559013,-0.10555811,0.0012115805,0.5114899,0.02686148,-3.566854,-0.06112727,-0.08420111,0.23137535,-0.014141227,-0.06703999,-0.23737708,0.01404325,0.17817631,-0.07904935,-0.01361481,0.01397744,-0.080690786,0.010938144,-0.011780981
0.1815058,-0.021046415,0.06656013,-0.23359832,-0.04299548,-0.1290396,0.003060302,0.052062836,0.2010278,0.046718393,0.11591051,0.5500047,0.09906128,0.62493116,-0.040833514,-0.07081112,0.057075415,-0.053553864,0.044329535,0.04209336,-1.1719118,0.08465792,-0.00039946148,0.02439731,-0.17239828,-0.082641594,-0.040806923,-0.0317556,0.0012115805,0.4517889,0.01812296,-3.5342355,0.038108196,-0.129264,0.41020775,0.004816734,-0.13224988,-0.26404044,0.009596646,-0.19371639,-0.0661008,-0.03337461,-0.025366986,0.089063294,0.01934024,-0.005031134
