country,n_obs,p_lag1_tloans_gr,p_lag2_tloans_gr,f_lag2_tloans_gr,p_lag1_crisisjst,p_lag2_crisisjst,f_lag2_crisisjst
AUS,23,0.5096069985879609,0.6330177195801614,0.4705771742934364,,,
BEL,23,0.9315543857231698,0.4082908357600687,0.9478518113778762,0.6156375454729109,0.6332401537207015,0.4702051915714309
CAN,23,0.17524628280984336,0.806508376467206,0.21795723058177668,,,
CHE,23,0.6148306092319329,0.8342360181203234,0.1833074844441318,0.7448040356729646,0.3406252978300803,1.1528295468917014
DEU,23,0.3816139307033656,0.7191462723447043,0.33657828495408326,0.39972948598839064,0.399776445986405,0.9714540404875731
DNK,23,0.024469624449858635,0.11549729021359724,2.4777615970402933,0.10565739893748671,0.024545743988991585,4.715778727245238
ESP,23,0.17848723228725147,0.6263564958656171,0.48178557009713696,0.9600543020528589,0.19129083341217967,1.8373521244484865
FIN,23,0.26129838396915417,0.9464935227439738,0.05518058721028946,,,
FRA,23,0.7010364839584196,0.4702077785050079,0.7913133679538403,0.8546693186450106,0.46677411357269133,0.7993712588807718
GBR,23,0.6909288163843742,0.6662036545498706,0.4166469554723538,0.6460243767334084,0.9070050883560771,0.09820509593292605
IRL,23,0.8860800595751288,0.18482942651559972,1.8796963643791502,0.18719921456388874,0.2954857775392387,1.3169317522251565
ITA,23,0.701870614770961,0.23786766044829924,1.57300006488639,0.2839418554091547,0.4343254782805194,0.8789799168742518
JPN,23,0.00814277103788527,0.015239188230033597,5.496456454884635,,,
NLD,23,0.20304996372513634,0.5139774617514886,0.6940468783121334,0.643825580734845,0.858938982854935,0.15351168231348583
NOR,23,0.9247406029306446,0.04633439143896499,3.744973847613491,,,
PRT,23,0.8379286906936799,0.6159060735565198,0.4996428274486961,0.6133044498029361,0.760729494713176,0.27820553642987145
SWE,23,0.3363511658856524,0.15882474187226564,2.0687421047916628,0.22037462958850346,0.3662866296838961,1.0701058149619893
USA,23,0.5047277796613314,0.6716886533132642,0.40802482905538506,0.7090186837439378,0.9353818404010568,0.0670801192245273
