year,country,iso,ifs,pop,rgdpmad,rgdpbarro,rconsbarro,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,unemp,wage,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,bdebt,lev,ltd,noncore,crisisjst,crisisjst_old,peg,peg_strict,peg_type,peg_base,jsttrilemmaiv,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr,P_pos,P_neg,P_neutral,n_speeches,net_sentiment,P_neg_change,P_pos_change,net_sent_change,P_neg_roll3_mean,P_neg_roll3_std,net_sentiment_roll3_mean,net_sentiment_roll3_std,P_neg_slope4,net_sent_slope4,P_pos_lag1,P_pos_lag2,P_neg_lag1,P_neg_lag2,P_neutral_lag1,P_neutral_lag2,net_sentiment_lag1,net_sentiment_lag2,P_neg_change_lag1,P_neg_change_lag2,P_pos_change_lag1,P_pos_change_lag2,net_sent_change_lag1,net_sent_change_lag2,P_neg_roll3_mean_lag1,P_neg_roll3_mean_lag2,P_neg_roll3_std_lag1,P_neg_roll3_std_lag2,P_neg_slope4_lag1,P_neg_slope4_lag2,net_sent_slope4_lag1,net_sent_slope4_lag2
1997,Australia,AUS,193,18415.0,19612.09177301113,83.66420289196053,78.4431,555291.0,0.23929159391399762,116.37432898876405,-16281.49141,88884.0,84775.0,90188.71164936565,356961.8623,5.29024091685076,6.95491854388937,116.6922458525177,8.3622,124.99021100717862,0.25908000000000003,131031.0,135928.2,1.5320974179240476,366159.4058,183868.0,219638.0,146521.0,379541.0,6.129235710484962,114.89466857910156,40.98450369430773,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.11419185996055603,0.07185395807027817,0.17412561178207397,0.05290240794420242,,,0.03105754777789116,0.04079641029238701,0.03956754133105278,0.0726463720202446,0.038731757551431656,,,,0.06954918801784515,0.041545480489730835,0.0864257737994194,0.08396083861589432,0.1135140061378479,0.152554,0.247528,0.599918,7.0,-0.094974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Australia,AUS,193,18621.0,20377.949762010507,87.11802951027522,81.4166,588097.0,0.24384491176651774,117.3745567790262,-28407.067740000002,102905.0,88989.0,95894.6824298347,384572.7590125,4.83681458215697,5.49297052826401,128.2686545348242,7.6756,128.81661953447903,0.23754,136969.0,135784.0,1.628929766591794,401898.5166,202729.0,242467.0,159432.0,411830.0,5.892051212637981,116.61505126953125,40.58965176171185,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.08479026705026627,0.139498770236969,0.1356986165046692,0.048368144780397415,,,0.09920988231897354,0.04028888791799545,0.0366525873541832,0.04555146396160126,0.037529293447732925,,,,0.0549297034740448,0.03923880681395531,0.12088557332754135,0.12313749641180038,0.09203337877988815,0.16271,0.240418,0.596873,10.0,-0.077708,-0.007110000000000005,0.010155999999999998,0.017266000000000004,,,,,,,0.152554,,0.247528,,0.599918,,-0.094974,,,,,,,,,,,,,,,
1999,Australia,AUS,193,18830.0,20970.89428666414,89.58481717706593,83.8227,620141.0,0.24863893661819528,119.02710704119848,-33767.156689999996,107154.0,86893.0,105347.34486735873,420189.243571,4.7584499580638,6.00931194298328,136.58554410582474,6.8723,131.84250598216232,0.22588,146444.1,140814.4,1.5295197308045272,453447.4476,228489.0,274093.0,179355.0,429407.0,6.2872646678624635,118.31731414794922,40.021807031011996,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.19295363128185272,0.1024678498506546,-0.0689505934715271,0.047584500163793564,,,0.06484029442071915,0.03762755170464516,0.03533633425831795,0.1526881754398346,0.034931786358356476,,,,0.060093119740486145,0.04026545584201813,0.12258857488632202,0.1318553239107132,-0.010683046653866768,0.138977,0.193348,0.667676,6.0,-0.054371,-0.04707,-0.023733000000000004,0.023336999999999997,0.243973,0.005027529214236356,-0.086341,0.012208905683966933,,,0.16271,0.152554,0.240418,0.247528,0.596873,0.599918,-0.077708,-0.094974,-0.007110000000000005,,0.010155999999999998,,0.017266000000000004,,,,,,,,,
2000,Australia,AUS,193,19053.0,21377.823125181403,90.24726282285393,85.8776,661159.0,0.2413036840459848,124.33266314606739,-27114.130589999997,123495.0,110355.0,115311.31040945792,441076.96608717,5.97608417817581,6.31456933440806,150.19367097858657,6.2826,134.68348923210792,0.19559,169921.0,160408.0,1.8050541516245486,501168.72,267210.0,313281.0,187887.0,507242.0,4.928369382543435,127.81136322021484,46.10480981998489,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.0502253957092762,0.1360531449317932,0.17290611565113068,0.059760842472314835,,,0.09962953627109528,0.03642360493540764,0.033123522996902466,0.01476453896611929,0.03494491055607796,,,,0.06314568966627121,0.035460855811834335,0.10999128967523575,0.10961612313985825,0.1163334771990776,0.183862,0.194881,0.621258,11.0,-0.011019,0.0015330000000000066,0.04488500000000001,0.043352,0.227098,0.029443758251962337,-0.07568433333333334,0.020377004743910066,-0.02050109999999998,0.027520200000000005,0.138977,0.16271,0.193348,0.240418,0.667676,0.596873,-0.054371,-0.077708,-0.04707,-0.007110000000000005,-0.023733000000000004,0.010155999999999998,0.023336999999999997,0.017266000000000004,0.243973,,0.005027529214236356,,,,,
2001,Australia,AUS,193,19294.0,21662.025668109953,92.42640029478909,87.2277,705066.0,0.22865344981065408,129.81217191011234,-15885.136980000001,124382.0,122531.0,139992.22499339384,502184.66369387,4.80019007719122,5.61526432840721,162.67631367390192,6.7423,141.78812268871005,0.17177,166079.0,164548.0,1.9584802193497843,552921.38,302902.0,352485.0,200436.0,523429.0,6.8474741630419045,123.5514144897461,43.126594422721794,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.10134624689817429,0.11729618906974792,0.01772843301296234,0.04800190031528473,,,0.08310584723949432,0.0341903455555439,0.03156694769859314,0.0650458037853241,0.03408345580101013,,,,0.05615264177322388,0.03630044311285019,0.10854558646678925,0.11238656938076019,0.032865166664123535,0.130977,0.459429,0.409594,5.0,-0.328453,0.264548,-0.05288499999999999,-0.317434,0.20954899999999999,0.02674432450072351,-0.04769933333333334,0.03384138047322144,0.06585659999999997,-0.07088829999999997,0.183862,0.138977,0.194881,0.193348,0.621258,0.667676,-0.011019,-0.054371,0.0015330000000000066,-0.04707,0.04488500000000001,-0.023733000000000004,0.043352,0.023336999999999997,0.227098,0.243973,0.029443758251962337,0.005027529214236356,-0.02050109999999998,,0.027520200000000005,
2002,Australia,AUS,193,19345.0,22236.935272996816,94.3409643644187,89.3663,754253.0,0.2545782871389858,133.76959490636705,-28767.20942,134039.0,119458.0,179972.44034980447,537277.23965247,4.55083333333333,5.84395771110088,195.9657969743477,6.3676,147.49619316945837,0.15062,170753.0,174403.0,1.7661603673613564,638061.02,350989.0,410680.0,227381.0,570396.0,5.39836865823757,121.30997467041016,43.931485378416255,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,-0.080964095890522,0.2369515746831894,0.1277306079864502,0.045508332550525665,,,0.20463989675045013,0.03231167420744896,0.026822684332728386,-0.11440816521644592,0.03776465728878975,,,,0.058439578860998154,0.03344407305121422,0.15237300097942352,0.15523013472557068,0.08661946654319763,0.211936,0.439675,0.348389,11.0,-0.227739,-0.019753999999999994,0.080959,0.100714,0.2825526666666667,0.15318131574161822,-0.131281,0.172126253558253,0.10035290000000002,-0.0837538,0.130977,0.183862,0.459429,0.194881,0.409594,0.621258,-0.328453,-0.011019,0.264548,0.0015330000000000066,-0.05288499999999999,0.04488500000000001,-0.317434,0.043352,0.20954899999999999,0.227098,0.02674432450072351,0.029443758251962337,0.06585659999999997,-0.02050109999999998,-0.07088829999999997,0.027520200000000005
2003,Australia,AUS,193,19767.0,22666.277788514366,96.98194132936084,93.2298,800960.0,0.26422554311761454,137.42260074906366,-42875.38879999999,136544.0,107956.0,198074.86851675526,601112.9571911701,4.80916666666667,5.36677549770342,231.631572023679,5.9287,153.83946051772898,0.13208,183659.0,182268.0,1.3333333333333333,755126.42,419409.0,486353.0,268773.0,572036.0,5.204275170435823,123.07186889648438,41.73241972826925,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.15864193439483643,0.20934215188026428,0.022816898301243782,0.04809166491031647,,,0.18200096487998962,0.027341192588210106,0.023131277412176132,0.11107376962900162,0.04281279072165489,,,,0.05366775393486023,0.04756816849112511,0.1907079666852951,0.19617146253585815,0.03545428067445755,0.188713,0.434833,0.376454,6.0,-0.24612,-0.0048419999999999574,-0.02322300000000002,-0.01838100000000001,0.36466166666666666,0.1473657396050159,-0.18907033333333334,0.16221139117008193,0.07001020000000004,-0.06045890000000004,0.211936,0.130977,0.439675,0.459429,0.348389,0.409594,-0.227739,-0.328453,-0.019753999999999994,0.264548,0.080959,-0.05288499999999999,0.100714,-0.317434,0.2825526666666667,0.20954899999999999,0.15318131574161822,0.02674432450072351,0.10035290000000002,0.06585659999999997,-0.0837538,-0.07088829999999997
2004,Australia,AUS,193,19995.0,23322.00788305354,98.17090221569721,96.1831,861039.0,0.2675819507177675,140.6407249438202,-54443.49597000001,148924.0,117773.0,211328.75215886935,655708.160473812,5.25,5.59077450749734,246.72093839070376,5.3947,160.9876006090929,0.11942,192723.0,189587.0,1.2836970474967908,865325.92,474827.0,549628.0,315698.0,617142.0,4.784511755178226,124.59059143066406,43.48126565073752,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.2756807804107666,0.08884704113006592,0.08236133307218552,0.05249999836087227,,,0.06514212489128113,0.02370491810142994,0.022255169227719307,0.22598306834697723,0.040537022054195404,,,,0.05590774491429329,0.04969770088791847,0.1386108547449112,0.14064757525920868,0.06743066757917404,0.197748,0.265144,0.537108,8.0,-0.067395,-0.16968900000000003,0.009035000000000015,0.17872500000000002,0.44464566666666666,0.013029637344660349,-0.26743733333333336,0.05363440103453506,-0.05876969999999995,0.0764793,0.188713,0.211936,0.434833,0.439675,0.376454,0.348389,-0.24612,-0.227739,-0.0048419999999999574,-0.019753999999999994,-0.02322300000000002,0.080959,-0.01838100000000001,0.100714,0.36466166666666666,0.2825526666666667,0.1473657396050159,0.15318131574161822,0.07001020000000004,0.10035290000000002,-0.06045890000000004,-0.0837538
2005,Australia,AUS,193,20232.0,23764.613687385267,100.0,97.9226,922371.0,0.27598881251206,144.38070711610487,-54844.17966,164137.0,139080.0,233036.63965464316,710108.9448927271,5.4575,5.33997311398556,250.24832273624205,5.0325,167.70720034805314,0.10891,211032.0,207932.0,1.362954886193267,985477.6,531848.0,615977.0,369501.0,710925.0,4.907004130195782,129.52720642089844,43.36338977701593,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.21087831258773804,0.0370575487613678,0.0635770782828331,0.05457499995827675,,,0.01429549977183342,0.022762050852179527,0.022441241890192032,0.16177740693092346,0.042263615876436234,,,,0.05339973047375679,0.04910091310739517,0.08606007695198059,0.08676715195178986,0.05907604098320007,0.178847,0.22918,0.591973,10.0,-0.050332,-0.035963999999999996,-0.018901,0.017062999999999995,0.37988400000000005,0.09939724312575286,-0.180418,0.09831131260948564,-0.08011739999999998,0.07109460000000001,0.197748,0.188713,0.265144,0.434833,0.537108,0.376454,-0.067395,-0.24612,-0.16968900000000003,-0.0048419999999999574,0.009035000000000015,-0.02322300000000002,0.17872500000000002,-0.01838100000000001,0.44464566666666666,0.36466166666666666,0.013029637344660349,0.1473657396050159,-0.05876969999999995,0.07001020000000004,0.0764793,-0.06045890000000004
2006,Australia,AUS,193,20489.0,24097.573450962896,101.28920637149861,100.0,996430.0,0.27374395230950316,149.51231056179776,-58500.405300000006,184750.160008,163753.0,258691.49340122173,802491.625485827,5.805,5.5878722441858,269.84490243367674,4.7823,175.99738960191434,0.09959,225513.0,209797.0,1.2637432073802604,1124441.8900000001,588836.0,685281.0,439161.0,815892.0,4.703203638733361,129.28997802734375,44.17216340154606,0.0,0.0,0.0,0.0,FLOAT,USA,0.0,0.24965542554855347,0.10146992653608322,0.009242787025868893,0.0580499991774559,,,0.07831031829118729,0.023159610107541084,0.02147768624126911,0.19867058098316193,0.042534489184617996,,,,0.05587872117757797,0.05098484084010124,0.14546622335910797,0.14798405766487122,0.033646393567323685,0.176564,0.26576,0.557676,6.0,-0.089196,0.03658,-0.0022830000000000072,-0.038863999999999996,0.309719,0.1098339067455948,-0.12128233333333333,0.10844869181476256,-0.0543183,0.04878350000000003,0.178847,0.197748,0.22918,0.265144,0.591973,0.537108,-0.050332,-0.067395,-0.035963999999999996,-0.16968900000000003,-0.018901,0.009035000000000015,0.017062999999999995,0.17872500000000002,0.37988400000000005,0.44464566666666666,0.09939724312575286,0.013029637344660349,-0.08011739999999998,-0.05876969999999995,0.07109460000000001,0.0764793
