year,iso,P_pos,P_neg,P_neutral,n_speeches,net_sentiment
1997,AUS,0.152554,0.247528,0.599918,7,-0.094974
1997,CAN,0.31782,0.271316,0.410865,6,0.046504
1997,CHE,0.131788,0.137297,0.730915,1,-0.005509
1997,DEU,0.171991,0.076354,0.751656,8,0.095637
1997,FIN,0.562373,0.109327,0.3283,1,0.453046
1997,FRA,0.331707,0.410152,0.258141,7,-0.078445
1997,GBR,0.209627,0.154243,0.63613,8,0.055384
1997,IRL,0.16948,0.089639,0.740882,1,0.079841
1997,ITA,0.130515,0.115714,0.75377,3,0.014801
1997,JPN,0.237929,0.457307,0.304764,21,-0.219378
1997,NLD,0.198476,0.096509,0.705015,6,0.101967
1997,SWE,0.163449,0.196985,0.639566,8,-0.033536
1997,USA,0.161829,0.163145,0.675026,47,-0.001316
1998,AUS,0.16271,0.240418,0.596873,10,-0.077708
1998,CAN,0.305497,0.293585,0.400918,5,0.011912
1998,CHE,0.062754,0.03379,0.903456,1,0.028964
1998,DEU,0.162005,0.080811,0.757184,13,0.081195
1998,FIN,0.238813,0.034116,0.727072,2,0.204698
1998,GBR,0.136031,0.339521,0.524448,10,-0.20349
1998,ITA,0.244756,0.193911,0.561333,3,0.050845
1998,JPN,0.073595,0.714927,0.211478,13,-0.641332
1998,NLD,0.150828,0.168278,0.680894,2,-0.017449
1998,SWE,0.129663,0.211206,0.659132,15,-0.081543
1998,USA,0.140996,0.163982,0.695022,36,-0.022986
1999,AUS,0.138977,0.193348,0.667676,6,-0.054371
1999,BEL,0.221406,0.028945,0.749649,1,0.192461
1999,CAN,0.353913,0.220974,0.425113,6,0.132939
1999,CHE,0.141593,0.04307,0.815337,3,0.098523
1999,DEU,0.152114,0.090236,0.75765,14,0.061878
1999,FRA,0.284094,0.114865,0.601042,2,0.16923
1999,GBR,0.219218,0.30262,0.478161,9,-0.083402
1999,ITA,0.378563,0.194464,0.426973,3,0.184099
1999,JPN,0.158103,0.657089,0.184807,16,-0.498986
1999,NLD,0.094896,0.248109,0.656995,1,-0.153213
1999,NOR,0.183066,0.293376,0.523558,3,-0.11031
1999,SWE,0.158129,0.209883,0.631988,18,-0.051755
1999,USA,0.188731,0.149645,0.661624,35,0.039086
2000,AUS,0.183862,0.194881,0.621258,11,-0.011019
2000,BEL,0.304044,0.025159,0.670797,1,0.278885
2000,CAN,0.381077,0.116341,0.502582,9,0.264736
2000,CHE,0.146488,0.106382,0.74713,2,0.040105
