country,TP,FP,FN,TN,n_crisis,n_obs,precision,recall
AUS,0,1,0,11,0,12,0.0,
BEL,1,2,0,9,1,12,0.3333333333333333,1.0
CAN,0,4,0,8,0,12,0.0,
CHE,0,4,1,7,1,12,0.0,0.0
DEU,1,3,0,8,1,12,0.25,1.0
DNK,1,3,0,8,1,12,0.25,1.0
ESP,1,1,0,9,1,11,0.5,1.0
FIN,0,0,0,12,0,12,,
FRA,1,2,0,9,1,12,0.3333333333333333,1.0
GBR,0,1,0,11,0,12,0.0,
IRL,1,1,0,10,1,12,0.5,1.0
ITA,1,1,0,10,1,12,0.5,1.0
JPN,0,0,0,12,0,12,,
NLD,1,1,0,10,1,12,0.5,1.0
NOR,0,3,0,9,0,12,0.0,
PRT,1,1,0,10,1,12,0.5,1.0
SWE,1,3,0,8,1,12,0.25,1.0
USA,0,2,0,10,0,12,0.0,
