tloans_lag1_dm,tmort_lag1_dm,money_lag1_dm,ltrate_lag1_dm,stir_lag1_dm,hpnom_lag1_dm,debtgdp_lag1_dm,cpi_lag1_dm,ca_lag1_dm,rgdpmad_lag1_dm,term_spread_lag1_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_gr_roll3_mean_lag1_dm,tloans_gr_roll3_std_lag1_dm,tloans_slope4_lag1_dm,tloans_lag2_dm,tmort_lag2_dm,money_lag2_dm,ltrate_lag2_dm,stir_lag2_dm,hpnom_lag2_dm,debtgdp_lag2_dm,cpi_lag2_dm,ca_lag2_dm,rgdpmad_lag2_dm,term_spread_lag2_dm,tloans_lag3_dm,tmort_lag3_dm,money_lag3_dm,ltrate_lag3_dm,stir_lag3_dm,hpnom_lag3_dm,debtgdp_lag3_dm,cpi_lag3_dm,ca_lag3_dm,rgdpmad_lag3_dm,term_spread_lag3_dm,P_pos_lag1_rdm,P_neg_lag1_rdm,P_neutral_lag1_rdm,net_sentiment_lag1_rdm,P_neg_change_lag1_rdm,P_pos_change_lag1_rdm,net_sent_change_lag1_rdm,P_neg_roll3_mean_lag1_rdm,P_neg_roll3_std_lag1_rdm,P_neg_slope4_lag1_rdm,P_pos_lag2_rdm,P_neg_lag2_rdm,P_neutral_lag2_rdm,net_sentiment_lag2_rdm,P_neg_change_lag2_rdm,P_pos_change_lag2_rdm,net_sent_change_lag2_rdm,P_neg_roll3_mean_lag2_rdm,P_neg_roll3_std_lag2_rdm,P_neg_slope4_lag2_rdm
0.027066983,0.0,0.0,-0.5091791,0.16649915,0.017656855,0.0038766502,-0.038141266,-0.14451063,-0.002357933,-0.6621739,0.5833032,-0.0030780097,-0.23279914,-0.0018489959,-0.01163004,-0.122810274,-0.010351734,0.51338404,-0.03116097,-0.0022366676,-0.001275141,-0.28535542,-0.13136879,0.02910268,0.0048747873,-0.078404546,-0.0868153,0.13614441,-0.079653375,0.007267298,0.0,0.0,-1.3006511,-0.28155333,0.014823176,0.10822393,0.33193976,0.0033787454,0.4758753,-3.083754,-0.014676571,0.0,-0.036789227,0.0,0.0,-0.006066266,0.0009153518,0.0,-0.121395655,-0.037658807,0.0115944715,-0.02479139,0.03678362,-0.009787349,0.02162998,0.007850672,-0.039060403,0.0,-0.00085498113,0.0
0.015148295,0.0,0.0,0.113866515,0.30006844,0.041001663,0.0066152965,-0.034700397,-0.13923109,-0.002357933,0.18590882,0.5345719,0.0035503432,0.14329769,-0.018309247,0.00228459,0.1728981,0.001850009,0.50225705,-0.03116097,-0.0022366676,-0.001275141,-0.3347888,-0.21351515,0.03405964,0.011847138,-0.09716966,0.110683054,0.16180526,0.04218224,-0.006948881,0.0,0.0,0.12079352,-0.3901133,0.0042563216,0.14555335,-0.19632806,-0.005905031,0.6006246,-4.6862044,-0.014676571,0.0,-0.03198052,0.0,0.0,0.014793489,-0.0006143737,0.0,-0.08079827,-0.037658807,0.0019928613,-0.024161957,0.04829104,-0.0134529155,-0.13962974,-0.018251702,-0.034286644,0.0,-0.00085498113,0.0
0.016011097,0.0,0.0,-0.81095004,0.3698804,0.05428181,-0.019747447,-0.00867285,0.018922763,-0.0013584122,0.18133305,0.09748842,-0.009916918,-0.28171396,-0.047800418,-0.0012140647,0.30686784,-0.0008144094,0.6146406,-0.03116097,-0.0022366676,-0.0023781627,-0.29534814,-0.3788874,-0.056887712,0.0034453347,-0.1562805,0.096269906,-0.1130611,-0.1800573,-0.019534145,0.0,0.0,-2.4272172,-0.24199097,-0.012975651,0.16463749,-0.36077708,0.0033787454,-0.32097772,0.72558576,-0.014676571,0.0,0.075944014,0.0,0.0,-0.019986318,0.00089740404,0.0,0.054602508,-0.07939269,-0.03196219,-0.020407379,0.047775045,-0.020515643,-0.12561676,0.0012538496,0.014118151,0.0,-0.00085498113,0.0
0.0010337285,0.0,0.0,0.10434201,0.27056623,0.06986112,-0.04190192,-0.049668517,-0.024782864,-0.0013584122,-0.18119659,-0.61549896,-0.013224944,-0.25116307,-0.11356238,-0.0026643244,0.22581406,-0.0008144094,0.20453757,-0.03116097,-0.007275651,-0.0074840584,-0.25141358,-0.27338058,-0.009795051,0.0045563,-0.21003532,0.09486596,-0.16781446,-0.15786262,-0.019534145,0.0,0.0,0.13734126,-0.38592482,-0.00837385,0.110821195,-0.26558,0.004154968,-0.8975394,-3.8584957,-0.014676571,0.0,0.081154406,0.0,0.0,0.0066854027,-0.0006143737,0.0,-0.045326557,-0.049586687,-0.01681659,0.036257386,-0.08109002,0.037742853,-0.064006664,0.010735758,-0.014019014,0.0,0.0017695283,0.0
0.0017742505,0.0,0.0,-0.42457834,0.20893006,0.051968224,-0.042404238,-0.049668517,-0.019619027,-0.002357933,-0.11992885,-0.5833729,-0.013224944,0.14206736,0.028358625,-0.015348578,0.0942867,-0.0008144094,0.24009421,-0.03116097,-0.007275651,-0.0074840584,-0.19507994,-0.26427245,0.003317849,0.002816802,-0.18700215,0.092716604,-0.11992077,-0.24702343,-0.019534145,0.0,0.0,-1.0854151,-0.22662525,-0.008164787,0.08966872,-0.23827249,0.0029828276,-0.90821564,-3.0100737,-0.014676571,0.0,-0.026883516,0.0,0.0,-0.018613141,-0.0006143737,0.0,-0.079821736,-0.043151718,-0.03196219,0.05672829,-0.058301594,-0.005452546,0.02723469,0.0027969673,0.014118151,0.0,-0.0013261922,0.0
0.015562663,0.0,0.0,-0.43001428,0.19720241,0.051217422,-0.04184476,-0.044265043,-0.20393726,-0.002357933,-0.12669788,0.8574407,-0.013224944,0.30532452,-0.018584944,-0.0012140647,0.16236395,0.00090401294,0.5313232,-0.03116097,-0.0022366676,-0.0023781627,-0.22752674,-0.28140956,-0.04084101,0.0045563,-0.19306344,0.044633117,-0.16455734,-0.23868117,-0.019534145,0.0,0.0,0.084095925,-0.21088599,-0.0089113675,0.113578364,-0.23231193,0.0033787454,-0.72765255,-3.8139777,-0.014676571,0.0,-0.03735039,0.0,0.0,-0.014441645,-0.0036583229,0.0,0.17335966,-0.03983094,0.009327353,-0.06086106,-0.11125281,-0.0134529155,0.02981198,0.010735758,-0.03426402,0.0,-0.00085498113,0.0
0.012235245,0.0,0.0,-0.41929188,0.18825404,0.051217422,-0.04184476,-0.049668517,-0.08432522,-0.002357933,-0.12087022,0.015536584,0.0035503432,0.27904087,-0.03380435,-0.00999968,0.18690762,-0.0008144094,0.5172831,-0.03116097,-0.0022366676,-0.0023781627,-0.23344503,-0.2612047,-0.04668206,0.002816802,-0.19306344,0.038709663,-0.12165498,-0.21648647,-0.019534145,0.0,0.0,-1.1138538,-0.21694818,-0.0089113675,0.08966872,-0.21271329,0.0033787454,-0.8252158,-3.0130973,-0.014676571,0.0,-0.03735039,0.0,0.0,0.016875984,-0.0036583229,0.0,0.17335966,-0.03983094,0.008331044,-0.062429726,0.031164877,-0.014226835,0.02981198,-0.014822126,-0.014019014,0.0,0.00062446354,0.0
0.0010532113,0.0,0.0,0.09322696,-0.7006047,0.06346814,-0.045142885,-0.050544795,-0.024898564,-0.002357933,-0.4734342,-0.66005737,0.0035503432,-0.47703224,-0.008012856,-0.0078400355,-0.10798538,0.00276636,0.37183446,-0.03116097,-0.007275651,-0.0074840584,-0.18762116,-0.11154617,-0.021618359,0.0022344845,-0.19551143,0.10062389,-0.11544542,-0.13830669,-0.019534145,0.0,0.0,-0.87643075,-0.23228344,-0.012855856,0.07687541,-0.25736913,-0.0019809995,-0.7536644,-2.3031626,-0.014676571,0.0,-0.04155249,0.0,0.0,0.006634303,0.0009153518,0.0,-0.19826964,-0.03983094,-0.03196219,-0.033993445,0.02913189,-0.014226835,0.017104328,0.00939379,-0.0021934328,0.0,0.00062446354,0.0
0.0016640015,0.0,0.0,-0.4521015,0.21291897,0.052338228,-0.16526324,-0.042132888,-0.022746822,-0.002357933,-0.7347776,-0.64067346,-0.013224944,-0.31177288,-0.006896055,-0.00043814734,-0.33806267,0.00276636,0.312763,-0.03116097,-0.007275651,-0.008442134,0.045937873,0.038034268,-0.020371303,0.002816802,-0.18212897,0.089013115,-0.11816,0.012974138,-0.019534145,0.0,0.0,-1.0725775,-0.19759683,-0.014444738,0.084099844,-0.19056097,-0.0019809995,-0.924821,-2.5879822,-0.014676571,0.0,-0.038434327,0.0,0.0,-0.015039109,0.0009153518,0.0,-0.08302508,0.0784236,0.036370125,-0.04131477,0.020119565,-0.0134529155,-0.0312002,-0.017048258,-0.015481688,0.0,-0.00085498113,0.0
0.0056065936,0.0,0.0,0.1959354,0.6252143,0.08864322,-0.17858385,-0.01892078,0.055025533,-0.007975809,0.19977374,-0.5261818,-0.009916918,-1.0069004,-0.2760708,-0.01849075,-0.36676738,-0.0008144094,-0.3484913,-0.010943234,-0.007275651,-0.008442134,-0.19493549,-0.18897879,-0.0009812686,0.0066198586,-0.17908481,0.10235089,-0.16025984,0.008925885,-0.00683208,0.0,0.0,0.2756106,-0.08605543,-0.08242223,0.1925807,-0.3661052,-0.0019809995,-1.449328,1.1840436,-0.051667668,0.0,-0.108739614,0.0,0.0,0.025952544,-0.00022293709,0.0,-0.10757829,-0.041166484,0.030320121,0.09381364,0.01092899,-0.041428573,-0.1165633,-0.039567877,-0.041231986,0.0,-0.0103695225,0.0
