tloans_gr,tmort_gr,money_gr,ca_gr,tloans_rgdp_gr,cpi,rgdpmad,net_sentiment_dm,P_pos_dm,P_neg_dm,net_sentiment_lag1_dm,P_pos_lag1_dm,P_neg_lag1_dm
0.15170255,-2.7179885,0.089507446,-0.76580054,0.62871975,-1.0467721,-0.23430935,-0.11065212,-0.7054845,-0.92843986,-0.50150067,-0.4756972,0.09332394
0.14869252,-2.535861,-0.030715154,-0.8232866,0.5872452,-1.0754945,-0.20877859,-0.035128787,-0.50626254,-0.82482886,-0.4033897,-0.5532718,-0.37045264
0.22184563,-2.614167,-0.49330398,-0.61129457,0.42321968,-0.897626,-0.17997512,-0.14250506,-0.71802187,0.38609967,-0.07377749,-0.3730886,-1.1631174
0.2918409,-3.4773679,-0.12880191,-0.73631316,0.63099736,-0.3095376,-0.20961714,-0.48040524,0.038246408,0.6387421,-0.6347379,-0.7010027,-0.07895595
0.2917897,-3.3244104,-0.48034412,-0.6868041,0.4915868,-0.24177255,-0.2582972,-0.42610422,0.6779889,0.6704279,-0.64201003,-0.4220749,-0.0930695
0.2908822,-3.8150609,0.1213722,-0.6675611,0.6685154,0.095797576,-0.278909,-0.10566135,0.5012056,-0.04957893,-0.6512612,-0.31429628,-0.24874493
0.20379667,-3.1174805,0.09285743,-0.59794027,0.6706521,0.4481749,-0.14898214,-0.101969615,-0.4830433,-1.4173012,-0.7273101,-0.32147777,-0.52463835
0.21849705,-2.7192292,-0.5653317,-0.5240657,0.5287605,0.8707174,-0.10834629,-0.11169265,-0.51466113,0.13070828,0.04793304,-0.5688306,-0.78099865
0.20991176,-2.4541802,-0.5187201,-0.85007435,0.4716207,0.5708615,0.19680995,-0.011138455,-0.94611216,-1.2992835,-0.4840426,-0.3736743,-0.5201397
0.25980058,-2.977627,-0.5167895,-0.5821879,0.19213398,-0.74675995,-0.041310906,0.031095963,-0.44775122,0.4301371,0.09944951,0.31191173,-1.1173425
0.27013868,-3.010525,-0.51224345,-0.6343544,0.47359562,-0.72496635,-0.026440002,-0.09380708,-0.991061,0.62892723,-0.82375664,-0.36307913,-0.026165245
-0.054546982,-2.74,0.019853659,-0.5812752,-0.56551135,-0.5420181,-0.5659959,-0.0241631,-0.8305875,-1.1846472,-0.8006731,0.3810249,-0.31405482
0.5353072,-0.7375143,0.096435666,-0.30476728,-1.046252,-0.8251616,-0.8056752,-0.15022373,-1.1934993,-0.0025970945,0.104997784,0.16989338,-1.2228007
0.05231461,-0.3416856,-0.072671965,-0.8395276,-1.5056129,-0.5577779,-0.79520917,-0.049334932,-0.5728143,-1.4779423,-0.5026134,-0.5674583,-0.36307907
0.27120778,0.09855758,0.05719139,-0.882405,1.0142461,-0.59946364,-1.0156707,0.05463828,-0.875443,-1.3232701,-0.083278,-0.28046933,-0.7692155
0.37429905,0.05763376,0.05192412,-0.4001826,0.7795603,-0.827294,-0.90297234,-0.06661363,-1.2962301,0.047416177,0.09156871,0.24553904,-1.3445711
0.3065782,0.033449516,0.030136386,-1.3251282,0.88194937,-0.5249418,-1.0401889,0.014023681,-1.1781623,-1.817267,0.14002609,0.046271283,-0.280204
0.43380034,-0.79270285,-0.035160393,-0.6385138,-0.89723796,-0.60334015,-0.9190469,-0.07978865,-0.9407357,-1.4747742,0.090953924,0.4419383,-0.9105094
0.05366826,-0.40016913,-0.39965612,-0.70847213,-0.92714673,-0.6291079,-0.81698716,0.050945845,-0.886037,-1.4318424,-0.045961868,-0.6093053,-0.5480468
-0.03386115,-0.18194461,-0.35624894,-0.69468564,-0.91778296,-0.64117926,-0.84150535,0.04347525,-0.8683893,-1.1645765,0.118602715,-0.6147413,-0.86943007
-0.020151041,-0.14611986,-0.40202916,-0.5174078,-0.98138016,-0.86505145,-0.75167686,-0.10827268,-0.06952674,0.0701116,0.17968099,-0.6409596,-1.2975836
-2.1095762,-0.12844005,-0.31220332,0.6249824,-0.8249594,-0.7265456,-0.627875,-0.16265377,-0.9746256,0.06757932,-0.40609473,-0.55001545,-0.1806642
0.03446327,-0.3908648,-0.32193264,-0.5699183,-1.00049,-1.1675849,-0.34922886,0.04937348,-1.062002,-0.8003892,-0.4120331,-0.7126866,-0.3715692
-1.9845645,0.93947,-0.120354645,-0.41877472,-1.4599227,-0.8057201,-0.18864684,-0.17010242,-0.7359217,0.37544796,0.1762363,0.5826762,-1.0312685
-1.6842887,-0.27946982,0.074901536,-0.79264,-1.5697079,-0.9902445,-0.21520215,-0.014631767,-0.9745594,-0.109965086,-0.6118005,-0.7093004,-0.28061774
-2.0879362,-0.42754978,-0.09668965,-0.2865636,-1.6155021,-0.9775421,-0.18984276,0.003558967,-0.69751316,-0.014286548,0.2926562,0.053507917,-0.15622555
0.42323777,-2.4442666,0.04829915,-0.64591515,-0.6884304,-0.7884981,-0.22801343,-0.05455097,0.12213183,0.25216922,-0.8713951,-0.9355601,-0.17555451
0.18954308,-2.9190834,-0.11200523,-0.3318847,-0.7062808,-0.24236973,-0.2610943,-0.18465292,-0.72603434,-1.2486904,0.3129585,0.22440845,-0.16942549
0.17028897,-2.0346951,-0.09661216,-0.5478653,-0.80162334,-0.21494077,-0.32869637,-0.07149599,-0.7943905,-1.115264,-0.4678058,-0.69757974,-0.34863946
0.25648046,-3.3616588,0.043960482,-0.6431667,0.501642,-0.09450028,-0.24024189,0.046976943,-0.16584897,0.13887775,-0.84409875,-0.6637985,0.1820499
0.6709451,0.17782137,0.09664095,0.04452663,1.0283041,1.0308492,-0.010311235,0.09593019,0.32480586,0.41714433,0.27639398,0.271875,0.38918144
-2.3817604,-0.1856915,-0.028887402,0.09949866,-1.6381711,0.91259915,-0.24908833,-0.060547717,-0.77389425,0.118706845,0.31203133,0.08257962,0.30429295
-1.7896584,-0.42407224,-0.36577713,-0.47542006,-1.4099016,0.52928025,-0.31682652,-0.055362593,0.7041349,-1.4452668,0.3131889,0.11699382,-0.48404464
0.52573925,0.08342089,-1.0760164,-0.29060408,0.8476997,-0.816545,-0.29603708,-0.16908532,-0.920391,0.16956092,-0.08515971,-0.39561367,-1.2883166
0.19213052,-2.1089156,-0.21420898,-0.48319566,-0.5501984,-0.51194197,-0.39984897,0.041465007,-0.8288613,-1.0864254,-0.8133378,-0.5209461,-0.34351978
0.33269188,-2.339405,-0.032006733,-0.5899362,-0.74802697,-0.48422855,-0.39393216,0.020538675,-0.7855108,-1.0947073,-0.78806704,-0.52882403,-0.32248464
0.5585176,-0.39776084,-0.5036751,-0.30716902,-0.6798621,-0.61346334,0.12674971,-0.18016982,-1.0895063,0.43609244,0.13104984,0.22965562,-1.5232372
0.38685107,-0.28377298,-0.39105767,-0.33152854,-0.63423437,-0.5363947,-0.81113195,0.022111036,0.5439549,-1.3590859,-0.8066003,-0.9751652,-0.30786404
-2.1542485,0.15917113,-0.028711855,-0.15069264,-1.6224375,-0.9977901,-0.21362688,0.028996957,-0.66100794,-0.11172911,-1.0124077,-0.4930186,-0.24841593
0.104304224,0.40584144,-0.02925126,0.23790412,-1.9509227,-0.97731495,-0.34943599,-0.07447793,-1.0250752,-1.2173496,0.12390827,0.21436237,-0.24376698
0.23698542,-0.8222093,-0.061680444,-0.3473516,-1.176377,-1.401011,-0.21660312,-0.1165723,-1.1721277,0.045248155,0.12450884,0.17120838,-1.3379653
0.09611866,-0.8011258,-0.0260122,-0.51857036,-1.1259314,-0.99246544,-0.37247795,0.016229484,-0.8701365,-1.8242166,0.20687176,0.46196523,-0.13874319
0.057902038,-0.7921889,-0.07563207,-0.72005385,-1.2422732,-1.4022704,-0.2348348,-0.11490852,-0.1263069,-0.10712466,0.15637198,0.4777727,-1.3348479
0.349953,-0.28144056,-0.05083318,0.46922866,-1.4426595,-0.34135962,-0.23071101,-0.029649463,-1.0549598,-1.6059945,0.102443986,-0.5045036,0.13974409
