url,year,date,author,description,P_pos,P_neg,P_neutral,topics,n_topics
https://www.bis.org/review/r971208b.pdf,1997,1997-11-20 00:00:00,Antonio Fazio,"Address given by the Governor of the Bank of Italy, Dott. Antonio Fazio, at an international conference celebrating 50 years of Quarterly Review/Moneta e Credito in Rome, on 20/11/97.",0.279347,0.187584,0.533069,['credit'],1
https://www.bis.org/review/r970219b.pdf,1997,1997-02-13 00:00:00,Alan Greenspan,"Testimony of the Chairman of the Board of the US Federal Reserve System, Mr. Alan Greenspan, before the Subcommittee on Financial Institutions and Consumer Credit of the Committee on Banking and Financial Services of the US House of Representatives on 13/2/97.",0.123105,0.071871,0.805024,['credit'],1
https://www.bis.org/review/r981118a.pdf,1998,1998-11-17 23:00:00,Graeme J. Thompson,"Talk by the Deputy Governor of the Reserve Bank of Australia, Mr. Stephen Grenville, to Credit Suisse First Boston Australia Conference entitled, 'The Global Financial System - The Risks of Closure' in Sydney on 13/11/98 (excluding bibliography).",0.157739,0.249468,0.592793,['credit'],1
https://www.bis.org/review/r980325c.pdf,1998,1998-03-17 00:00:00,Susan M Phillips,"Remarks by Ms. Susan M. Phillips, a member of the Board of Governors of the US Federal Reserve System, before the Conference on Coping with Financial Crisis in Developing and Transition Countries: Regulatory and Supervisory Challenges in a New Era of Global Finance, Forum on Debt and Development held at the Netherlands Bank in Amsterdam on 17/3/98.",0.113405,0.092184,0.794411,['credit'],1
https://www.bis.org/review/r991208b.pdf,1999,1999-10-15 00:00:00,Dott. Vincenzo Desario,"Address by Dott. Vincenzo Desario, Director General of the Bank of Italy at the 5th ABI Convention on the Development and Management of Loan Portfolios held in Cernobbio on 15 October 1999.",0.217183,0.076069,0.706748,['credit'],1
https://www.bis.org/review/r991029b.pdf,1999,1999-10-26 00:00:00,Lee Hsien Loong,"Speech by Mr Lee Hsien Loong, Chairman of the Board of Directors of The Monetary Authority of Singapore and Deputy Prime Minister, at the Credit Suisse First Boston Investment seminar, held in Singapore on 26 October 1999.",0.374571,0.242724,0.382705,['credit'],1
https://www.bis.org/review/r990621a.pdf,1999,1999-06-11 00:00:00,Hans Tietmeyer,"Speech by the President of the Deutsche Bundesbank, Prof Hans Tietmeyer, at the conference entitled 'Systemic Risk and Lender of Last Resort Facilities' organised by the Center for Financial Studies in Frankfurt on 11 June 1999.",0.100585,0.024982,0.874433,['credit'],1
https://www.bis.org/review/r990401a.pdf,1999,1999-03-24 00:00:00,William J McDonough,"Statement by the President of the Federal Reserve Bank of New York, William J McDonough, before the Subcommittee on Financial Institutions and Consumer Credit of the Committee on Banking and Financial Services, US House of Representatives, on 24 March 1999.",0.109522,0.040646,0.849832,['credit'],1
https://www.bis.org/review/r001003b.pdf,2000,2000-09-29 00:00:00,Andrew Crockett,"Speech by Mr Andrew Crockett, General Manager of the Bank for International Settlements and Chairman of the Financial Stability Forum, at the Joint Bundesbank/BIS conference on ""Recent developments in financial systems and the challenges for economic policy"", held in Frankfurt, 28-29 September 2000.",0.25024,0.156363,0.593396,['credit'],1
https://www.bis.org/review/r000713c.pdf,2000,2000-07-12 00:00:00,Tony Latter,"Speech by Mr Tony Latter, Deputy Chief Executive of the Hong Kong Monetary Authority, to the conference ""The Credit Revolution: Charting Change in the Asian Debt Markets"", at the Conrad International, Hong Kong, on 12 July 2000.",0.180785,0.118655,0.700559,['credit'],1
https://www.bis.org/review/r010726a.pdf,2001,2001-07-26 00:00:00,Laurence H Meyer,"Testimony of Mr Laurence H Meyer, Member of the Board of Governors of the US Federal Reserve System, before the Subcommittee on Financial Institutions and Consumer Credit of the Committee on Financial Services, US House of Representatives, 26 July 2001",0.143275,0.083061,0.773664,['credit'],1
https://www.bis.org/review/r010522a.pdf,2001,2001-05-18 00:00:00,Urban Bäckström,"Speech by Mr Urban Bäckström, Governor of the Sveriges Riksbank and Chairman of the Board of Directors and President of the Bank for International Settlements, at the Conference on New Challenges for Credit Markets and Monetary Policy, hosted by Handelsbanken and held in Stockholm, 18 May 2001",0.218575,0.320288,0.461137,"['credit', 'monetary_policy']",2
https://www.bis.org/review/r010426d.pdf,2001,2001-04-25 00:00:00,Andrew Crockett,"Speech by Mr Andrew Crockett, General Manager of the Bank for International Settlements and Chairman of the Financial Stability Forum, upon receiving the European Banker of the Year 2001 award, Frankfurt, 25 April 2001",0.124122,0.063687,0.812191,['credit'],1
