url,year,date,author,description,P_pos,P_neg,P_neutral,topics,n_topics
https://www.bis.org/review/r970605b.pdf,1997,1997-05-26 00:00:00,Lars Heikensten,"Address by the Deputy Governor of the Bank of Sweden, Mr. Lars Heikensten, at the Monetary Policy Forum held in Stockholm on 26/5/97.",0.067387,0.164713,0.767901,['monetary_policy'],1
https://www.bis.org/review/r980309a.pdf,1997,1997-02-18 00:00:00,Maurice O'Connell,"Statement by the Governor of the Central Bank of Ireland, Mr. Maurice O'Connell, to the Joint Committee of the Oireachtas (Parliament) on Finance and the Public Service in Dublin on 18/2/97.",0.16948,0.089639,0.740882,['monetary_policy'],1
https://www.bis.org/review/r971208a.pdf,1997,1997-11-18 00:00:00,Ian Plenderleith,"Speech by Mr. Ian Plenderleith, an Executive Director of the Bank of England, at the 6th Central Banking Conference, in London on 18/11/97.",0.284684,0.01435,0.700966,['monetary_policy'],1
https://www.bis.org/review/r971119e.pdf,1997,1997-10-23 00:00:00,Gazi Erçel,"Speech given by the Governor of the Central Bank of the Republic of Turkey, Mr. Gazi Erçel, in Istanbul on 23/10/97.",0.191378,0.020851,0.787771,['monetary_policy'],1
https://www.bis.org/review/r971107a.pdf,1997,1997-10-23 00:00:00,Urban Bäckström,"Remarks by the Governor of the Swedish Central Bank, Mr. Urban Bäckström, to the Standing Committee on Finance, in Stockholm, on 23/10/97.",0.150657,0.237242,0.612101,['monetary_policy'],1
https://www.bis.org/review/r970626a.pdf,1997,1997-06-02 00:00:00,Jean-Claude Trichet,"Speech by the Governor of the Bank of France, M. Jean-Claude Trichet, on the occasion of the fiftieth anniversary of the Land central bank of Rheinland-Palatinate and the Saarland in Mainz on 2/6/97.",0.155307,0.035343,0.80935,['monetary_policy'],1
https://www.bis.org/review/r970509b.pdf,1997,1997-04-15 00:00:00,Gazi Erçel,"Remarks by the Governor of the Central Bank of the Republic of Turkey, Mr. Gazi Erçel, on the occasion of the 65th Shareholders' Ordinary General Meeting in Ankara on 15/4/97.",0.281822,0.03117,0.687008,['monetary_policy'],1
https://www.bis.org/review/r970502e.pdf,1997,1997-04-03 00:00:00,Gazi Erçel,"Speech by the Governor of the Central Bank of the Republic of Turkey, Mr. Gazi Erçel, on the occasion of the Conference on 'Private provision of infrastructure in Turkey' held at çiragan Palace in Istanbul on 3/4/97.",0.301251,0.072966,0.625783,['monetary_policy'],1
https://www.bis.org/review/r970411a.pdf,1997,1997-03-31 00:00:00,Chris Stals,"Contribution by the Governor of the South African Reserve Bank, Dr. C. Stals, at the Sixth Session of the Conference of African Ministers of Finance and Governors of Central Banks arranged by the United Nations Economic Commission for Africa and held in Addis Ababa on 31/3/97.",0.14818,0.020965,0.830856,['monetary_policy'],1
https://www.bis.org/review/r970403h.pdf,1997,1997-03-04 00:00:00,Michael Davies,"Text of the London School of Economic and Political Science Annual Lecture on Central Banking delivered by the Deputy Goveror of the Bank of England, Mr. Howard Davies, on 4/3/97.",0.086246,0.200176,0.713579,['monetary_policy'],1
https://www.bis.org/review/r970227c.pdf,1997,1997-02-13 00:00:00,Johann Wilhelm Gaddum,"Address by the Vice-President of the Deutsche Bundesbank, Herr Johann Wilhelm Gaddum, to the 32nd Conference of the Governors of South-East Asian Central Banks in Bangkok on 13/2/97.",0.099166,0.074118,0.826716,['monetary_policy'],1
https://www.bis.org/review/r970214d.pdf,1997,1997-01-29 00:00:00,"Edward W Kelley, Jr","Remarks by Mr. Edward W. Kelley, Jr., a member of the Board of Governors of the US Federal Reserve System, at the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets sponsored by the International Monetary Fund and held in Washington on 29/1/97.",0.099464,0.122283,0.778253,['monetary_policy'],1
https://www.bis.org/review/r970207b.pdf,1997,1997-01-28 00:00:00,Susan M Phillips,"Remarks by Ms. Susan M. Phillips, a member of the Board of Governors of the US Federal Reserve System, at the Seminar on Banking Soundness and Monetary Policy in a World of Global Capital Markets sponsored by the International Monetary Fund and held in Washington on 28/1/97.",0.141701,0.026597,0.831702,['monetary_policy'],1
https://www.bis.org/review/r990108d.pdf,1998,1998-12-22 00:00:00,Willem F Duisenberg,"Introductory statement by the President of the European Central Bank, Dr W F Duisenberg, at the press conference held in Frankfurt on 22/12/98",0.065187,0.169521,0.765292,['monetary_policy'],1
https://www.bis.org/review/r981203b.pdf,1998,1998-11-27 00:00:00,Willem F Duisenberg,"Keynote address to the President of the European Central Bank, Dr W.F. Duisenberg, at a conference organised by the Royal Institute of International Affairs on European Economic and Monetary Union Markets and Politics under the euro in London on 27/11/98.",0.152313,0.214883,0.632804,['monetary_policy'],1
https://www.bis.org/review/r981126e.pdf,1998,1998-11-20 00:00:00,Willem F Duisenberg,"Statement by the President of the European Central Bank, Dr. Willem F. Duisenberg, at the Frankfurt European Banking Congress in Frankfurt am Main on 20/11/98.",0.096794,0.026131,0.877074,['monetary_policy'],1
https://www.bis.org/review/r981109k.pdf,1998,1998-11-03 00:00:00,Willem F Duisenberg,"Introductory statement by the President of the European Central Bank, Dr. W.F. Duisenberg, at the press conference held in Frankfurt on 3/11/98.",0.182876,0.350692,0.466432,['monetary_policy'],1
https://www.bis.org/review/r981109i.pdf,1998,1998-10-30 00:00:00,Edgar Meister,"Luncheon speech by Mr. Edgar Meister, a member of the Directorate of the Deutsche Bundesbank, at the Year 2000 meeting of European central banks and financial regulators organised by the Joint Year 2000 Council and the Deutsche Bundesbank in Frankfurt/Main on 30/10/98.",0.04989,0.177965,0.772144,['monetary_policy'],1
https://www.bis.org/review/r981022h.pdf,1998,1998-10-13 00:00:00,Willem F Duisenberg,"Introductory statement by the President of the European Central Bank, Dr. W.F. Duisenberg, at the press conference held in Frankfurt on 13/10/98.",0.101536,0.157981,0.740482,['monetary_policy'],1
https://www.bis.org/review/r981012b.pdf,1998,1998-09-23 00:00:00,Willem F Duisenberg,"Remarks delivered by the President of the European Central Bank, Dr. W. F. Duisenberg, at a conference on 'Monnaie unique et fiscalité de l'épargne: quelle Europe financière?' organised by the European Parliament in Brussels on 23/9/98.",0.129665,0.012623,0.857711,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r981012a.pdf,1998,1998-09-22 00:00:00,Willem F Duisenberg,"Address by the President of the European Central Bank, Dr. W. F. Duisenberg, in Brussels on 22/9/98.",0.066921,0.018891,0.914189,['monetary_policy'],1
https://www.bis.org/review/r980918c.pdf,1998,1998-09-11 00:00:00,Willem F Duisenberg,"Bank Introductory statement by the President of the European Central Bank, Dr. W. F. Duisenberg, at the press conference held in Frankfurt on 11/9/98.",0.117498,0.167007,0.715495,['monetary_policy'],1
https://www.bis.org/review/r980717b.pdf,1998,1998-07-08 00:00:00,Willem F Duisenberg,"Introductory statement by the President of the European Central Bank, Dr. W. Duisenberg, at the press conference held in Frankfurt on 8/7/98.",0.19221,0.024806,0.782984,['monetary_policy'],1
https://www.bis.org/review/r980710b.pdf,1998,1998-06-13 00:00:00,Urban Bäckström,"Opening remarks by the Governor of the Bank of Sweden, Mr. Urban Bäckström, at the Conference on Monetary Policy Rules, in Stockholm, on 12-13/6/98.",0.081751,0.089139,0.82911,['monetary_policy'],1
https://www.bis.org/review/r980610a.pdf,1998,1998-06-03 00:00:00,Gazi Erçel,"Address by the Governor of the Central Bank of the Republic of Turkey, Mr. Gazi Erçel, at the Euromoney Conference: Investing In The Future, in Istanbul, on 3/6/98.",0.275746,0.240288,0.483965,['monetary_policy'],1
https://www.bis.org/review/r980518i.pdf,1998,1998-04-28 00:00:00,Gazi Erçel,"Address by the Governor of the Central Bank of the Republic of Turkey, Mr. Gazi Erçel, before the 66th Shareholders' General Meeting, in Ankara, on 28/4/98.",0.157755,0.023975,0.81827,['monetary_policy'],1
