url,year,date,author,description,P_pos,P_neg,P_neutral,topics,n_topics
https://www.bis.org/review/r971202b.pdf,1997,1997-11-17 00:00:00,William J McDonough,"Remarks by the President of the Federal Reserve Bank of New York, Mr. William J. McDonough, before the Association of German Mortgage Banks in Frankfurt, on 17/11/97.",0.249785,0.128501,0.621714,['real_estate'],1
https://www.bis.org/review/r970806d.pdf,1997,1997-07-30 00:00:00,"Edward W Kelley, Jr","Testimony by Mr. Edward W. Kelley, Jr. before the Subcommittee on Financial Services and Technology of the Committee on Banking, Housing and Urban Affairs of the US Senate in Washington DC on 30/7/97.",0.131759,0.055224,0.813017,['real_estate'],1
https://www.bis.org/review/r970403f.pdf,1997,1997-03-20 00:00:00,Susan M Phillips,"Testimony of Governor Susan M. Phillips, a member of the Board of Governors of the US Federal Reserve System, before the Subcommittee on Financial Institutions and Regulatory Relief of the Committee on Banking, Housing and Urban Affairs of the United States on 20/3/97.",0.039,0.12128,0.83972,['real_estate'],1
https://www.bis.org/review/r001128a.pdf,2000,2000-11-20 00:00:00,Alan Greenspan,"Speech by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, at the sixth annual reception for regulators, sponsored by Women in Housing and Finance, Washington, DC on 20 November 2000.",0.477103,0.013511,0.509386,['real_estate'],1
https://www.bis.org/review/r000721a.pdf,2000,2000-07-20 00:00:00,Alan Greenspan,"Testimony of Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs of the US Senate on 20 July 2000.",0.365366,0.444466,0.190169,['real_estate'],1
https://www.bis.org/review/r010924a.pdf,2001,2001-09-20 00:00:00,Alan Greenspan,"Testimony of Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, U.S. Senate, Washington, 20 September 2001.",0.132805,0.511389,0.355806,['real_estate'],1
https://www.bis.org/review/r010613c.pdf,2001,2001-06-13 00:00:00,Roger W Ferguson,"Testimony of Mr Roger W Ferguson Jr, Vice-Chairman of the Board of Governors of the US Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, 13 June 2001.",0.215705,0.020583,0.763713,['real_estate'],1
https://www.bis.org/review/r010425a.pdf,2001,2001-04-19 00:00:00,Bodil Nyboe Andersen,"Speech by Mrs Bodil Nyboe Andersen, Governor of Danmarks Nationalbank, at the Annual Meeting of the Association of Danish Mortgage Banks, held in Copenhagen on 19 April 2001",0.25258,0.328217,0.419204,['real_estate'],1
https://www.bis.org/review/r010214a.pdf,2001,2001-02-13 00:00:00,Alan Greenspan,"Testimony of Mr Alan Greenspan, Chairman of the Federal Reserve Board on the occasion of the Federal Reserve Board's semi-annual monetary policy report to the Committee on Banking, Housing, and Urban Affairs, U.S. Senate on 13 February 2001",0.281135,0.478829,0.240036,"['real_estate', 'monetary_policy']",2
https://www.bis.org/review/r020418c.pdf,2002,2002-04-11 00:00:00,Bodil Nyboe Andersen,"Speech by Mrs Bodil Nyboe Andersen, Governor of the National Bank of Denmark, at the Annual Meeting of the Association of Danish Mortgage Banks, Copenhagen, 11 April 2002.",0.099995,0.192594,0.707411,['real_estate'],1
https://www.bis.org/review/r020108d.pdf,2002,2002-01-08 00:00:00,Eva Srejber,"Speech by Ms Eva Srejber, Second Deputy Governor of the Sveriges Riksbank, at the annual meeting of the Swedish Association of Municipal Housing Companies (SABO), Taeby, 8 January 2002.",0.132537,0.155583,0.71188,['real_estate'],1
https://www.bis.org/review/r030509c.pdf,2003,2003-04-30 00:00:00,Bodil Nyboe Andersen,"Speech by Mrs Bodil Nyboe Andersen, Governor of the National Bank of Denmark, at the Annual Meeting of the Association of Danish Mortgage Banks, Copenhagen, 30 April 2003.",0.273484,0.384386,0.34213,['real_estate'],1
https://www.bis.org/review/r030325e.pdf,2003,2003-03-19 00:00:00,Eva Srejber,"Speech by Ms Eva Srejber, First Deputy Governor of the Sveriges Riksbank, at the Institute for Housing and Urban Research, Gävle, 19 March 2003.",0.311538,0.233694,0.454768,['real_estate'],1
https://www.bis.org/review/r030212a.pdf,2003,2003-02-11 00:00:00,Alan Greenspan,"Testimony of Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, 11 February 2003.",0.389131,0.296413,0.314456,['real_estate'],1
https://www.bis.org/review/r040820e.pdf,2004,2004-06-26 00:00:00,Liu Tinghuan,"Speech by Mr Liu Tinghuan, Deputy Governor of the People¿s Bank of China, at the 1st Jiangxi High-level Forum on Real Estate Development and Financial Support, Jiangxi, 26 June 2004.",0.274269,0.129111,0.59662,['real_estate'],1
https://www.bis.org/review/r040713g.pdf,2004,2004-06-22 00:00:00,Donald L Kohn,"Remarks by Mr Donald L Kohn, Member of the Board of Governors of the US Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, U.S. Senate, 22 June 2004.",0.118201,0.124457,0.757342,['real_estate'],1
https://www.bis.org/review/r040618b.pdf,2004,2004-06-15 00:00:00,Alan Greenspan,"Testimony by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington DC, 15 June 2004.",0.413442,0.02538,0.561177,['real_estate'],1
https://www.bis.org/review/r040611h.pdf,2004,2004-06-03 00:00:00,Susan Schmidt Bies,"Testimony by Ms Susan Schmidt Bies, Member of the Board of Governors of the US Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington DC, 3 June 2004.",0.066475,0.049689,0.883835,['real_estate'],1
https://www.bis.org/review/r040503b.pdf,2004,2004-04-29 00:00:00,Bodil Nyboe Andersen,"Speech by Mrs Bodil Nyboe Andersen, Governor of the National Bank of Denmark, at the Annual Meeting of the Association of Danish Mortgage Banks, Copenhagen, 29 April 2004.",0.31358,0.207159,0.47926,['real_estate'],1
https://www.bis.org/review/r040127f.pdf,2004,2004-01-19 00:00:00,Norman Chan,"Speech by Mr Norman Chan, Deputy Chief Executive of the Hong Kong Monetary Authority and Executive Director of the Hong Kong Mortgage Corporation, at the signing ceremony to launch the 90% Fixed Rate Mortgage Scheme, Hong Kong, 19 January 2004.",0.747417,0.011226,0.241357,['real_estate'],1
https://www.bis.org/review/r051208h.pdf,2005,2005-11-05 00:00:00,Wu Xiaoling,"Speech by Ms Wu Xiaoling, Deputy Governor of the People's Bank of China, delivered at the Annual Conference of Real Estate Finance in China, Beijing, 5 November 2005.",0.051897,0.045009,0.903094,['real_estate'],1
https://www.bis.org/review/r051114c.pdf,2005,2005-11-10 00:00:00,Susan Schmidt Bies,"Testimony of Ms Susan Schmidt Bies, Member of the Board of Governors of the US Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, U.S. Senate, Washington DC 10 November 2005.",0.25594,0.037911,0.706149,['real_estate'],1
https://www.bis.org/review/r050621j.pdf,2005,2005-06-15 00:00:00,Caleb M Fundanga,"Paper presented by Dr Caleb M Fundanga, Governor of the Bank of Zambia, to the International Conference on Investment Opportunities in Zambia - Integrating African Property Markets, Lusaka, 15 June 2005.",0.314503,0.221243,0.464255,['real_estate'],1
https://www.bis.org/review/r050607e.pdf,2005,2005-06-03 00:00:00,Edward M Gramlich,"Remarks by Mr Edward M Gramlich, Member of the Board of Governors of the US Federal Reserve System, to the National Association of Real Estate Editors, Washington DC, 3 June 2005.",0.094457,0.076732,0.828811,['real_estate'],1
https://www.bis.org/review/r050602h.pdf,2005,2005-05-28 00:00:00,Ishrat Husain,"Presidential address by Mr Ishrat Husain, Governor of the State Bank of Pakistan, at the pre-budget seminar held by the Pakistan Observer, Islamabad, 28 May 2005.",0.152477,0.397268,0.450255,['real_estate'],1
https://www.bis.org/review/r050530f.pdf,2005,2005-05-26 00:00:00,Susan Schmidt Bies,"Remarks by Ms Susan Schmidt Bies, Member of the Board of Governors of the US Federal Reserve System, at the Women in Housing and Finance Spring Symposium, Capital Issues for Financial Institutions, Washington, DC, 26 May 2005.",0.182812,0.023328,0.79386,['real_estate'],1
https://www.bis.org/review/r050503c.pdf,2005,2005-04-28 00:00:00,Bodil Nyboe Andersen,"Speech by Mrs Bodil Nyboe Andersen, Governor of the National Bank of Denmark, at the Annual Meeting of the Association of Danish Mortgage Banks, Copenhagen, 28 April 2005.",0.259501,0.091792,0.648707,['real_estate'],1
https://www.bis.org/review/r050217f.pdf,2005,2005-02-12 00:00:00,Y V Reddy,"Presidential address by Dr Y V Reddy, Governor of the Reserve Bank of India, circulated in the Annual Conference of Andhra Pradesh Economic Association, Visakhapatnam, 12 February 2005.",0.078021,0.038202,0.883777,['real_estate'],1
https://www.bis.org/review/r061130f.pdf,2006,2006-11-27 00:00:00,Peter Pang,"Speech by Mr Peter Pang, Deputy Chief Exec. of the Hong Kong Monetary Authority and Executive Director of the Hong Kong Mortgage Corporation Ltd., at the signing ceremony for the HK$2 billion mortgage-backed securities issue, Hong Kong, 27 November 2006.",0.610018,0.008589,0.381393,['real_estate'],1
https://www.bis.org/review/r061002e.pdf,2006,2006-09-26 00:00:00,Susan Schmidt Bies,"Testimony of Ms Susan Schmidt Bies, Member of the Board of Governors of the US Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington DC, 26 September 2006.",0.165042,0.028285,0.806673,['real_estate'],1
https://www.bis.org/review/r060907e.pdf,2006,2006-09-01 00:00:00,Peter Pang,"Opening remarks by Mr Peter Pang, Deputy Chief Executive of the Hong Kong Monetary Authority and Executive Director of the HK Mortgage Corp. Ltd., at the Signing Ceremony for the Retail Bond Issue Programme, Hong Kong, 1 September 2006.",0.511244,0.009126,0.47963,['real_estate'],1
