url,year,date,author,description,P_pos,P_neg,P_neutral,topics,n_topics
https://www.bis.org/review/r971119c.pdf,1997,1997-11-04 00:00:00,Susan M Phillips,"Remarks by Ms. Susan M. Phillips, a member of the Board of Governors of the US Federal Reserve System, at the Asset/Liability and Treasury Management Conference of the Bank Administration Institute, Chicago, on 4/11/97.",0.178042,0.047536,0.774422,['sovereign'],1
https://www.bis.org/review/r970108a.pdf,1997,1997-01-05 00:00:00,Laurence H Meyer,"Remarks by Mr. Laurence H. Meyer, a member of the Board of Governors of the US Federal Reserve System, at the AEA Panel on Monetary and Fiscal Policy held in New Orleans on 5/1/97.",0.056684,0.047635,0.895681,['sovereign'],1
https://www.bis.org/review/r981012b.pdf,1998,1998-09-23 00:00:00,Willem F Duisenberg,"Remarks delivered by the President of the European Central Bank, Dr. W. F. Duisenberg, at a conference on 'Monnaie unique et fiscalité de l'épargne: quelle Europe financière?' organised by the European Parliament in Brussels on 23/9/98.",0.129665,0.012623,0.857711,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r980219b.pdf,1998,1998-02-12 00:00:00,Antonio Fazio,"Statement by the Governor of the Bank of Italy, Dott. Antonio Fazio, before the Treasury, Budget and Planning Committee of the Chamber of Deputies, in Rome on 12/2/98.",0.157949,0.053965,0.788086,['sovereign'],1
https://www.bis.org/review/r000510a.pdf,2000,2000-05-05 00:00:00,Gazi Erçel,"Opening remarks by Mr Gazi Erçel, Governor of the Central Bank of Turkey, in the Conference titled ""Current issues in reserves management for central banks in Europe, Middle East and North Africa"" which has been organized by the World Bank Treasury in Istanbul on 4-5 May 2000.",0.087745,0.024548,0.887707,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r000405c.pdf,2000,2000-03-30 00:00:00,M R Chatu Mongol Sonakul,"Speech by Mr M R Chatu Mongol Sonakul, Governor of the Bank of Thailand, at the ADB Conference on Government Bond Market and Financial Sector Development in Developing Asian Economies, held in Manila, 28-30 March 2000.",0.148422,0.053624,0.797954,['sovereign'],1
https://www.bis.org/review/r000223c.pdf,2000,2000-02-23 00:00:00,Mr Tony Latter,"Speech given by Mr Tony Latter, Deputy Chief Executive of the Hong Kong Monetary Authority, at The Asian Treasury Forum 2000, held in Hong Kong on 22-23 February 2000.",0.090407,0.118911,0.790682,['sovereign'],1
https://www.bis.org/review/r010307c.pdf,2001,2001-03-03 00:00:00,Alberto Romero,"Speech by Mr Alberto Romero, Executive Director Bank van de Nederlandse Antillen at the ""Aruba and Curaçao Tourism and Public Finances"" seminar, 3 March 2001.",0.158013,0.455225,0.386761,['sovereign'],1
https://www.bis.org/review/r020925a.pdf,2002,2002-09-25 00:00:00,Alan Greenspan,"Speech by Mr Alan Greenspan, Chairman of the Board of Governors of the US Federal Reserve System, at the opening of the new HM Treasury Building, London, UK, 25 September 2002.",0.356509,0.023389,0.620102,['sovereign'],1
https://www.bis.org/review/r030930h.pdf,2003,2003-09-10 00:00:00,R Basant Roi,"Address by Mr R Basant Roi, Governor of the Bank of Mauritius, at the Financial Markets Association of Mauritius workshop on treasury and risk management, 10 September 2003.",0.094553,0.048842,0.856606,['sovereign'],1
https://www.bis.org/review/r030905c.pdf,2003,2003-08-25 00:00:00,Zdeněk Tůma,"Introductory remarks by Mr Zdenek Tuma, Governor of the Czech National Bank, at the International Institute for Public Finance, Prague, 25 August 2003.",0.200706,0.127577,0.671717,['sovereign'],1
https://www.bis.org/review/r030530f.pdf,2003,2003-05-22 00:00:00,Joseph O Sanusi,"Keynote address by Dr Joseph O Sanusi, Governor of the Central Bank of Nigeria, at the seminar of the Nigerian Economic Society on ""Fiscal Policy Management in Nigeria"", Lagos, 22 May 2003.",0.526623,0.139059,0.334318,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r041019h.pdf,2004,2004-10-14 00:00:00,Norman Chan,"Remarks by Mr Norman Chan, Deputy Chief Executive of the Hong Kong Monetary Authority and Chairman of Treasury Markets Forum of Hong Kong, at the cocktail reception to mark the new membership regime of ACI - The Financial Markets Association of Hong Kong, Hong Kong, 14 October 2004.",0.688717,0.009231,0.302052,['sovereign'],1
https://www.bis.org/review/r040720d.pdf,2004,2004-06-24 00:00:00,Edward M Gramlich,"Remarks by Mr Edward M Gramlich, Member of the Board of Governors of the US Federal Reserve System, at the Concord Coalition Budget and Fiscal Policy Conference, Washington, DC, 24 June 2004.",0.131786,0.221801,0.646413,['sovereign'],1
https://www.bis.org/review/r050629f.pdf,2005,2005-06-23 00:00:00,Zeti Akhtar Aziz,"Speech by Dr Zeti Akhtar Aziz, Governor of the Central Bank of Malaysia, at the launch of Citigroup Malaysian Government Bond Index &amp;amp; Dow Jones-RHB Islamic Malaysia Index, ¿Benchmark Market Indices - Milestones in Financial Market Progress¿, Kuala Lumpur, 23 June 2005.",0.533092,0.01088,0.456028,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r070119c.pdf,2006,2006-12-20 00:00:00,Martìn Redrado,"Speech by Mr Martín Redrado, President of the Central Bank of Argentina, before the Committee on Treasury and Budget of the National Senate, Buenos Aires, 20 December 2006.",0.51729,0.096239,0.386471,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r061214g.pdf,2006,2006-10-25 00:00:00,Jens Thomsen,"Speech by Mr Jens Thomsen, Member of the Board of Governors of the National Bank of Denmark and Chairman of the EFC-subcommittee on EU Government Bonds and Bills Markets, at the European Government Bond Summit, Brussels, 25 October 2006.",0.179029,0.220403,0.600568,['sovereign'],1
https://www.bis.org/review/r061102c.pdf,2006,2006-10-30 00:00:00,Ardian Fullani,"Speech by Mr Ardian Fullani, Governor of the Bank of Albania, at the Bank of Albania's 6th International Conference, ""Regional financial markets and financial stability ¿ a concept between national sovereignty and globalisation"", Tirana, 30 October 2006.",0.361545,0.021028,0.617427,"['credit', 'sovereign']",2
https://www.bis.org/review/r060130e.pdf,2006,2006-01-23 00:00:00,Joseph Yam,"Welcoming remarks by Joseph Yam, Chief Executive of the Hong Kong Monetary Authority, at the inaugural ceremony of the Treasury Market Association, Hong Kong, 23 January 2006.",0.523786,0.009537,0.466677,['sovereign'],1
https://www.bis.org/review/r071123e.pdf,2007,2007-11-13 00:00:00,Caleb M Fundanga,"Opening remarks by Dr Caleb M Fundanga, Governor of the Bank of Zambia, to the symposium ""Central Bank Independence: Does it hurt the Treasury?"", Livingstone, 12-13 November 2007.",0.428139,0.023021,0.54884,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r070814f.pdf,2007,2007-06-19 00:00:00,Shamshad Akhtar,"Speech by Dr Shamshad Akhtar, Governor of the State Bank of Pakistan, at the Financial Inclusion Conference, DfID &amp;amp; HM Treasury, London, 19 June 2007.",0.314331,0.091098,0.594571,['sovereign'],1
https://www.bis.org/review/r070730f.pdf,2007,2007-07-24 00:00:00,Rundheersing Bheenick,"Remarks by Mr Rundheersing Bheenick, Governor of the Bank of Mauritius, at the launching ceremony of the Over-The-Counter sale of Treasury Bills/Treasury Notes at the new Headquarters of the Bank of Mauritius, Port Louis, 24 July 2007.",0.310013,0.01799,0.671997,['sovereign'],1
https://www.bis.org/review/r070510g.pdf,2007,2007-05-09 00:00:00,Jarle Bergo,"Presentation by Mr Jarle Bergo, Deputy Governor of Norges Bank (Central Bank of Norway), at the European Institute's Sovereign Funds Roundtable, London, 8-9 May 2007.",0.118778,0.022343,0.858879,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r070329c.pdf,2007,2007-03-16 00:00:00,Victor Mbewe,"Speech by Mr Victor Mbewe, Governor of the Reserve Bank of Malawi, at the Sovereign Credit Rating Dissemination Conference, Lilongwe, 16 March 2007.",0.845576,0.032583,0.121841,"['credit', 'sovereign']",2
https://www.bis.org/review/r081124b.pdf,2008,2008-10-24 00:00:00,Guy Quaden,"Keynote address by Mr Guy Quaden, Governor of the National Bank of Belgium, at the Third Annual European Government Bond Summit, Brussels, 24 October 2008.",0.434804,0.036922,0.528274,['sovereign'],1
https://www.bis.org/review/r080731g.pdf,2008,2008-07-28 00:00:00,Kevin M Warsh,"Speech by Mr Kevin M Warsh, Member of the Board of Governors of the US Federal Reserve System, at the US Department of the Treasury Press Conference on Covered Bond Framework, Washington DC, 28 July 2008.",0.441922,0.239204,0.318874,['sovereign'],1
https://www.bis.org/review/r080515c.pdf,2008,2008-05-12 00:00:00,Eddie Yue,"Welcome address by Mr Eddie Yue, Deputy Chief Executive of the Hong Kong Monetary Authority and Executive Board Chairman of the Treasury Markets Association, at the Hong Kong Showcase on Islamic Finance, Dubai and Amman, 11-12 May 2008.",0.452308,0.010526,0.537166,['sovereign'],1
https://www.bis.org/review/r080319d.pdf,2008,2008-03-14 00:00:00,John Gieve,"Speech by Sir John Gieve, Deputy Governor of the Bank of England, to the Sovereign Wealth Management Conference, London, 14 March 2008.",0.215653,0.202387,0.58196,['sovereign'],1
https://www.bis.org/review/r080307b.pdf,2008,2008-03-03 00:00:00,Caleb M Fundanga,"Opening remarks by Dr Caleb M Fundanga, Governor of the Bank of Zambia, at the LUSE/BESA/BOZ workshop for secondary trading of government bonds, Lusaka, 3 March 2008.",0.347375,0.014401,0.638223,['sovereign'],1
https://www.bis.org/review/r091223e.pdf,2009,2009-12-07 00:00:00,Njuguna Ndung'u,"Remarks by Prof Njuguna Ndung'u, Governor of the Central Bank of Kenya, during the Launch of the Automated Trading System (ATS) for Treasury bonds, Nairobi Stock Exchange, Nairobi, 7 December 2009.",0.525668,0.009107,0.465226,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r091209d.pdf,2009,2009-11-05 00:00:00,Jens Thomsen,"Speech by Mr Jens Thomsen, Member of the Board of Governors of the National Bank of Denmark, at the European Government Bond Summit, Brussels, 5 November 2009.",0.814926,0.094897,0.090177,['sovereign'],1
https://www.bis.org/review/r091014c.pdf,2009,2009-10-13 00:00:00,Patrick Honohan,"Opening address by Mr Patrick Honohan, Governor of the Central Bank and Financial Services Authority of Ireland, at the ESRI / Foundation for Fiscal Studies Budget Perspectives Conference, Dublin, 13 October 2009.",0.262313,0.35,0.387686,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r090708e.pdf,2009,2009-04-29 00:00:00,Shyamala Gopinath,"Paper by Ms Shyamala Gopinath, Deputy Governor of the Reserve Bank of India, presented at the workshop on ""Sub-national Fiscal Reform and Debt Management"", organised by the Economic Policy and Debt Department, World Bank, Washington, 29 April 2009.",0.151761,0.255364,0.592874,"['credit', 'sovereign']",2
https://www.bis.org/review/r090528e.pdf,2009,2009-05-23 00:00:00,Donald L Kohn,"Speech by Mr Donald L Kohn, Vice Chairman of the Board of Governors of the US Federal Reserve System, at the Conference on Monetary-Fiscal Policy Interactions, Expectations, and Dynamics in the Current Economic Crisis, Princeton University, 23 May 2009.",0.297421,0.099479,0.6031,['sovereign'],1
https://www.bis.org/review/r101103b.pdf,2010,2010-10-21 00:00:00,José de Gregorio,"Opening remarks by Mr Jose De Gregorio, Governor of the Central Bank of Chile, to the 14th Annual Conference of the Central Bank of Chile ""Fiscal policy and macroeconomic performance"", Santiago de Chile, 21 October 2010.",0.254676,0.027278,0.718046,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r100723f.pdf,2010,2010-07-09 00:00:00,Budi Mulya,"Address by Mr Budi Mulya, Deputy Governor of Bank Indonesia, at the Oversea-Chinese Banking Corporation (OCBC) Global Treasury Economic and Business Forum, Singapore, 9 July 2010.",0.721337,0.018853,0.25981,"['sovereign', 'corporate']",2
https://www.bis.org/review/r100429a.pdf,2010,2010-04-27 00:00:00,Ben S Bernanke,"Speech by Mr Ben S Bernanke, Chairman of the Board of Governors of the Federal Reserve System, at the National Commission on Fiscal Responsibility and Reform, Washington DC, 27 April 2010.",0.164613,0.47978,0.355607,['sovereign'],1
https://www.bis.org/review/r100423a.pdf,2010,2010-04-21 00:00:00,Ben S Bernanke,"Brief remarks by Mr Ben S Bernanke, Chairman of the Board of Governors of the Federal Reserve System, at the New $100 Note Unveiling Event, US Treasury Department, Washington DC, 21 April 2010.",0.204265,0.011495,0.78424,['sovereign'],1
https://www.bis.org/review/r111025b.pdf,2011,2011-10-24 00:00:00,Yves Mersch,"Speech by Mr Yves Mersch, Governor of the Central Bank of Luxembourg, at the SWF (Sovereign Wealth Fund) Forum, Montreux, Switzerland, 24 October 2011.",0.122386,0.203259,0.674355,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r111021c.pdf,2011,2011-10-19 00:00:00,Guy Debelle,"Address by Mr Guy Debelle, Assistant Governor (Financial Markets) of the Reserve Bank of Australia, to the 24th Annual Finance &amp;amp; Treasury Association Congress, Sydney, 19 October 2011.",0.313808,0.312508,0.373684,['sovereign'],1
https://www.bis.org/review/r110928c.pdf,2011,2011-09-26 00:00:00,Narayana Kocherlakota,"Speech by Mr Narayana Kocherlakota, President of the Federal Reserve Bank of Minneapolis, at the Sovereign Debt Seminar, CME Group-MSRI Prize in Innovative Quantitative Applications, Chicago, Illinois, 26 September 2011.",0.059741,0.090708,0.849551,"['credit', 'sovereign']",2
https://www.bis.org/review/r110621c.pdf,2011,2011-06-17 00:00:00,Lorenzo Bini Smaghi,"Intervention by Mr Lorenzo Bini Smaghi, Member of the Executive Board of the European Central Bank, in the panel ""Challenges for monetary and fiscal policy"", at the Sveriges Riksbank conference ""Monetary policy in an era of fiscal stress"", Stockholm, 17 June 2011.",0.232869,0.265796,0.501336,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r110523a.pdf,2011,2011-05-20 00:00:00,Jens Weidmann,"Concluding remarks by Dr Jens Weidmann, President of the Deutsche Bundesbank, at the Bank of France/Deutsche Bundesbank Spring Conference on ""Fiscal and Monetary Policy Challenges in the Short and Long Run"", Hamburg, 20 May 2011.",0.172909,0.089361,0.737729,"['monetary_policy', 'sovereign']",2
