year,iso,crisisjst,tloans,tmort,money,ltrate,stir,hpnom,debtgdp,cpi,ca,rgdpmad,target_h1,target_h2,target_h3,tloans_lag1,tloans_lag2,tloans_lag3,tmort_lag1,tmort_lag2,tmort_lag3,money_lag1,money_lag2,money_lag3,ltrate_lag1,ltrate_lag2,ltrate_lag3,stir_lag1,stir_lag2,stir_lag3,hpnom_lag1,hpnom_lag2,hpnom_lag3,debtgdp_lag1,debtgdp_lag2,debtgdp_lag3,cpi_lag1,cpi_lag2,cpi_lag3,ca_lag1,ca_lag2,ca_lag3,rgdpmad_lag1,rgdpmad_lag2,rgdpmad_lag3,term_spread,term_spread_lag1,term_spread_lag2,term_spread_lag3,tloans_gr_lag1,tmort_gr_lag1,money_gr_lag1,hpnom_gr_lag1,rgdpmad_gr_lag1,tloans_gr_raw,tloans_gr_roll3_mean_lag1,tloans_gr_roll3_std_lag1,tloans_slope4,tloans_slope4_lag1,tloans_lag1_dm,tloans_lag2_dm,tloans_lag3_dm,tmort_lag1_dm,tmort_lag2_dm,tmort_lag3_dm,money_lag1_dm,money_lag2_dm,money_lag3_dm,ltrate_lag1_dm,ltrate_lag2_dm,ltrate_lag3_dm,stir_lag1_dm,stir_lag2_dm,stir_lag3_dm,hpnom_lag1_dm,hpnom_lag2_dm,hpnom_lag3_dm,debtgdp_lag1_dm,debtgdp_lag2_dm,debtgdp_lag3_dm,cpi_lag1_dm,cpi_lag2_dm,cpi_lag3_dm,ca_lag1_dm,ca_lag2_dm,ca_lag3_dm,rgdpmad_lag1_dm,rgdpmad_lag2_dm,rgdpmad_lag3_dm,term_spread_lag1_dm,term_spread_lag2_dm,term_spread_lag3_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_gr_roll3_mean_lag1_dm,tloans_gr_roll3_std_lag1_dm,tloans_slope4_lag1_dm,credit_sent_neg,credit_sent_pos,credit_n_speeches,monetary_policy_sent_neg,monetary_policy_sent_pos,monetary_policy_n_speeches,corporate_sent_neg,corporate_sent_pos,corporate_n_speeches,credit_sent_neg_lag1,credit_sent_neg_lag2,credit_sent_neg_lag3,monetary_policy_sent_neg_lag1,monetary_policy_sent_neg_lag2,monetary_policy_sent_neg_lag3,corporate_sent_neg_lag1,corporate_sent_neg_lag2,corporate_sent_neg_lag3
1989,AUS,1.0,174395.1965,52916.0,207473.9605,13.4083333333333,16.8,98.43244588206024,0.2276999999999999,93.22074,-23336.1689,17194.41280498771,0,0,0,120127.0,94828.0,81353.0,44388.6,35430.5,28079.2,173005.0,148219.0,131643.0,12.1041666666667,13.1916666666667,13.4166666666667,12.1416666666667,12.7983333333333,15.3866666666667,78.97486937049013,64.44389151530228,61.3751347764784,0.248187,0.220637,0.234131,86.66906,80.82405,74.49994,-13182.465449999998,-10324.09472,-13704.61092,16752.256097560978,16293.301109252032,15757.169811320751,-3.391666666666701,-0.0374999999999996,0.3933333333334001,-1.9700000000000009,0.2667882903783692,0.2528358335332552,0.167225524392959,0.2254826254826253,0.0281683242230349,0.4517568614882581,0.2026026871434504,0.0557996126391917,30442.55895,16621.4,38328.66666666667,19544.5,12139.0,15285.399999999998,9490.949999999995,4279.299999999999,39495.33333333334,22064.0,10976.0,-1.416666666666666,-0.4937500000000003,-0.5374999999999996,-2.3933333333333024,-2.60500000000005,-0.0333333333332994,17.95752057663558,5.139814082171611,4.142114686695472,0.0232786666666666,-0.0064069999999999,0.014174,12.129196666666672,9.426280000000006,6.204340000000002,-1135.822603333334,2583.822190000001,-1593.3880200000003,855.9804025755311,595.5381213998753,118.81364693719296,0.976666666666634,2.1112500000000507,-0.5041666666667002,0.0962784048523782,0.0320312493382016,0.0587868350747569,0.1642962187527551,0.007357237943114,0.0320928016174593,0.0489071495510015,-215911.1239601265,,,,,,,,,,,,,,,,,,
1990,AUS,0.0,200876.8009,66528.0,229475.8015,13.18,14.1508333333333,100.0,0.215777,100.0,-20036.65332,17172.682236376502,0,0,0,174395.1965,120127.0,94828.0,52916.0,44388.6,35430.5,207473.9605,173005.0,148219.0,13.4083333333333,12.1041666666667,13.1916666666667,16.8,12.1416666666667,12.7983333333333,98.43244588206024,78.97486937049013,64.44389151530228,0.2276999999999999,0.248187,0.220637,93.22074,86.66906,80.82405,-23336.1689,-13182.465449999998,-10324.09472,17194.41280498771,16752.256097560978,16293.301109252032,-0.9708333333332996,-3.391666666666701,-0.0374999999999996,0.3933333333334001,0.4517568614882581,0.1921078835556877,0.1992367879541053,0.246376811594204,0.0263938603165879,0.1518482442834943,0.2947271100012936,0.1450920211167835,37241.45992,30442.55895,83014.69649999999,38328.66666666667,19544.5,19991.45,15285.399999999998,9490.949999999995,64090.46049999999,39495.33333333334,22064.0,0.2416666666665996,-1.416666666666666,-0.4937500000000003,2.863333333333326,-2.3933333333333024,-2.60500000000005,32.92571694404681,17.95752057663558,5.139814082171611,-0.003028,0.0232786666666666,-0.0064069999999999,15.648577500000016,12.129196666666672,9.426280000000006,-11005.5704025,-1135.822603333334,2583.822190000001,1084.1420093583802,855.9804025755311,595.5381213998753,-2.621666666666726,0.976666666666634,2.1112500000000507,0.2491541743448077,-0.0393737837520996,0.0712024869443175,0.1304249986134155,0.0031303613889624,0.1081708236665729,0.1137459832530926,13821.158949999995,,,,,,,,,,,,,,,,,,
1991,AUS,0.0,216745.8512,74377.0,234016.7225,10.6908333333333,9.95583333333333,100.62851713805452,0.229141,103.2227,-13649.31288,16743.32398551786,0,0,0,200876.8009,174395.1965,120127.0,66528.0,52916.0,44388.6,229475.8015,207473.9605,173005.0,13.18,13.4083333333333,12.1041666666667,14.1508333333333,16.8,12.1416666666667,100.0,98.43244588206024,78.97486937049013,0.215777,0.2276999999999999,0.248187,100.0,93.22074,86.66906,-20036.65332,-23336.1689,-13182.465449999998,17172.682236376502,17194.41280498771,16752.256097560978,0.7349999999999692,-0.9708333333332996,-3.391666666666701,-0.0374999999999996,0.1518482442834942,0.2572378864615617,0.1060462765880444,0.0159251769464101,-0.0012638156858084,0.078998919879752,0.2901311320500405,0.1513108088055838,31633.815800000004,37241.45992,92893.36159999996,83014.69649999999,38328.66666666667,29605.16,19991.45,15285.399999999998,73274.20939999999,64090.46049999999,39495.33333333334,-0.0350000000000214,0.2416666666665996,-1.416666666666666,-0.358500000000042,2.863333333333326,-2.3933333333333024,27.908127673177205,32.92571694404681,17.95752057663558,-0.0143454,-0.003028,0.0232786666666666,19.298122000000006,15.648577500000016,12.129196666666672,-5504.940742000001,-11005.5704025,-1135.822603333334,845.5830388754948,1084.1420093583802,855.9804025755311,0.323500000000021,-2.621666666666726,0.976666666666634,-0.1130429864461581,0.0355996650917991,-0.0397886461578226,-0.1326328856877323,-0.0253099049606745,0.0675179044931288,0.0820494431908619,13709.480444999994,,,,,,,,,,,,,,,,,,
1992,AUS,0.0,224286.1866,91246.0,243383.9018,9.22,6.265,103.17181904553092,0.271514,104.2404,-14103.482879999998,16988.874013415483,0,0,0,216745.8512,200876.8009,174395.1965,74377.0,66528.0,52916.0,234016.7225,229475.8015,207473.9605,10.6908333333333,13.18,13.4083333333333,9.95583333333333,14.1508333333333,16.8,100.62851713805452,100.0,98.43244588206024,0.229141,0.215777,0.2276999999999999,103.2227,100.0,93.22074,-13649.31288,-20036.65332,-23336.1689,16743.32398551786,17172.682236376502,17194.41280498771,2.954999999999999,0.7349999999999692,-0.9708333333332996,-3.391666666666701,0.078998919879752,0.1179803992303992,0.019788234621331,0.0062851713805451,-0.0250023988651662,0.0347888338265918,0.2275346752171681,0.1975688427578117,16554.202060000003,31633.815800000004,93280.18496666664,92893.36159999996,83014.69649999999,32519.966666666667,29605.16,19991.45,65602.76216666668,73274.20939999999,64090.46049999999,-2.5183333333333824,-0.0350000000000214,0.2416666666665996,-4.493750000000004,-0.358500000000042,2.863333333333326,23.885290199035524,27.908127673177205,32.92571694404681,0.0014095,-0.0143454,-0.003028,19.30446833333333,19.298122000000006,15.648577500000016,1799.8898216666655,-5504.940742000001,-11005.5704025,275.29428153760455,845.5830388754948,1084.1420093583802,1.9754166666666195,0.323500000000021,-2.621666666666726,-0.1632837135606686,-0.1107777551577231,-0.1180889588929715,-0.1157463141160508,-0.0439865071478974,-0.0119580284630257,0.1077951163453744,3532.009510000007,,,,,,,,,,,,,,,,,,
1993,AUS,0.0,240741.1654,109835.0,258217.3071,7.280833333333333,5.00166666666667,106.06592121610755,0.303218,106.1304,-13630.436980000002,17478.185210321713,0,0,0,224286.1866,216745.8512,200876.8009,91246.0,74377.0,66528.0,243383.9018,234016.7225,229475.8015,9.22,10.6908333333333,13.18,6.265,9.95583333333333,14.1508333333333,103.17181904553092,100.62851713805452,100.0,0.271514,0.229141,0.215777,104.2404,103.2227,100.0,-14103.482879999998,-13649.31288,-20036.65332,16988.874013415483,16743.32398551786,17172.682236376502,2.2791666666666632,2.954999999999999,0.7349999999999692,-0.9708333333332996,0.0347888338265918,0.2268039851029216,0.040027820234086,0.0252741666061439,0.0146655483767745,0.0733659930174228,0.0885453326632794,0.0591107172338867,12713.342890000007,16554.202060000003,87494.77965714285,93280.18496666664,92893.36159999996,44743.25714285714,32519.966666666667,29605.16,65598.1183,65602.76216666668,73274.20939999999,-3.6294047619047713,-2.5183333333333824,-0.0350000000000214,-7.542619047619048,-4.493750000000004,-0.358500000000042,23.016407792363992,23.885290199035524,27.908127673177205,0.0435811428571428,0.0014095,-0.0143454,17.564387142857143,19.30446833333333,19.298122000000006,1088.5927042857163,1799.8898216666655,-5504.940742000001,481.51655492985446,275.29428153760455,845.5830388754948,3.9132142857142753,1.9754166666666195,0.323500000000021,-0.1802798473537173,0.016508789907753,-0.078167880131388,-0.0774662665377768,0.0030125246186928,-0.1485557653243093,-0.0522220324476254,-12430.606607499998,,,,,,,,,,,,,,,,,,
1994,AUS,0.0,270676.8052,135757.0,283445.1861,9.041666666666668,5.69416666666667,109.8370240444347,0.314529,108.1415,-21557.09712,18145.568488327885,0,0,0,240741.1654,224286.1866,216745.8512,109835.0,91246.0,74377.0,258217.3071,243383.9018,234016.7225,7.280833333333333,9.22,10.6908333333333,5.00166666666667,6.265,9.95583333333333,106.06592121610755,103.17181904553092,100.62851713805452,0.303218,0.271514,0.229141,106.1304,104.2404,103.2227,-13630.436980000002,-14103.482879999998,-13649.31288,17478.185210321713,16988.874013415483,16743.32398551786,3.347499999999997,2.2791666666666632,2.954999999999999,0.7349999999999692,0.0733659930174229,0.203723998860224,0.0609465342214347,0.0280512856839273,0.0288018615312491,0.1243478229004204,0.0623845822412555,0.0240640076500808,17824.78408000001,12713.342890000007,93012.91100000002,87494.77965714285,93280.18496666664,57739.35,44743.25714285714,32519.966666666667,72231.75881250002,65598.1183,65602.76216666668,-5.114895833333342,-3.6294047619047713,-2.5183333333333824,-7.863124999999997,-7.542619047619048,-4.493750000000004,23.03345898889513,23.016407792363992,23.885290199035524,0.0698375,0.0435811428571428,0.0014095,17.258838749999995,17.564387142857143,19.30446833333333,1425.5645162499968,1088.5927042857163,1799.8898216666655,910.6381824698548,481.51655492985446,275.29428153760455,2.748229166666655,3.9132142857142753,1.9754166666666195,-0.1159484242552124,-0.0089295948931949,-0.0460823261252695,-0.0636225379545968,0.0167184771133542,-0.1499572215256149,-0.0785650699568271,-13785.344455999992,,,,,,,,,,,,,,,,,,
1995,AUS,0.0,302816.52700000006,152596.0,308981.7428,9.21089527658369,7.6438077969278,111.71526711978368,0.31123,113.1573,-25196.94025,18529.55820683624,0,0,0,270676.8052,240741.1654,224286.1866,135757.0,109835.0,91246.0,283445.1861,258217.3071,243383.9018,9.041666666666668,7.280833333333333,9.22,5.69416666666667,5.00166666666667,6.265,109.8370240444347,106.06592121610755,103.17181904553092,0.314529,0.303218,0.271514,108.1415,106.1304,104.2404,-21557.09712,-13630.436980000002,-14103.482879999998,18145.568488327885,17478.185210321713,16988.874013415483,1.56708747965589,3.347499999999997,2.2791666666666632,2.954999999999999,0.1243478229004203,0.2360085582919834,0.0977001862629989,0.0355543306001516,0.0381837856719843,0.1187383668735575,0.077500883248145,0.0449224456023559,26552.666100000017,17824.78408000001,112613.78291111114,93012.91100000002,87494.77965714285,77245.86666666667,57739.35,44743.25714285714,89433.88683333332,72231.75881250002,65598.1183,-2.7857407407407457,-5.114895833333342,-3.6294047619047713,-6.296944444444441,-7.863124999999997,-7.542619047619048,24.24528859623392,23.03345898889513,23.016407792363992,0.0733887777777777,0.0698375,0.0435811428571428,17.352289999999996,17.258838749999995,17.564387142857143,-6659.491681111114,1425.5645162499968,1088.5927042857163,1476.8394402015983,910.6381824698548,481.51655492985446,3.511203703703694,2.748229166666655,3.9132142857142753,-0.0504730413403134,0.0244711639002138,-0.0035683833180467,-0.0481666757940478,0.0240105916149201,-0.1134184603007805,-0.0464830505821481,-6376.34585666666,,,,,,,,,,,,,,,,,,
1996,AUS,0.0,332779.9595,168921.0,335354.3076,8.20920705749882,7.01642466962862,113.17693488270116,0.29317,116.1134,-18418.25472,19075.08247877645,0,0,0,302816.52700000006,270676.8052,240741.1654,152596.0,135757.0,109835.0,308981.7428,283445.1861,258217.3071,9.21089527658369,9.041666666666668,7.280833333333333,7.6438077969278,5.69416666666667,5.00166666666667,111.71526711978368,109.8370240444347,106.06592121610755,0.31123,0.314529,0.303218,113.1573,108.1415,106.1304,-25196.94025,-21557.09712,-13630.436980000002,18529.55820683624,18145.568488327885,17478.185210321713,1.1927823878701993,1.56708747965589,3.347499999999997,2.2791666666666632,0.1187383668735575,0.1240378028388959,0.0900934570502484,0.0171002728059086,0.0211616251513615,0.0989491319937103,0.1054840609304669,0.0279561122847851,30825.610410000056,26552.666100000017,133492.12642000007,112613.78291111114,93012.91100000002,86360.28,77245.86666666667,57739.35,106027.05485,89433.88683333332,72231.75881250002,-2.3379380567496497,-2.7857407407407457,-5.114895833333342,-3.717608869738867,-6.296944444444441,-7.863124999999997,23.699002811959502,24.24528859623392,23.03345898889513,0.0627509,0.0733887777777777,0.0698375,20.632861000000005,17.352289999999996,17.258838749999995,-9633.385642999998,-6659.491681111114,1425.5645162499968,1713.14521468979,1476.8394402015983,910.6381824698548,1.3796708129892172,3.511203703703694,2.748229166666655,-0.050474381662697,-0.0902186097640084,-0.0107786254954586,-0.0612688807222856,0.0043205875815284,-0.071257975080861,-0.0576390025769504,3262.442714285728,,,,,,,,,,,,,,,,,,
1997,AUS,0.0,366159.4058,183868.0,356961.8623,6.95491854388937,5.29024091685076,116.6922458525177,0.25908,116.37432898876403,-16281.49141,19612.09177301113,0,0,0,332779.9595,302816.52700000006,270676.8052,168921.0,152596.0,135757.0,335354.3076,308981.7428,283445.1861,8.20920705749882,9.21089527658369,9.041666666666668,7.01642466962862,7.6438077969278,5.69416666666667,113.17693488270116,111.71526711978368,109.8370240444347,0.29317,0.31123,0.314529,116.1134,113.1573,108.1415,-18418.25472,-25196.94025,-21557.09712,19075.08247877645,18529.55820683624,18145.568488327885,1.6646776270386106,1.1927823878701993,1.56708747965589,3.347499999999997,0.0989491319937102,0.1069818343862224,0.0853531492217345,0.0130838675912598,0.0294407597769356,0.100304857149909,0.1140117739225627,0.0133427465552241,31641.123429999992,30825.610410000056,151319.91106363636,133492.12642000007,112613.78291111114,94834.34545454546,86360.28,77245.86666666667,122760.7964818182,106027.05485,89433.88683333332,-3.127086452493643,-2.3379380567496497,-2.7857407407407457,-4.007027554334515,-3.717608869738867,-6.296944444444441,23.006215773789748,23.699002811959502,24.24528859623392,0.0389862727272727,0.0627509,0.0733887777777777,21.71324636363637,20.632861000000005,17.352289999999996,-1978.937781818182,-9633.385642999998,-6659.491681111114,2102.929012567296,1713.14521468979,1476.8394402015983,0.8799411018408705,1.3796708129892172,3.511203703703694,-0.0652161783762745,-0.0982527172402811,-0.0144410707744267,-0.0591583978647058,0.0121676634489496,-0.0548127093020028,-0.0658480346868502,7127.581685000052,,,,,,,,,,,,,,,,,,
1998,AUS,0.0,401898.5166,202729.0,384572.7590125,5.49297052826401,4.83681458215697,128.2686545348242,0.23754,117.3745567790262,-28407.06774,20377.949762010507,0,0,0,366159.4058,332779.9595,302816.52700000006,183868.0,168921.0,152596.0,356961.8623,335354.3076,308981.7428,6.95491854388937,8.20920705749882,9.21089527658369,5.29024091685076,7.01642466962862,7.6438077969278,116.6922458525177,113.17693488270116,111.71526711978368,0.25908,0.29317,0.31123,116.37432898876403,116.1134,113.1573,-16281.49141,-18418.25472,-25196.94025,19612.09177301113,19075.08247877645,18529.55820683624,0.6561559461070399,1.6646776270386106,1.1927823878701993,1.56708747965589,0.100304857149909,0.0884851498629537,0.0644320177505302,0.0310603125403589,0.0281523969729709,0.0976053331797273,0.1059974520057256,0.0110547583160734,33062.54150999997,31641.123429999992,172089.364775,151319.91106363636,133492.12642000007,101878.48333333334,94834.34545454546,86360.28,134138.28480833332,122760.7964818182,106027.05485,-4.1207844283952895,-3.127086452493643,-2.3379380567496497,-5.399292344251164,-4.007027554334515,-3.717608869738867,24.60434209579049,23.006215773789748,23.699002811959502,0.0016474166666666,0.0389862727272727,0.0627509,20.16473815543073,21.71324636363637,20.632861000000005,322.7370099999989,-1978.937781818182,-9633.385642999998,2464.6942224213635,2102.929012567296,1713.14521468979,1.278507915855876,0.8799411018408705,1.3796708129892172,-0.0579317097313235,-0.1078173365598879,-0.034049377629774,-0.0358039167460879,0.0097731494223532,-0.0573457602886397,-0.0615512194573159,7151.1411844444265,0.249468,0.157739,1.0,,,,0.312827,0.086073,1.0,,,,,,,,,
